Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
CSX,CSX CORP COM,Bearish Call Modified Butterfly,-295.55,-500.00000000000045,500.00000000000045,935.0000000005427,2000.000000000011,62.6,37.4,-0.1477749999999992,0.4675000000002688,0.24999999999999886,Call,77.0,10.0,Call,77.5,-30.0,Call,79.0,20.0,-349.9999999999999,-60.00000000000001,39.99999999999999,-19.999999999999996,-20.0
CSX,CSX CORP COM,Bearish Call Modified Butterfly,-291.3,-220.00000000000057,220.00000000000057,655.0000000005429,1280.000000000011,61.35,38.65,-0.22757812499999808,0.5117187500004198,0.17187499999999897,Call,77.0,10.0,Call,77.5,-30.0,Call,78.5,20.0,-229.99999999999997,-39.99999999999999,39.99999999999999,1.1102230246251565e-14,-20.0
CSX,CSX CORP COM,Bearish Call Modified Butterfly,-340.94,-590.0000000000007,590.0000000000007,1525.000000000543,2410.000000000011,60.08,39.92,-0.14146887966804916,0.6327800829877743,0.24481327800829794,Call,76.0,10.0,Call,77.0,-30.0,Call,79.0,20.0,-420.0,-80.00000000000003,39.99999999999999,-19.999999999999996,-20.0
CSX,CSX CORP COM,Bearish Call Modified Butterfly,-431.12,-800.0000000000005,800.0000000000005,1235.0000000005427,2700.000000000011,58.81,41.19,-0.15967407407407344,0.45740740740760655,0.2962962962962953,Call,76.5,10.0,Call,77.0,-30.0,Call,79.0,20.0,-489.99999999999994,-80.00000000000003,39.99999999999999,-19.999999999999996,-20.0
CSX,CSX CORP COM,Bearish Call Modified Butterfly,-336.68,-310.0000000000008,310.0000000000008,1245.000000000543,1690.0000000000105,58.81,41.19,-0.19921893491124137,0.7366863905328611,0.18343195266272122,Call,76.0,10.0,Call,77.0,-30.0,Call,78.5,20.0,-300.0000000000001,-60.00000000000001,39.99999999999999,1.1102230246251565e-14,-20.0
CSX,CSX CORP COM,Bearish Call Modified Butterfly,-311.27,-1090.0000000000005,1090.0000000000005,2025.0000000005427,2910.000000000011,57.52,42.48,-0.10696563573883121,0.6958762886599777,0.3745704467353939,Call,75.5,10.0,Call,76.5,-30.0,Call,79.0,20.0,-569.9999999999999,-30.00000000000003,49.99999999999998,-19.999999999999996,-20.0
CSX,CSX CORP COM,Bearish Call Modified Butterfly,-426.86,-520.0000000000006,520.0000000000006,955.0000000005429,1980.000000000011,56.22,43.78,-0.2155858585858574,0.4823232323235038,0.2626262626262615,Call,76.5,10.0,Call,77.0,-30.0,Call,78.5,20.0,-370.0,-60.00000000000001,39.99999999999999,1.1102230246251565e-14,-20.0
CSX,CSX CORP COM,Bearish Call Modified Butterfly,-259.48,-880.0,880.0,2815.000000000528,3120.0000000000114,56.22,43.78,-0.08316666666666638,0.9022435897437556,0.28205128205128105,Call,74.0,10.0,Call,76.0,-30.0,Call,79.0,20.0,-649.9999999999999,-70.00000000000006,70.0,-29.999999999999993,-20.0
CSX,CSX CORP COM,Bearish Call Modified Butterfly,-243.09,-1490.000000000001,1490.000000000001,1925.0000000005432,3010.00000000001,56.22,43.78,-0.08076079734219242,0.6395348837211086,0.4950166112956797,Call,76.0,10.0,Call,76.5,-30.0,Call,79.0,20.0,-629.9999999999998,-20.000000000000064,39.99999999999999,-19.999999999999996,-20.0
CSX,CSX CORP COM,Bearish Call Modified Butterfly,-469.79,-570.0000000000005,570.0000000000005,2005.0000000005427,2930.000000000011,56.22,43.78,-0.16033788395904378,0.684300341297111,0.1945392491467571,Call,75.0,10.0,Call,76.5,-30.0,Call,79.0,20.0,-529.9999999999998,-50.00000000000004,49.99999999999998,-29.999999999999993,-20.0
