Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
CVX,CHEVRON CORPORATION COM,Bullish Put Modified Butterfly,-321.46,-329.99999999999994,329.99999999999994,1314.9999999993884,2170.0000000000114,63.19,36.81,-0.14813824884792548,0.6059907834098532,0.15207373271889318,Call,85.0,20.0,Call,85.5,-30.0,Call,89.0,10.0,-210.00000000000023,-59.99999999999998,40.0,-20.0,-9.999999999999998
CVX,CHEVRON CORPORATION COM,Bullish Put Modified Butterfly,-345.48,-520.0,520.0,1504.9999999994025,2480.0000000000114,60.3,39.7,-0.1393064516129026,0.6068548387094337,0.20967741935483775,Call,84.5,20.0,Call,85.0,-30.0,Call,89.0,10.0,-289.9999999999998,-29.999999999999993,40.0,-20.0,-9.999999999999998
CVX,CHEVRON CORPORATION COM,Bullish Put Modified Butterfly,-310.72,-449.99999999999994,449.99999999999994,1434.9999999994025,2050.0000000000114,59.31,40.69,-0.15157073170731625,0.6999999999997046,0.21951219512194997,Call,84.5,20.0,Call,85.0,-30.0,Call,88.5,10.0,-259.9999999999997,-19.999999999999996,29.999999999999993,-20.0,-9.999999999999998
CVX,CHEVRON CORPORATION COM,Bullish Put Modified Butterfly,-287.23,-350.0,350.0,1334.9999999994025,1650.0000000000114,58.32,41.68,-0.1740787878787867,0.8090909090905414,0.21212121212121066,Call,84.5,20.0,Call,85.0,-30.0,Call,88.0,10.0,-219.99999999999974,-10.000000000000009,19.999999999999996,-9.999999999999998,-9.999999999999998
CVX,CHEVRON CORPORATION COM,Bullish Put Modified Butterfly,-466.02,-639.9999999999991,639.9999999999991,1624.9999999994159,2860.0000000000123,56.33,43.67,-0.16294405594405523,0.5681818181816115,0.2237762237762225,Call,84.0,20.0,Call,84.5,-30.0,Call,89.0,10.0,-360.00000000000006,-50.000000000000014,40.0,-40.0,-9.999999999999998
CVX,CHEVRON CORPORATION COM,Bullish Put Modified Butterfly,-293.25,-200.0,200.0,1184.9999999994025,1300.0000000000114,56.33,43.67,-0.2255769230769211,0.9115384615379939,0.1538461538461525,Call,84.5,20.0,Call,85.0,-30.0,Call,87.5,10.0,-169.99999999999974,0.0,10.000000000000009,-9.999999999999998,-9.999999999999998
CVX,CHEVRON CORPORATION COM,Bullish Put Modified Butterfly,-431.26,-569.9999999999991,569.9999999999991,1554.9999999994159,2430.0000000000123,55.32,44.68,-0.17747325102880568,0.6399176954730074,0.23456790123456633,Call,84.0,20.0,Call,84.5,-30.0,Call,88.5,10.0,-330.0,-40.000000000000014,29.999999999999993,-40.0,-9.999999999999998
CVX,CHEVRON CORPORATION COM,Bullish Put Modified Butterfly,-407.78,-469.9999999999991,469.9999999999991,1454.9999999994159,2030.0000000000123,54.31,45.69,-0.20087684729063918,0.7167487684726144,0.23152709359605728,Call,84.0,20.0,Call,84.5,-30.0,Call,88.0,10.0,-290.00000000000006,-30.00000000000003,19.999999999999996,-29.999999999999993,-9.999999999999998
CVX,CHEVRON CORPORATION COM,Bullish Put Modified Butterfly,-413.79,-319.9999999999991,319.9999999999991,1304.9999999994159,1680.0000000000123,53.29,46.71,-0.24630357142856965,0.7767857142853609,0.19047619047618855,Call,84.0,20.0,Call,84.5,-30.0,Call,87.5,10.0,-240.00000000000003,-20.000000000000018,10.000000000000009,-29.999999999999993,-9.999999999999998
CVX,CHEVRON CORPORATION COM,Bullish Put Modified Butterfly,-336.97,-740.0,740.0,2724.999999999431,2760.0000000000114,52.27,47.73,-0.12209057971014443,0.9873188405794999,0.2681159420289844,Call,82.0,20.0,Call,83.0,-30.0,Call,88.5,10.0,-389.99999999999966,-19.99999999999997,59.99999999999995,-30.0,-9.999999999999998
CVX,CHEVRON CORPORATION COM,Bullish Put Modified Butterfly,-371.72,-810.0,810.0,2794.999999999431,3190.0000000000114,52.27,47.73,-0.11652664576802467,0.8761755485891602,0.25391849529780475,Call,82.0,20.0,Call,83.0,-30.0,Call,89.0,10.0,-419.99999999999966,-29.99999999999997,69.99999999999996,-30.0,-9.999999999999998
CVX,CHEVRON CORPORATION COM,Bullish Put Modified Butterfly,-313.48,-640.0,640.0,2624.999999999431,2360.0000000000114,51.25,48.75,-0.13283050847457564,1.112288135592974,0.27118644067796477,Call,82.0,20.0,Call,83.0,-30.0,Call,88.0,10.0,-349.99999999999966,-9.999999999999986,49.99999999999996,-19.999999999999996,-9.999999999999998
