Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-373.96,-1540.0000000000002,1540.0000000000002,2499.999999998957,6460.000000000011,65.4,34.6,-0.05788854489164077,0.3869969040246057,0.2383900928792566,Call,71.0,10.0,Call,72.0,-30.0,Call,76.5,20.0,-650.0,-119.99999999999997,100.0,-39.99999999999999,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-492.61,-1120.0,1120.0,2579.9999999989564,6380.000000000011,65.4,34.6,-0.07721159874608137,0.40438871473337806,0.17554858934169248,Call,70.5,10.0,Call,72.0,-30.0,Call,76.5,20.0,-599.9999999999998,-129.99999999999997,100.0,-39.99999999999999,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-526.19,-960.0,960.0,2419.9999999989564,5540.000000000011,65.4,34.6,-0.09498014440433196,0.43682310469295155,0.17328519855595634,Call,70.5,10.0,Call,72.0,-30.0,Call,76.0,20.0,-559.9999999999998,-109.99999999999999,80.0,-39.99999999999999,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-407.55,-1380.0000000000002,1380.0000000000002,2339.999999998957,5620.000000000011,64.45,35.55,-0.07251779359430591,0.4163701067613794,0.24555160142348711,Call,71.0,10.0,Call,72.0,-30.0,Call,76.0,20.0,-610.0,-99.99999999999997,80.0,-39.99999999999999,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-367.21,-780.0000000000001,780.0000000000001,2239.9999999989564,3720.000000000011,64.45,35.55,-0.09871236559139755,0.6021505376341263,0.20967741935483813,Call,70.5,10.0,Call,72.0,-30.0,Call,75.0,20.0,-499.99999999999983,-69.99999999999997,80.0,-19.999999999999996,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-248.57,-1200.0000000000005,1200.0000000000005,2159.999999998957,3800.0000000000105,63.49,36.51,-0.06541315789473666,0.5684210526313028,0.3157894736842098,Call,71.0,10.0,Call,72.0,-30.0,Call,75.0,20.0,-550.0,-59.999999999999964,80.0,-19.999999999999996,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-386.63,-280.00000000000045,280.00000000000045,1239.9999999989568,1720.000000000011,59.56,40.44,-0.2247848837209288,0.7209302325575284,0.16279069767441784,Call,71.0,10.0,Call,72.0,-30.0,Call,73.5,20.0,-229.99999999999997,4.440892098500626e-14,20.000000000000018,1.1102230246251565e-14,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-820.53,-1690.0,1690.0,3149.999999999013,7810.000000000011,58.55,41.45,-0.10506145966709332,0.4033290653007694,0.21638924455825834,Call,69.5,10.0,Call,71.0,-30.0,Call,76.5,20.0,-830.0000000000001,-140.0,120.00000000000001,-49.999999999999986,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-761.03,-2100.0,2100.0,3059.999999999013,7900.000000000011,58.55,41.45,-0.09633291139240492,0.3873417721517733,0.2658227848101262,Call,70.0,10.0,Call,71.0,-30.0,Call,76.5,20.0,-890.0,-140.0,100.0,-49.999999999999986,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-695.13,-1350.0,1350.0,2809.999999999013,5150.000000000011,57.54,42.46,-0.13497669902912593,0.5456310679609723,0.2621359223300965,Call,69.5,10.0,Call,71.0,-30.0,Call,75.0,20.0,-730.0000000000001,-79.99999999999999,100.00000000000003,-29.999999999999993,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-794.61,-1940.0,1940.0,2899.999999999013,7060.000000000011,57.54,42.46,-0.11255099150141626,0.41076487252110605,0.27478753541076445,Call,70.0,10.0,Call,71.0,-30.0,Call,76.0,20.0,-850.0,-120.0,80.0,-49.999999999999986,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-854.11,-1530.0,1530.0,2989.999999999013,6970.000000000011,57.54,42.46,-0.12254088952654213,0.42898134863687354,0.2195121951219509,Call,69.5,10.0,Call,71.0,-30.0,Call,76.0,20.0,-790.0,-120.0,100.00000000000003,-49.999999999999986,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-691.1,-2370.0,2370.0,2829.999999999013,7130.000000000011,57.54,42.46,-0.0969284712482467,0.39691444600266607,0.3323983169705465,Call,70.5,10.0,Call,71.0,-30.0,Call,76.0,20.0,-889.9999999999999,-109.99999999999999,80.0,-39.99999999999999,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-657.51,-2530.0,2530.0,2989.999999999013,7970.000000000011,57.54,42.46,-0.08249811794228346,0.37515683814291206,0.31744040150564573,Call,70.5,10.0,Call,71.0,-30.0,Call,76.5,20.0,-929.9999999999999,-129.99999999999997,100.0,-39.99999999999999,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-614.59,-2800.000000000001,2800.000000000001,3759.999999999014,8200.000000000011,56.53,43.47,-0.0749499999999999,0.45853658536573283,0.341463414634146,Call,69.5,10.0,Call,70.5,-30.0,Call,76.5,20.0,-980.0000000000001,-110.00000000000001,120.00000000000001,-49.999999999999986,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-532.12,-2190.0,2190.0,2649.999999999013,5310.000000000011,56.53,43.47,-0.10021092278719376,0.49905838041412576,0.4124293785310726,Call,70.5,10.0,Call,71.0,-30.0,Call,75.0,20.0,-829.9999999999999,-69.99999999999997,80.0,-19.999999999999996,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-555.09,-3210.000000000001,3210.000000000001,3669.999999999014,8290.000000000011,56.53,43.47,-0.06695898673100112,0.4427020506633304,0.38721351025331685,Call,70.0,10.0,Call,70.5,-30.0,Call,76.5,20.0,-1040.0,-110.00000000000001,100.0,-49.999999999999986,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-635.63,-1760.0,1760.0,2719.999999999013,5240.000000000011,56.53,43.47,-0.12130343511450356,0.5190839694654594,0.33587786259541913,Call,70.0,10.0,Call,71.0,-30.0,Call,75.0,20.0,-790.0,-79.99999999999999,80.0,-29.999999999999993,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-588.68,-3050.000000000001,3050.000000000001,3509.999999999014,7450.00000000001,55.5,44.5,-0.07901744966442942,0.47114093959718245,0.409395973154362,Call,70.0,10.0,Call,70.5,-30.0,Call,76.0,20.0,-1000.0,-90.00000000000001,80.0,-49.999999999999986,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-648.18,-2640.000000000001,2640.000000000001,3599.999999999014,7360.00000000001,55.5,44.5,-0.08806793478260858,0.4891304347824741,0.3586956521739127,Call,69.5,10.0,Call,70.5,-30.0,Call,76.0,20.0,-940.0,-90.00000000000001,100.00000000000003,-49.999999999999986,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-1091.56,-1950.000000000001,1950.000000000001,3409.999999999014,8550.000000000011,55.5,44.5,-0.12766783625730976,0.39883040935660935,0.2280701754385963,Call,69.0,10.0,Call,70.5,-30.0,Call,76.5,20.0,-970.0000000000001,-129.99999999999997,110.00000000000001,-49.999999999999986,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-489.2,-2460.000000000001,2460.000000000001,3419.999999999014,5540.00000000001,55.5,44.5,-0.08830324909747277,0.6173285198554166,0.44404332129963836,Call,69.5,10.0,Call,70.5,-30.0,Call,75.0,20.0,-880.0000000000001,-50.0,100.00000000000003,-29.999999999999993,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-429.7,-2870.000000000001,2870.000000000001,3329.999999999014,5630.00000000001,54.47,45.53,-0.07632326820603894,0.5914742451152768,0.5097690941385428,Call,70.0,10.0,Call,70.5,-30.0,Call,75.0,20.0,-940.0,-50.0,80.0,-29.999999999999993,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-1125.14,-1790.000000000001,1790.000000000001,3249.999999999014,7710.00000000001,54.47,45.53,-0.14593255512321643,0.42153047989611026,0.23216601815823587,Call,69.0,10.0,Call,70.5,-30.0,Call,76.0,20.0,-930.0000000000001,-109.99999999999999,90.00000000000001,-49.999999999999986,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-544.05,-3850.0,3850.0,4309.999999999013,8650.000000000011,54.47,45.53,-0.06289595375722534,0.4982658959536425,0.4450867052023116,Call,69.5,10.0,Call,70.0,-30.0,Call,76.5,20.0,-1100.0,-79.99999999999999,120.00000000000001,-19.999999999999986,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-577.63,-3690.0,3690.0,4149.999999999013,7810.000000000011,53.44,46.56,-0.07396030729833536,0.5313700384121648,0.47247119078104927,Call,69.5,10.0,Call,70.0,-30.0,Call,76.0,20.0,-1060.0,-59.999999999999986,100.00000000000003,-19.999999999999986,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-966.17,-1610.000000000001,1610.000000000001,3069.999999999014,5890.00000000001,53.44,46.56,-0.16403565365025438,0.5212224108657061,0.2733446519524615,Call,69.0,10.0,Call,70.5,-30.0,Call,75.0,20.0,-870.0000000000001,-69.99999999999997,90.00000000000001,-29.999999999999993,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-1021.01,-3000.0,3000.0,3959.999999999013,9000.000000000011,52.4,47.6,-0.11344555555555541,0.4399999999998898,0.3333333333333329,Call,69.0,10.0,Call,70.0,-30.0,Call,76.5,20.0,-1090.0,-99.99999999999996,110.00000000000001,-19.999999999999986,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-418.65,-3510.0,3510.0,3969.999999999013,5990.000000000011,52.4,47.6,-0.06989148580968267,0.662771285475627,0.5859766277128536,Call,69.5,10.0,Call,70.0,-30.0,Call,75.0,20.0,-1000.0,-19.99999999999997,100.00000000000003,1.1102230246251565e-14,-20.0
DHI,DR HORTON INC COM,Bearish Call Modified Butterfly,-1054.6,-2840.0,2840.0,3799.999999999013,8160.000000000011,51.36,48.64,-0.12924019607843118,0.46568627450968236,0.34803921568627405,Call,69.0,10.0,Call,70.0,-30.0,Call,76.0,20.0,-1050.0,-79.99999999999996,90.00000000000001,-19.999999999999986,-20.0
