Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
EBAY,EBAY INC COM,Bearish Call Modified Butterfly,-263.06,-740.0,740.0,1175.0000000004002,4760.000000000011,70.32,29.68,-0.05526470588235281,0.24684873949588182,0.15546218487394922,Call,54.5,10.0,Call,55.0,-30.0,Call,58.0,20.0,-480.00000000000006,-160.0,50.0,-39.999999999999986,0.0
EBAY,EBAY INC COM,Bearish Call Modified Butterfly,-231.23,-560.0,560.0,995.0000000004002,2940.0000000000114,68.98,31.02,-0.07864965986394527,0.3384353741497947,0.19047619047618974,Call,54.5,10.0,Call,55.0,-30.0,Call,57.0,20.0,-380.0,-120.00000000000001,30.000000000000004,-19.999999999999986,0.0
EBAY,EBAY INC COM,Bearish Call Modified Butterfly,-244.04,-1200.0,1200.0,1635.000000000386,6300.000000000011,67.61,32.39,-0.03873650793650787,0.25952380952387033,0.19047619047619013,Call,54.0,10.0,Call,54.5,-30.0,Call,58.5,20.0,-709.9999999999999,-180.0,109.99999999999997,-39.999999999999986,10.0
EBAY,EBAY INC COM,Bearish Call Modified Butterfly,-207.48,-1280.0,1280.0,1715.000000000386,7220.000000000011,67.61,32.39,-0.028736842105263113,0.23753462603883427,0.1772853185595565,Call,54.0,10.0,Call,54.5,-30.0,Call,59.0,20.0,-729.9999999999999,-200.0,109.99999999999997,-39.999999999999986,10.0
EBAY,EBAY INC COM,Bearish Call Modified Butterfly,-210.39,-200.0,200.0,635.0000000004002,1300.0000000000114,67.61,32.39,-0.1618384615384601,0.48846153846184204,0.1538461538461525,Call,54.5,10.0,Call,55.0,-30.0,Call,56.0,20.0,-179.99999999999997,-39.99999999999999,10.000000000000009,-19.999999999999986,0.0
EBAY,EBAY INC COM,Bearish Call Modified Butterfly,-241.05,-1140.0,1140.0,1575.000000000386,5360.000000000011,66.21,33.79,-0.04497201492537305,0.293843283582161,0.21268656716417866,Call,54.0,10.0,Call,54.5,-30.0,Call,58.0,20.0,-649.9999999999998,-160.0,89.99999999999997,-39.999999999999986,10.0
EBAY,EBAY INC COM,Bearish Call Modified Butterfly,-209.21,-960.0,960.0,1395.000000000386,3540.000000000011,64.79,35.21,-0.05909887005649699,0.39406779661027735,0.27118644067796527,Call,54.0,10.0,Call,54.5,-30.0,Call,57.0,20.0,-549.9999999999998,-120.00000000000001,69.99999999999997,-19.999999999999986,10.0
EBAY,EBAY INC COM,Bearish Call Modified Butterfly,-351.97,-940.0,940.0,1375.000000000386,4560.000000000011,64.79,35.21,-0.07718640350877175,0.3015350877193822,0.20614035087719249,Call,54.0,10.0,Call,54.5,-30.0,Call,57.5,20.0,-589.9999999999999,-140.0,69.99999999999997,-19.999999999999986,10.0
EBAY,EBAY INC COM,Bearish Call Modified Butterfly,-188.38,-600.0,600.0,1035.000000000386,1900.0000000000114,63.35,36.65,-0.09914736842105204,0.5447368421054631,0.3157894736842086,Call,54.0,10.0,Call,54.5,-30.0,Call,56.0,20.0,-349.99999999999983,-39.99999999999999,49.99999999999998,-19.999999999999986,10.0
EBAY,EBAY INC COM,Bearish Call Modified Butterfly,-284.3,-719.9999999999999,719.9999999999999,1155.0000000003859,2780.0000000000114,63.35,36.65,-0.1022661870503593,0.41546762589941766,0.2589928057553946,Call,54.0,10.0,Call,54.5,-30.0,Call,56.5,20.0,-429.99999999999983,-79.99999999999999,49.99999999999998,-19.999999999999986,10.0
EBAY,EBAY INC COM,Bearish Call Modified Butterfly,-252.75,-260.0,260.0,695.000000000386,1240.0000000000114,60.39,39.61,-0.20383064516128846,0.5604838709680481,0.20967741935483677,Call,54.0,10.0,Call,54.5,-30.0,Call,55.5,20.0,-209.99999999999977,-19.99999999999997,29.99999999999996,1.1102230246251565e-14,10.0
