Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
GDXJ,VANECK VECTORS ETF TRUST JR GOLD MINERS E ETF,Bearish Call Modified Butterfly,-469.56,-300.0,300.0,1295.0000000004165,1700.0000000000114,54.73,45.27,-0.2762117647058805,0.7617647058825929,0.17647058823529294,Call,58.5,10.0,Call,59.5,-30.0,Call,61.0,20.0,-200.00000000000017,-10.000000000000009,29.999999999999936,5.551115123125783e-15,-20.0
GDXJ,VANECK VECTORS ETF TRUST JR GOLD MINERS E ETF,Bearish Call Modified Butterfly,-421.66,-640.0,640.0,1135.0000000004165,1860.0000000000114,53.8,46.2,-0.22669892473118142,0.610215053763661,0.34408602150537426,Call,59.0,10.0,Call,59.5,-30.0,Call,61.0,20.0,-250.00000000000026,0.0,29.999999999999936,5.551115123125783e-15,-20.0
GDXJ,VANECK VECTORS ETF TRUST JR GOLD MINERS E ETF,Bearish Call Modified Butterfly,-472.11,-449.9999999999991,449.9999999999991,1945.0000000004156,2050.0000000000123,52.86,47.14,-0.23029756097560838,0.9487804878050751,0.21951219512194947,Call,57.5,10.0,Call,59.0,-30.0,Call,61.0,20.0,-259.9999999999998,-20.000000000000018,19.99999999999997,1.1102230246251565e-14,-20.0
GDXJ,VANECK VECTORS ETF TRUST JR GOLD MINERS E ETF,Bearish Call Modified Butterfly,-349.98,-710.0,710.0,2705.0000000004025,2290.0000000000114,51.92,48.08,-0.15282969432314336,1.1812227074237507,0.3100436681222692,Call,56.5,10.0,Call,58.5,-30.0,Call,61.0,20.0,-319.99999999999994,4.440892098500626e-14,39.99999999999994,-9.999999999999986,-20.0
GDXJ,VANECK VECTORS ETF TRUST JR GOLD MINERS E ETF,Bearish Call Modified Butterfly,-519.85,-739.9999999999991,739.9999999999991,1735.0000000004156,2260.0000000000123,51.92,48.08,-0.23002212389380408,0.7676991150444276,0.3274336283185819,Call,58.0,10.0,Call,59.0,-30.0,Call,61.0,20.0,-309.9999999999998,-10.000000000000009,-4.440892098500626e-14,1.1102230246251565e-14,-20.0
GDXJ,VANECK VECTORS ETF TRUST JR GOLD MINERS E ETF,Bearish Call Modified Butterfly,-404.25,-260.0,260.0,755.0000000004167,1240.0000000000114,51.92,48.08,-0.326008064516126,0.6088709677422659,0.20967741935483677,Call,59.0,10.0,Call,59.5,-30.0,Call,60.5,20.0,-150.00000000000026,0.0,9.999999999999964,5.551115123125783e-15,-20.0
GDXJ,VANECK VECTORS ETF TRUST JR GOLD MINERS E ETF,Bearish Call Modified Butterfly,-479.26,-960.0,960.0,2455.0000000004025,2540.0000000000114,50.98,49.02,-0.18868503937007788,0.9665354330710203,0.37795275590551014,Call,57.0,10.0,Call,58.5,-30.0,Call,61.0,20.0,-379.9999999999999,4.440892098500626e-14,19.99999999999997,0.0,-20.0
GDXJ,VANECK VECTORS ETF TRUST JR GOLD MINERS E ETF,Bearish Call Modified Butterfly,-388.42,-1410.0,1410.0,2405.0000000004025,2590.0000000000114,50.98,49.02,-0.1499691119691113,0.9285714285715799,0.544401544401542,Call,57.5,10.0,Call,58.5,-30.0,Call,61.0,20.0,-409.9999999999998,10.000000000000032,19.99999999999997,1.1102230246251565e-14,-20.0
GDXJ,VANECK VECTORS ETF TRUST JR GOLD MINERS E ETF,Bearish Call Modified Butterfly,-495.13,-1079.999999999999,1079.999999999999,1575.0000000004156,2420.0000000000123,50.98,49.02,-0.20459917355371796,0.6508264462811602,0.44628099173553454,Call,58.5,10.0,Call,59.0,-30.0,Call,61.0,20.0,-349.99999999999983,-10.000000000000009,-4.440892098500626e-14,1.1102230246251565e-14,-20.0
GDXJ,VANECK VECTORS ETF TRUST JR GOLD MINERS E ETF,Bearish Call Modified Butterfly,-332.56,-330.0,330.0,2325.0000000004025,1670.0000000000114,50.03,49.97,-0.19913772455089684,1.3922155688625069,0.19760479041916032,Call,56.5,10.0,Call,58.5,-30.0,Call,60.5,20.0,-219.99999999999994,4.440892098500626e-14,19.99999999999997,-9.999999999999986,-20.0
GDXJ,VANECK VECTORS ETF TRUST JR GOLD MINERS E ETF,Bearish Call Modified Butterfly,-436.15,-1700.0,1700.0,2195.0000000004025,2800.000000000011,50.03,49.97,-0.15576785714285651,0.7839285714287121,0.6071428571428548,Call,58.0,10.0,Call,58.5,-30.0,Call,61.0,20.0,-459.9999999999998,20.000000000000018,-4.440892098500626e-14,1.1102230246251565e-14,-20.0
GDXJ,VANECK VECTORS ETF TRUST JR GOLD MINERS E ETF,Bearish Call Modified Butterfly,-502.43,-359.9999999999991,359.9999999999991,1355.0000000004156,1640.0000000000123,50.03,49.97,-0.30635975609755867,0.8262195121953692,0.21951219512194903,Call,58.0,10.0,Call,59.0,-30.0,Call,60.5,20.0,-209.99999999999977,-10.000000000000009,-20.000000000000018,1.1102230246251565e-14,-20.0
GDXJ,VANECK VECTORS ETF TRUST JR GOLD MINERS E ETF,Bearish Call Modified Butterfly,-477.71,-699.9999999999991,699.9999999999991,1195.0000000004156,1800.0000000000123,50.03,49.97,-0.2653944444444426,0.6638888888891152,0.38888888888888573,Call,58.5,10.0,Call,59.0,-30.0,Call,60.5,20.0,-249.99999999999983,-10.000000000000009,-20.000000000000018,1.1102230246251565e-14,-20.0
