Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
LEN,LENNAR CORP COM CL A,Bearish Call Modified Butterfly,-1248.13,-1450.0,1450.0,2915.0000000005293,7050.000000000011,56.2,43.8,-0.17703971631205648,0.41347517730503897,0.2056737588652479,Call,73.5,10.0,Call,75.0,-30.0,Call,80.0,20.0,-660.0,-59.999999999999986,159.99999999999994,-29.999999999999993,-20.0
LEN,LENNAR CORP COM CL A,Bearish Call Modified Butterfly,-1010.68,-1450.0,1450.0,3915.000000000515,7050.000000000011,56.2,43.8,-0.14335886524822672,0.5553191489362423,0.2056737588652479,Call,72.0,10.0,Call,74.5,-30.0,Call,80.0,20.0,-780.0000000000001,-89.99999999999997,119.99999999999996,-29.999999999999993,-20.0
LEN,LENNAR CORP COM CL A,Bearish Call Modified Butterfly,-1292.36,-1050.0,1050.0,3015.0000000005293,6950.000000000011,56.2,43.8,-0.18595107913669034,0.43381294964036327,0.15107913669064724,Call,73.0,10.0,Call,75.0,-30.0,Call,80.0,20.0,-600.0,-69.99999999999997,179.99999999999997,-40.0,-20.0
LEN,LENNAR CORP COM CL A,Bearish Call Modified Butterfly,-976.53,-2250.0,2250.0,3715.000000000515,7250.000000000011,55.35,44.65,-0.13469379310344806,0.5124137931035185,0.3103448275862064,Call,73.0,10.0,Call,74.5,-30.0,Call,80.0,20.0,-750.0,-69.99999999999997,149.99999999999997,-40.0,-20.0
LEN,LENNAR CORP COM CL A,Bearish Call Modified Butterfly,-1102.25,-1750.0,1750.0,3715.000000000515,7250.000000000011,55.35,44.65,-0.15203448275862047,0.5124137931035185,0.24137931034482724,Call,72.5,10.0,Call,74.5,-30.0,Call,80.0,20.0,-810.0,-89.99999999999997,109.99999999999999,-29.999999999999993,-20.0
LEN,LENNAR CORP COM CL A,Bearish Call Modified Butterfly,-1184.33,-1850.0,1850.0,2815.0000000005293,7150.000000000011,55.35,44.65,-0.16564055944055917,0.3937062937063671,0.25874125874125836,Call,74.0,10.0,Call,75.0,-30.0,Call,80.0,20.0,-770.0000000000001,-69.99999999999997,109.99999999999994,-19.999999999999996,-20.0
LEN,LENNAR CORP COM CL A,Bearish Call Modified Butterfly,-1049.63,-1550.0,1550.0,2515.0000000005293,5450.000000000011,54.5,45.5,-0.19259266055045834,0.4614678899083531,0.28440366972477005,Call,74.0,10.0,Call,75.0,-30.0,Call,79.0,20.0,-670.0000000000001,-29.99999999999996,89.99999999999994,-19.999999999999996,-20.0
LEN,LENNAR CORP COM CL A,Bearish Call Modified Butterfly,-868.5,-3050.0,3050.0,3515.000000000515,7450.000000000011,54.5,45.5,-0.11657718120805352,0.47181208053698115,0.4093959731543618,Call,74.0,10.0,Call,74.5,-30.0,Call,80.0,20.0,-920.0000000000001,-69.99999999999997,79.99999999999996,-19.999999999999996,-20.0
LEN,LENNAR CORP COM CL A,Bearish Call Modified Butterfly,-1113.43,-1150.0,1150.0,2615.0000000005293,5350.000000000011,54.5,45.5,-0.20811775700934537,0.4887850467290699,0.21495327102803694,Call,73.5,10.0,Call,75.0,-30.0,Call,79.0,20.0,-560.0,-19.99999999999997,139.99999999999994,-29.999999999999993,-20.0
LEN,LENNAR CORP COM CL A,Bearish Call Modified Butterfly,-932.3,-2650.0,2650.0,3615.000000000515,7350.000000000011,54.5,45.5,-0.1268435374149658,0.49183673469394684,0.3605442176870743,Call,73.5,10.0,Call,74.5,-30.0,Call,80.0,20.0,-810.0,-59.999999999999986,129.99999999999997,-29.999999999999993,-20.0
LEN,LENNAR CORP COM CL A,Bearish Call Modified Butterfly,-1200.11,-2150.0,2150.0,2615.0000000005293,7350.000000000011,54.5,45.5,-0.16328027210884327,0.35578231292524154,0.29251700680272064,Call,74.5,10.0,Call,75.0,-30.0,Call,80.0,20.0,-810.0,-59.999999999999986,109.99999999999994,-19.999999999999996,-20.0
LEN,LENNAR CORP COM CL A,Bearish Call Modified Butterfly,-758.0,-2650.0,2650.0,4615.000000000515,7350.000000000011,54.5,45.5,-0.10312925170068012,0.6278911564626541,0.3605442176870743,Call,72.0,10.0,Call,74.0,-30.0,Call,80.0,20.0,-900.0,-59.999999999999986,119.99999999999996,-29.999999999999993,-20.0
LEN,LENNAR CORP COM CL A,Bearish Call Modified Butterfly,-875.97,-1150.0,1150.0,3615.000000000515,5350.000000000011,54.5,45.5,-0.1637327102803735,0.6757009345795341,0.21495327102803694,Call,72.0,10.0,Call,74.5,-30.0,Call,79.0,20.0,-680.0000000000001,-49.99999999999996,99.99999999999996,-29.999999999999993,-20.0
