Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
MRK,MERCK & CO INC COM,Bearish Call Modified Butterfly,-399.15,-1369.999999999999,1369.999999999999,2819.999999998794,4130.000000000012,55.34,44.66,-0.09664648910411594,0.6828087167067278,0.3317191283292967,Call,83.0,10.0,Call,84.5,-30.0,Call,88.0,20.0,-730.0000000000001,-100.00000000000004,80.0,-40.0,-20.0
MRK,MERCK & CO INC COM,Bearish Call Modified Butterfly,-755.07,-860.0,860.0,1809.999999998795,4140.000000000011,55.34,44.66,-0.18238405797101404,0.43719806763255803,0.20772946859903327,Call,84.0,10.0,Call,85.0,-30.0,Call,88.0,20.0,-690.0,-129.99999999999997,50.0,-50.000000000000014,-20.0
MRK,MERCK & CO INC COM,Bearish Call Modified Butterfly,-359.86,-1189.999999999999,1189.999999999999,2639.999999998794,3310.000000000012,53.9,46.1,-0.10871903323262802,0.7975830815706297,0.35951661631419785,Call,83.0,10.0,Call,84.5,-30.0,Call,87.5,20.0,-630.0000000000001,-60.00000000000006,60.00000000000001,-19.999999999999996,-20.0
MRK,MERCK & CO INC COM,Bearish Call Modified Butterfly,-343.8,-1829.999999999999,1829.999999999999,2779.999999998794,4170.000000000012,53.9,46.1,-0.0824460431654674,0.6666666666663755,0.4388489208633079,Call,83.5,10.0,Call,84.5,-30.0,Call,88.0,20.0,-780.0000000000001,-80.00000000000003,70.00000000000001,-29.999999999999993,-20.0
MRK,MERCK & CO INC COM,Bearish Call Modified Butterfly,-715.78,-680.0,680.0,1629.999999998795,3320.0000000000114,53.9,46.1,-0.21559638554216792,0.4909638554213221,0.20481927710843303,Call,84.0,10.0,Call,85.0,-30.0,Call,87.5,20.0,-590.0,-90.00000000000001,30.000000000000014,-29.999999999999993,-20.0
MRK,MERCK & CO INC COM,Bearish Call Modified Butterfly,-660.99,-1300.0000000000002,1300.0000000000002,1749.9999999987951,4200.000000000011,53.9,46.1,-0.15737857142857103,0.4166666666663787,0.30952380952380876,Call,84.5,10.0,Call,85.0,-30.0,Call,88.0,20.0,-759.9999999999999,-120.00000000000001,39.99999999999999,-50.000000000000014,-20.0
MRK,MERCK & CO INC COM,Bearish Call Modified Butterfly,-304.51,-1649.999999999999,1649.999999999999,2599.999999998794,3350.000000000012,52.44,47.56,-0.09089850746268624,0.7761194029847119,0.4925373134328338,Call,83.5,10.0,Call,84.5,-30.0,Call,87.5,20.0,-680.0000000000001,-40.000000000000036,50.00000000000002,-9.999999999999986,-20.0
MRK,MERCK & CO INC COM,Bearish Call Modified Butterfly,-430.87,-2119.999999999999,2119.999999999999,2569.999999998794,4380.000000000012,52.44,47.56,-0.0983721461187212,0.586757990867303,0.4840182648401811,Call,84.0,10.0,Call,84.5,-30.0,Call,88.0,20.0,-869.9999999999999,-70.00000000000001,50.0,-19.999999999999996,-20.0
MRK,MERCK & CO INC COM,Bearish Call Modified Butterfly,-621.7,-1120.0000000000002,1120.0000000000002,1569.9999999987951,3380.000000000011,52.44,47.56,-0.18393491124260297,0.4644970414197604,0.3313609467455611,Call,84.5,10.0,Call,85.0,-30.0,Call,87.5,20.0,-659.9999999999999,-80.0,20.000000000000007,-29.999999999999993,-20.0
MRK,MERCK & CO INC COM,Bearish Call Modified Butterfly,-364.1,-909.9999999999991,909.9999999999991,2359.999999998794,2590.0000000000123,50.98,49.02,-0.1405791505791499,0.9111969111964412,0.3513513513513493,Call,83.0,10.0,Call,84.5,-30.0,Call,87.0,20.0,-490.0000000000001,-40.000000000000036,39.99999999999999,-19.999999999999996,-20.0
MRK,MERCK & CO INC COM,Bearish Call Modified Butterfly,-308.75,-1369.999999999999,1369.999999999999,2319.999999998794,2630.0000000000123,50.98,49.02,-0.11739543726235686,0.8821292775660773,0.5209125475285143,Call,83.5,10.0,Call,84.5,-30.0,Call,87.0,20.0,-540.0000000000001,-20.000000000000018,30.000000000000004,-9.999999999999986,-20.0
MRK,MERCK & CO INC COM,Bearish Call Modified Butterfly,-391.59,-1939.999999999999,1939.999999999999,2389.999999998794,3560.000000000012,50.98,49.02,-0.10999719101123558,0.6713483146064005,0.544943820224717,Call,84.0,10.0,Call,84.5,-30.0,Call,87.5,20.0,-770.0,-30.00000000000003,30.000000000000004,1.1102230246251565e-14,-20.0
MRK,MERCK & CO INC COM,Bearish Call Modified Butterfly,-720.02,-400.0,400.0,1349.999999998795,2600.0000000000114,50.98,49.02,-0.27693076923076804,0.5192307692303034,0.15384615384615316,Call,84.0,10.0,Call,85.0,-30.0,Call,87.0,20.0,-450.0000000000001,-70.0,9.999999999999998,-29.999999999999993,-20.0
MRK,MERCK & CO INC COM,Bearish Call Modified Butterfly,-625.94,-840.0000000000002,840.0000000000002,1289.9999999987951,2660.000000000011,50.98,49.02,-0.23531578947368326,0.4849624060145826,0.31578947368420934,Call,84.5,10.0,Call,85.0,-30.0,Call,87.0,20.0,-520.0,-59.999999999999986,-1.1102230246251565e-14,-29.999999999999993,-20.0
