Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
NKE,NIKE INC COM CL B,Bearish Call Modified Butterfly,-542.93,-399.9999999999991,399.9999999999991,1345.0000000008165,2600.0000000000236,62.31,37.69,-0.20881923076922884,0.5173076923080017,0.1538461538461521,Call,112.0,10.0,Call,113.0,-30.0,Call,115.0,20.0,-239.99999999999994,-39.99999999999999,9.999999999999964,-19.99999999999997,2.7755575615628914e-15
NKE,NIKE INC COM CL B,Bearish Call Modified Butterfly,-558.46,-609.9999999999998,609.9999999999998,2555.0000000007885,3390.0000000000227,59.12,40.88,-0.16473746312684256,0.7536873156344458,0.17994100294985124,Call,110.0,10.0,Call,112.0,-30.0,Call,115.0,20.0,-350.0000000000001,-60.00000000000001,59.999999999999964,-29.999999999999982,2.7755575615628914e-15
NKE,NIKE INC COM CL B,Bearish Call Modified Butterfly,-587.87,-1219.9999999999998,1219.9999999999998,2165.0000000007885,3780.0000000000227,57.5,42.5,-0.1555211640211631,0.572751322751528,0.32275132275132074,Call,111.0,10.0,Call,112.0,-30.0,Call,115.0,20.0,-440.0000000000001,-50.0,39.99999999999994,-19.99999999999997,2.7755575615628914e-15
NKE,NIKE INC COM CL B,Bearish Call Modified Butterfly,-581.66,-759.9999999999998,759.9999999999998,3705.0000000007885,4240.000000000023,55.86,44.14,-0.1371839622641502,0.8738207547171625,0.1792452830188669,Call,108.0,10.0,Call,111.0,-30.0,Call,115.0,20.0,-529.9999999999998,-59.999999999999964,79.99999999999999,-39.99999999999999,2.7755575615628914e-15
NKE,NIKE INC COM CL B,Bearish Call Modified Butterfly,-615.75,-1509.9999999999998,1509.9999999999998,3455.0000000007885,4490.000000000023,55.03,44.97,-0.137138084632516,0.7694877505569646,0.3363028953229381,Call,109.0,10.0,Call,111.0,-30.0,Call,115.0,20.0,-589.9999999999998,-39.99999999999994,69.99999999999997,-29.999999999999982,2.7755575615628914e-15
NKE,NIKE INC COM CL B,Bearish Call Modified Butterfly,-515.83,-660.0,660.0,1605.000000000789,2340.0000000000227,55.03,44.97,-0.22044017094016882,0.6858974358977664,0.28205128205127933,Call,111.0,10.0,Call,112.0,-30.0,Call,114.0,20.0,-280.00000000000006,-30.00000000000003,19.99999999999993,2.220446049250313e-14,2.7755575615628914e-15
NKE,NIKE INC COM CL B,Bearish Call Modified Butterfly,-431.58,-2410.0,2410.0,3355.000000000789,4590.000000000023,54.21,45.79,-0.0940261437908492,0.7309368191722816,0.5250544662309342,Call,110.0,10.0,Call,111.0,-30.0,Call,115.0,20.0,-649.9999999999999,-29.99999999999996,59.999999999999964,-29.999999999999982,2.7755575615628914e-15
NKE,NIKE INC COM CL B,Bearish Call Modified Butterfly,-543.71,-950.0,950.0,2895.000000000789,3050.0000000000227,52.54,47.46,-0.1782655737704905,0.9491803278691041,0.31147540983606326,Call,109.0,10.0,Call,111.0,-30.0,Call,114.0,20.0,-429.9999999999997,-19.999999999999986,49.99999999999996,-9.999999999999986,2.7755575615628914e-15
NKE,NIKE INC COM CL B,Bearish Call Modified Butterfly,-519.89,-2740.0,2740.0,4685.00000000076,5260.000000000023,51.71,48.29,-0.09883840304182466,0.8906844106465285,0.5209125475285149,Call,108.0,10.0,Call,110.0,-30.0,Call,115.0,20.0,-799.9999999999998,-29.999999999999982,20.000000000000018,-10.000000000000009,2.7755575615628914e-15
NKE,NIKE INC COM CL B,Bearish Call Modified Butterfly,-359.55,-1850.0,1850.0,2795.000000000789,3150.0000000000227,51.71,48.29,-0.11414285714285632,0.8873015873018314,0.5873015873015831,Call,110.0,10.0,Call,111.0,-30.0,Call,114.0,20.0,-489.9999999999999,-9.999999999999986,39.99999999999994,-9.999999999999986,2.7755575615628914e-15
NKE,NIKE INC COM CL B,Bearish Call Modified Butterfly,-727.67,-1689.9999999999998,1689.9999999999998,4635.00000000076,5310.000000000023,50.87,49.13,-0.1370376647834269,0.8728813559323428,0.3182674199623338,Call,107.0,10.0,Call,110.0,-30.0,Call,115.0,20.0,-769.9999999999999,-39.99999999999999,29.999999999999982,-19.999999999999996,2.7755575615628914e-15
NKE,NIKE INC COM CL B,Bearish Call Modified Butterfly,-553.98,-3490.0,3490.0,4435.00000000076,5510.000000000022,50.04,49.96,-0.10054083484573463,0.8049001814883381,0.6333938294010865,Call,109.0,10.0,Call,110.0,-30.0,Call,115.0,20.0,-859.9999999999998,-9.999999999999964,10.000000000000009,0.0,2.7755575615628914e-15
