Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
OIH,VANECK VECTORS ETF TRUST OIL SVCS ETF,Bearish Call Modified Butterfly,-1026.75,-930.0,930.0,1904.9999999962427,5070.000000000023,62.41,37.59,-0.20251479289940738,0.37573964496967144,0.18343195266272108,Call,129.5,10.0,Call,130.5,-30.0,Call,134.0,20.0,-259.99999999999994,1.1102230246251565e-14,80.00000000000007,-19.999999999999996,2.7755575615628914e-15
OIH,VANECK VECTORS ETF TRUST OIL SVCS ETF,Bearish Call Modified Butterfly,-1301.8,-880.0,880.0,1354.9999999962427,5620.000000000023,61.55,38.45,-0.23163701067615564,0.24110320284630554,0.1565836298932378,Call,130.0,10.0,Call,130.5,-30.0,Call,134.0,20.0,-280.00000000000006,1.1102230246251565e-14,80.00000000000007,-19.999999999999996,2.7755575615628914e-15
OIH,VANECK VECTORS ETF TRUST OIL SVCS ETF,Bearish Call Modified Butterfly,-1329.31,-1200.0,1200.0,2674.9999999962993,6300.000000000023,59.8,40.2,-0.21100158730158652,0.4246031746025857,0.1904761904761898,Call,128.0,10.0,Call,129.5,-30.0,Call,134.0,20.0,-309.9999999999998,1.1102230246251565e-14,80.00000000000007,-19.999999999999996,2.7755575615628914e-15
OIH,VANECK VECTORS ETF TRUST OIL SVCS ETF,Bearish Call Modified Butterfly,-1340.97,-1050.0,1050.0,3524.999999996328,6450.000000000023,59.8,40.2,-0.20790232558139463,0.5465116279064055,0.16279069767441803,Call,126.5,10.0,Call,129.0,-30.0,Call,134.0,20.0,-310.0000000000001,1.1102230246251565e-14,90.00000000000013,-19.999999999999996,2.7755575615628914e-15
OIH,VANECK VECTORS ETF TRUST OIL SVCS ETF,Bearish Call Modified Butterfly,-1388.81,-1400.0,1400.0,2374.9999999962993,6600.000000000023,59.36,40.64,-0.21042575757575685,0.35984848484792287,0.21212121212121138,Call,128.5,10.0,Call,129.5,-30.0,Call,134.0,20.0,-339.9999999999999,1.1102230246251565e-14,80.00000000000007,-19.999999999999996,2.7755575615628914e-15
OIH,VANECK VECTORS ETF TRUST OIL SVCS ETF,Bearish Call Modified Butterfly,-1185.03,-1500.0,1500.0,3474.999999996328,6500.000000000023,59.36,40.64,-0.18231230769230705,0.5346153846148178,0.23076923076922995,Call,127.0,10.0,Call,129.0,-30.0,Call,134.0,20.0,-330.00000000000006,1.1102230246251565e-14,100.00000000000009,-19.999999999999996,2.7755575615628914e-15
OIH,VANECK VECTORS ETF TRUST OIL SVCS ETF,Bearish Call Modified Butterfly,-1386.76,-1650.0,1650.0,2124.9999999962993,6850.000000000022,58.92,41.08,-0.2024467153284665,0.31021897810164856,0.24087591240875836,Call,129.0,10.0,Call,129.5,-30.0,Call,134.0,20.0,-359.99999999999994,1.1102230246251565e-14,80.00000000000007,-19.999999999999996,2.7755575615628914e-15
OIH,VANECK VECTORS ETF TRUST OIL SVCS ETF,Bearish Call Modified Butterfly,-1186.41,-759.9999999999991,759.9999999999991,2234.9999999962984,4740.000000000024,58.92,41.08,-0.2502974683544292,0.47151898734098885,0.16033755274261505,Call,128.0,10.0,Call,129.5,-30.0,Call,133.0,20.0,-249.99999999999974,1.1102230246251565e-14,80.00000000000007,-19.999999999999996,2.7755575615628914e-15
OIH,VANECK VECTORS ETF TRUST OIL SVCS ETF,Bearish Call Modified Butterfly,-1245.91,-959.9999999999991,959.9999999999991,1934.9999999962986,5040.000000000024,58.47,41.53,-0.24720436507936394,0.3839285714278352,0.1904761904761894,Call,128.5,10.0,Call,129.5,-30.0,Call,133.0,20.0,-279.99999999999983,1.1102230246251565e-14,80.00000000000007,-19.999999999999996,2.7755575615628914e-15
OIH,VANECK VECTORS ETF TRUST OIL SVCS ETF,Bearish Call Modified Butterfly,-1225.97,-1050.0,1050.0,5024.999999996385,6950.000000000023,58.47,41.53,-0.17639856115107858,0.7230215827332904,0.151079136690647,Call,124.0,10.0,Call,128.0,-30.0,Call,134.0,20.0,-350.0,1.1102230246251565e-14,140.0000000000001,-30.000000000000004,10.000000000000004
OIH,VANECK VECTORS ETF TRUST OIL SVCS ETF,Bearish Call Modified Butterfly,-1042.13,-1059.999999999999,1059.999999999999,3034.999999996327,4940.000000000024,58.47,41.53,-0.21095748987854152,0.614372469634881,0.21457489878542388,Call,127.0,10.0,Call,129.0,-30.0,Call,133.0,20.0,-270.0,1.1102230246251565e-14,100.00000000000009,-19.999999999999996,2.7755575615628914e-15
OIH,VANECK VECTORS ETF TRUST OIL SVCS ETF,Bearish Call Modified Butterfly,-1279.41,-1550.0,1550.0,4024.9999999963566,6950.000000000022,58.47,41.53,-0.1840877697841721,0.5791366906469559,0.22302158273381226,Call,126.0,10.0,Call,128.5,-30.0,Call,134.0,20.0,-350.0,1.1102230246251565e-14,100.00000000000009,-19.999999999999996,2.7755575615628914e-15
OIH,VANECK VECTORS ETF TRUST OIL SVCS ETF,Bearish Call Modified Butterfly,-1138.69,-2100.0,2100.0,3074.999999996328,6900.000000000022,58.47,41.53,-0.16502753623188354,0.4456521739125099,0.30434782608695554,Call,128.0,10.0,Call,129.0,-30.0,Call,134.0,20.0,-369.99999999999994,1.1102230246251565e-14,80.00000000000007,-19.999999999999996,2.7755575615628914e-15
