Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
ORCL,ORACLE CORP COM,Bearish Call Modified Butterfly,11.44,-170.0,170.0,1110.000000000424,830.0000000000114,72.87,27.13,0.013783132530120293,1.3373493975908541,0.20481927710843092,Call,58.0,10.0,Call,59.0,-30.0,Call,60.0,20.0,-60.00000000000006,2.220446049250313e-14,0.0,1.1102230246251565e-14,10.0
ORCL,ORACLE CORP COM,Bearish Call Modified Butterfly,-58.31,-320.0,320.0,760.000000000424,1180.0000000000114,70.59,29.41,-0.04941525423728766,0.6440677966105226,0.2711864406779635,Call,58.5,10.0,Call,59.0,-30.0,Call,60.0,20.0,-120.00000000000001,-9.999999999999964,0.0,1.1102230246251565e-14,0.0
ORCL,ORACLE CORP COM,Bearish Call Modified Butterfly,-124.17,-340.0,340.0,1280.000000000424,1660.0000000000114,68.22,31.78,-0.0748012048192766,0.7710843373496478,0.20481927710843234,Call,57.5,10.0,Call,58.5,-30.0,Call,60.0,20.0,-179.9999999999999,-29.999999999999982,0.0,1.1102230246251565e-14,10.0
ORCL,ORACLE CORP COM,Bearish Call Modified Butterfly,-128.26,-590.0,590.0,1030.000000000424,1910.0000000000114,67.0,33.0,-0.06715183246073259,0.5392670157070251,0.3089005235602076,Call,58.0,10.0,Call,58.5,-30.0,Call,60.0,20.0,-239.99999999999994,-29.999999999999982,0.0,1.1102230246251565e-14,10.0
ORCL,ORACLE CORP COM,Bearish Call Modified Butterfly,-134.24,-330.0,330.0,770.000000000424,1170.0000000000114,64.5,35.5,-0.11473504273504163,0.6581196581200142,0.28205128205127933,Call,58.0,10.0,Call,58.5,-30.0,Call,59.5,20.0,-159.9999999999999,-9.999999999999964,0.0,1.1102230246251565e-14,10.0
ORCL,ORACLE CORP COM,Bearish Call Modified Butterfly,-83.39,-69.99999999999977,69.99999999999977,510.0000000004238,430.0000000000116,63.22,36.78,-0.1939302325581343,1.1860465116288605,0.16279069767441368,Call,58.0,10.0,Call,58.5,-30.0,Call,59.0,20.0,-59.999999999999964,-9.999999999999964,0.0,1.1102230246251565e-14,10.0
ORCL,ORACLE CORP COM,Bearish Call Modified Butterfly,-274.8,-560.0000000000002,560.0000000000002,1500.0000000004102,2440.000000000011,63.22,36.78,-0.11262295081967164,0.6147540983608211,0.22950819672131054,Call,57.0,10.0,Call,58.0,-30.0,Call,60.0,20.0,-289.99999999999994,-60.00000000000006,9.999999999999986,1.1102230246251565e-14,-20.0
ORCL,ORACLE CORP COM,Bearish Call Modified Butterfly,-280.77,-300.0000000000002,300.0000000000002,1240.0000000004102,1700.0000000000111,61.93,38.07,-0.16515882352941066,0.7294117647061189,0.1764705882352931,Call,57.0,10.0,Call,58.0,-30.0,Call,59.5,20.0,-209.9999999999999,-40.000000000000036,9.999999999999986,1.1102230246251565e-14,-20.0
ORCL,ORACLE CORP COM,Bearish Call Modified Butterfly,-273.42,-850.0,850.0,1290.0000000004097,2650.0000000000114,61.93,38.07,-0.1031773584905656,0.4867924528303412,0.32075471698113067,Call,57.5,10.0,Call,58.0,-30.0,Call,60.0,20.0,-359.9999999999999,-60.00000000000006,0.0,1.1102230246251565e-14,-20.0
ORCL,ORACLE CORP COM,Bearish Call Modified Butterfly,-279.39,-590.0,590.0,1030.0000000004097,1910.0000000000114,60.62,39.38,-0.14627748691099388,0.5392670157070176,0.3089005235602076,Call,57.5,10.0,Call,58.0,-30.0,Call,59.5,20.0,-279.99999999999983,-40.000000000000036,0.0,1.1102230246251565e-14,-20.0
