Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
QCOM,QUALCOMM INC COM,Bearish Call Modified Butterfly,-371.05,-510.0000000000002,510.0000000000002,1509.9999999982665,2490.0000000000227,66.43,33.57,-0.14901606425702676,0.6064257028105433,0.20481927710843195,Call,119.0,10.0,Call,120.0,-30.0,Call,122.0,20.0,-190.00000000000003,-10.000000000000009,39.99999999999999,-19.99999999999997,2.7755575615628914e-15
QCOM,QUALCOMM INC COM,Bearish Call Modified Butterfly,-617.51,-1020.0000000000002,1020.0000000000002,2019.999999998295,3980.0000000000227,62.39,37.61,-0.1551532663316574,0.5075376884417797,0.2562814070351745,Call,118.0,10.0,Call,119.0,-30.0,Call,122.0,20.0,-319.99999999999994,-39.99999999999999,39.99999999999999,-9.999999999999964,2.7755575615628914e-15
QCOM,QUALCOMM INC COM,Bearish Call Modified Butterfly,-467.57,-580.0,580.0,1579.9999999982947,2420.0000000000227,60.61,39.39,-0.19321074380165107,0.6528925619827602,0.23966942148760106,Call,118.0,10.0,Call,119.0,-30.0,Call,121.0,20.0,-199.99999999999991,-19.99999999999997,19.99999999999997,10.000000000000032,2.7755575615628914e-15
QCOM,QUALCOMM INC COM,Bearish Call Modified Butterfly,-909.91,-1010.0000000000002,1010.0000000000002,3009.9999999983233,4990.000000000023,59.41,40.59,-0.1823466933867727,0.6032064128253125,0.2024048096192376,Call,116.0,10.0,Call,118.0,-30.0,Call,122.0,20.0,-400.0,-49.99999999999998,60.00000000000001,-50.0,2.7755575615628914e-15
QCOM,QUALCOMM INC COM,Bearish Call Modified Butterfly,-855.95,-1660.0000000000002,1660.0000000000002,2659.9999999983233,5340.000000000023,58.2,41.8,-0.16029026217228398,0.49812734082365395,0.3108614232209725,Call,117.0,10.0,Call,118.0,-30.0,Call,122.0,20.0,-480.00000000000006,-39.99999999999999,50.00000000000004,-50.0,2.7755575615628914e-15
QCOM,QUALCOMM INC COM,Bearish Call Modified Butterfly,-759.98,-570.0,570.0,2569.999999998323,3430.0000000000227,57.59,42.41,-0.22156851311953207,0.7492711370257451,0.1661807580174916,Call,116.0,10.0,Call,118.0,-30.0,Call,121.0,20.0,-280.0,-29.99999999999996,39.99999999999999,-30.000000000000004,2.7755575615628914e-15
QCOM,QUALCOMM INC COM,Bearish Call Modified Butterfly,-706.01,-1220.0,1220.0,2219.999999998323,3780.0000000000227,56.97,43.03,-0.18677513227513115,0.5873015873011401,0.3227513227513208,Call,117.0,10.0,Call,118.0,-30.0,Call,121.0,20.0,-360.00000000000006,-19.99999999999997,30.00000000000003,-30.000000000000004,2.7755575615628914e-15
QCOM,QUALCOMM INC COM,Bearish Call Modified Butterfly,-1039.61,-1110.0000000000002,1110.0000000000002,4109.999999998352,5890.000000000023,56.36,43.64,-0.17650424448217247,0.6977928692696665,0.18845500848896365,Call,114.0,10.0,Call,117.0,-30.0,Call,122.0,20.0,-450.0,-70.0,100.00000000000004,-49.99999999999998,2.7755575615628914e-15
QCOM,QUALCOMM INC COM,Bearish Call Modified Butterfly,-1153.68,-1710.0000000000002,1710.0000000000002,3709.999999998352,6290.000000000023,55.12,44.88,-0.18341494435612019,0.5898251192366198,0.27186009538950623,Call,115.0,10.0,Call,117.0,-30.0,Call,122.0,20.0,-570.0000000000001,-49.99999999999998,50.00000000000004,-29.999999999999982,2.7755575615628914e-15
QCOM,QUALCOMM INC COM,Bearish Call Modified Butterfly,-605.86,-620.0,620.0,1619.9999999983231,2380.0000000000227,55.12,44.88,-0.2545630252100816,0.680672268906852,0.2605042016806698,Call,117.0,10.0,Call,118.0,-30.0,Call,120.0,20.0,-220.0000000000001,-19.99999999999997,10.000000000000009,-30.000000000000004,2.7755575615628914e-15
QCOM,QUALCOMM INC COM,Bearish Call Modified Butterfly,-889.67,-670.0,670.0,3669.9999999983515,4330.000000000023,55.12,44.88,-0.20546651270207744,0.8475750577363353,0.15473441108544952,Call,114.0,10.0,Call,117.0,-30.0,Call,121.0,20.0,-330.0,-49.99999999999998,80.00000000000003,-29.999999999999982,2.7755575615628914e-15
QCOM,QUALCOMM INC COM,Bearish Call Modified Butterfly,-1010.39,-2510.0,2510.0,3509.9999999983515,6490.000000000022,54.5,45.5,-0.15568412942989163,0.5408320493063697,0.38674884437596174,Call,116.0,10.0,Call,117.0,-30.0,Call,122.0,20.0,-640.0000000000002,-49.99999999999998,30.00000000000003,-19.99999999999997,2.7755575615628914e-15
QCOM,QUALCOMM INC COM,Bearish Call Modified Butterfly,-1003.74,-1270.0,1270.0,3269.9999999983515,4730.000000000023,53.88,46.12,-0.21220718816067552,0.6913319238897115,0.2684989429175463,Call,115.0,10.0,Call,117.0,-30.0,Call,121.0,20.0,-450.0000000000001,-29.99999999999996,30.00000000000003,-9.999999999999986,2.7755575615628914e-15
QCOM,QUALCOMM INC COM,Bearish Call Modified Butterfly,-860.45,-2070.0,2070.0,3069.9999999983515,4930.000000000023,53.25,46.75,-0.17453346855983692,0.6227180527379995,0.41987829614604266,Call,116.0,10.0,Call,117.0,-30.0,Call,121.0,20.0,-520.0000000000002,-29.99999999999996,10.000000000000009,2.220446049250313e-14,2.7755575615628914e-15
QCOM,QUALCOMM INC COM,Bearish Call Modified Butterfly,-997.71,-2940.0,2940.0,4939.99999999838,7060.000000000022,52.63,47.37,-0.14131869688385226,0.6997167138807883,0.41643059490084855,Call,114.0,10.0,Call,116.0,-30.0,Call,122.0,20.0,-689.9999999999999,-40.000000000000014,69.99999999999997,-49.99999999999998,2.7755575615628914e-15
