Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
SBUX,STARBUCKS CORP COM,Bearish Call Modified Butterfly,-348.56,-340.0000000000002,340.0000000000002,1839.9999999988065,2160.000000000011,60.96,39.04,-0.16137037037036955,0.851851851851295,0.15740740740740672,Call,83.5,10.0,Call,85.0,-30.0,Call,87.0,20.0,-220.0000000000001,-50.0,39.99999999999999,-30.000000000000004,-20.0
SBUX,STARBUCKS CORP COM,Bearish Call Modified Butterfly,-371.49,-630.0000000000002,630.0000000000002,1629.9999999988065,2370.000000000011,59.92,40.08,-0.15674683544303725,0.687763713079662,0.26582278481012545,Call,84.0,10.0,Call,85.0,-30.0,Call,87.0,20.0,-270.0000000000001,-39.99999999999999,29.999999999999982,-30.000000000000004,-20.0
SBUX,STARBUCKS CORP COM,Bearish Call Modified Butterfly,-377.88,-910.0000000000002,910.0000000000002,1409.9999999988065,2590.000000000011,58.88,41.12,-0.14589961389961328,0.5444015444010813,0.35135135135135,Call,84.5,10.0,Call,85.0,-30.0,Call,87.0,20.0,-329.9999999999999,-39.99999999999999,19.99999999999997,-19.999999999999996,-20.0
SBUX,STARBUCKS CORP COM,Bearish Call Modified Butterfly,-428.06,-699.9999999999993,699.9999999999993,2199.999999998806,2800.000000000012,56.76,43.24,-0.15287857142857078,0.7857142857138559,0.2499999999999987,Call,83.0,10.0,Call,84.5,-30.0,Call,87.0,20.0,-320.0000000000001,-50.0,50.0,-30.000000000000004,-20.0
SBUX,STARBUCKS CORP COM,Bearish Call Modified Butterfly,-436.55,-1029.9999999999993,1029.9999999999993,2029.9999999988056,2970.000000000012,56.76,43.24,-0.14698653198653142,0.6835016835012786,0.34680134680134517,Call,83.5,10.0,Call,84.5,-30.0,Call,87.0,20.0,-370.0000000000001,-50.0,39.99999999999999,-30.000000000000004,-20.0
SBUX,STARBUCKS CORP COM,Bearish Call Modified Butterfly,-459.49,-1319.9999999999993,1319.9999999999993,1819.9999999988056,3180.000000000012,55.7,44.3,-0.14449371069182337,0.5723270440247795,0.41509433962263975,Call,84.0,10.0,Call,84.5,-30.0,Call,87.0,20.0,-420.0000000000001,-39.99999999999999,29.999999999999982,-30.000000000000004,-20.0
SBUX,STARBUCKS CORP COM,Bearish Call Modified Butterfly,-266.5,-349.99999999999955,349.99999999999955,849.9999999988058,1150.0000000000118,55.7,44.3,-0.23173913043478023,0.7391304347815627,0.304347826086953,Call,84.5,10.0,Call,85.0,-30.0,Call,86.0,20.0,-169.99999999999994,-19.99999999999997,-4.440892098500626e-14,0.0,2.7755575615628914e-15
SBUX,STARBUCKS CORP COM,Bearish Call Modified Butterfly,-325.17,-469.99999999999864,469.99999999999864,1469.999999998805,1530.0000000000127,53.55,46.45,-0.21252941176470413,0.9607843137247011,0.3071895424836567,Call,83.5,10.0,Call,84.5,-30.0,Call,86.0,20.0,-210.00000000000014,-29.999999999999982,19.99999999999997,-10.000000000000009,2.7755575615628914e-15
SBUX,STARBUCKS CORP COM,Bearish Call Modified Butterfly,-754.63,-870.0000000000002,870.0000000000002,2369.9999999988067,3630.000000000011,52.47,47.53,-0.20788705234159716,0.6528925619831404,0.23966942148760265,Call,82.5,10.0,Call,84.0,-30.0,Call,87.0,20.0,-450.00000000000017,-60.00000000000001,20.000000000000018,1.1102230246251565e-14,-20.0
SBUX,STARBUCKS CORP COM,Bearish Call Modified Butterfly,-717.24,-1270.0000000000002,1270.0000000000002,2269.9999999988067,3730.000000000011,52.47,47.53,-0.19228954423592437,0.6085790884715282,0.3404825737265406,Call,83.0,10.0,Call,84.0,-30.0,Call,87.0,20.0,-500.00000000000017,-50.0,20.000000000000018,1.1102230246251565e-14,-20.0
SBUX,STARBUCKS CORP COM,Bearish Call Modified Butterfly,-348.1,-759.9999999999986,759.9999999999986,1259.999999998805,1740.0000000000127,52.47,47.53,-0.20005747126436638,0.7241379310337906,0.4367816091953983,Call,84.0,10.0,Call,84.5,-30.0,Call,86.0,20.0,-260.0000000000001,-19.99999999999997,9.999999999999964,-10.000000000000009,2.7755575615628914e-15
SBUX,STARBUCKS CORP COM,Bearish Call Modified Butterfly,-725.72,-1600.0000000000002,1600.0000000000002,2099.9999999988067,3900.000000000011,51.39,48.61,-0.18608205128205077,0.538461538461231,0.4102564102564092,Call,83.5,10.0,Call,84.0,-30.0,Call,87.0,20.0,-550.0000000000002,-50.0,10.000000000000009,1.1102230246251565e-14,-20.0
SBUX,STARBUCKS CORP COM,Bearish Call Modified Butterfly,-773.35,-999.9999999999993,999.9999999999993,2999.999999998834,4000.000000000012,50.31,49.69,-0.19333749999999944,0.7499999999997062,0.24999999999999908,Call,81.5,10.0,Call,83.5,-30.0,Call,87.0,20.0,-530.0000000000001,-50.0,9.999999999999964,-9.999999999999986,-20.0
