Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
XBI,SPDR SERIES TRUST S&P BIOTECH ETF,Bearish Call Modified Butterfly,-355.41,-710.0,710.0,2205.0000000008004,3790.0000000000227,68.75,31.25,-0.093775725593667,0.5817941952508673,0.18733509234828383,Call,108.5,10.0,Call,110.0,-30.0,Call,113.0,20.0,-349.9999999999999,-39.99999999999999,120.00000000000001,-39.99999999999997,-20.0
XBI,SPDR SERIES TRUST S&P BIOTECH ETF,Bearish Call Modified Butterfly,-561.53,-620.0,620.0,1115.0000000008004,3880.0000000000227,68.06,31.94,-0.14472422680412286,0.28737113402082315,0.15979381443298876,Call,110.0,10.0,Call,110.5,-30.0,Call,113.0,20.0,-309.99999999999994,-39.99999999999999,90.00000000000003,-39.99999999999997,-20.0
XBI,SPDR SERIES TRUST S&P BIOTECH ETF,Bearish Call Modified Butterfly,-289.72,-1250.0,1250.0,1745.0000000008004,4250.000000000023,66.64,33.36,-0.06816941176470552,0.41058823529430377,0.29411764705882193,Call,109.5,10.0,Call,110.0,-30.0,Call,113.0,20.0,-419.99999999999994,-39.99999999999999,120.00000000000001,-39.99999999999997,-20.0
XBI,SPDR SERIES TRUST S&P BIOTECH ETF,Bearish Call Modified Butterfly,-454.4,-680.0000000000009,680.0000000000009,2675.000000000787,4320.000000000022,66.64,33.36,-0.10518518518518465,0.6192129629631421,0.15740740740740683,Call,107.5,10.0,Call,109.5,-30.0,Call,113.0,20.0,-390.0000000000001,-39.99999999999999,129.99999999999997,-39.99999999999997,-20.0
XBI,SPDR SERIES TRUST S&P BIOTECH ETF,Bearish Call Modified Butterfly,-358.06,-970.0,970.0,1465.0000000008004,3530.0000000000227,65.92,34.08,-0.10143342776203901,0.41501416430617305,0.2747875354107631,Call,109.5,10.0,Call,110.0,-30.0,Call,112.5,20.0,-339.9999999999999,-39.99999999999999,100.0,-19.99999999999997,-20.0
XBI,SPDR SERIES TRUST S&P BIOTECH ETF,Bearish Call Modified Butterfly,-391.37,-1030.000000000001,1030.000000000001,2525.000000000787,4470.000000000022,65.92,34.08,-0.08755480984340003,0.5648769574945806,0.2304250559284107,Call,108.0,10.0,Call,109.5,-30.0,Call,113.0,20.0,-430.00000000000017,-39.99999999999999,120.00000000000001,-39.99999999999997,-20.0
XBI,SPDR SERIES TRUST S&P BIOTECH ETF,Bearish Call Modified Butterfly,-408.44,-1280.000000000001,1280.000000000001,2275.000000000787,4720.000000000022,65.2,34.8,-0.08653389830508434,0.48199152542389334,0.27118644067796505,Call,108.5,10.0,Call,109.5,-30.0,Call,113.0,20.0,-470.0,-39.99999999999999,120.00000000000001,-39.99999999999997,-20.0
XBI,SPDR SERIES TRUST S&P BIOTECH ETF,Bearish Call Modified Butterfly,-459.71,-750.0000000000009,750.0000000000009,2245.000000000787,3750.000000000022,65.2,34.8,-0.12258933333333262,0.5986666666668731,0.19999999999999907,Call,108.0,10.0,Call,109.5,-30.0,Call,112.5,20.0,-350.0,-39.99999999999999,100.0,-19.99999999999997,-20.0
XBI,SPDR SERIES TRUST S&P BIOTECH ETF,Bearish Call Modified Butterfly,-476.78,-1000.0000000000009,1000.0000000000009,1995.0000000007872,4000.000000000022,64.47,35.53,-0.11919499999999934,0.4987500000001941,0.24999999999999886,Call,108.5,10.0,Call,109.5,-30.0,Call,112.5,20.0,-389.99999999999994,-39.99999999999999,100.0,-19.99999999999997,-20.0
XBI,SPDR SERIES TRUST S&P BIOTECH ETF,Bearish Call Modified Butterfly,-397.33,-690.0000000000002,690.0000000000002,1185.0000000008006,2810.0000000000227,64.47,35.53,-0.14139857651245435,0.42170818505366225,0.24555160142348564,Call,109.5,10.0,Call,110.0,-30.0,Call,112.0,20.0,-279.9999999999999,-19.99999999999997,79.99999999999999,-19.99999999999997,2.7755575615628914e-15
XBI,SPDR SERIES TRUST S&P BIOTECH ETF,Bearish Call Modified Butterfly,-498.98,-470.0000000000009,470.0000000000009,1965.0000000007872,3030.000000000022,63.73,36.27,-0.1646798679867975,0.6485148514854037,0.1551155115511543,Call,108.0,10.0,Call,109.5,-30.0,Call,112.0,20.0,-290.0000000000002,-19.99999999999997,79.99999999999999,-19.99999999999997,5.551115123125783e-15
XBI,SPDR SERIES TRUST S&P BIOTECH ETF,Bearish Call Modified Butterfly,-425.34,-389.9999999999998,389.9999999999998,885.0000000008001,2110.0000000000227,63.73,36.27,-0.2015829383886234,0.4194312796212278,0.18483412322274673,Call,109.5,10.0,Call,110.0,-30.0,Call,111.5,20.0,-199.99999999999991,-19.99999999999997,60.00000000000001,-19.99999999999997,2.7755575615628914e-15
