Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
XLK,SELECT SECTOR SPDR TRUST TECHNOLOGY ETF,Bearish Call Modified Butterfly,-524.67,-1130.0,1130.0,2110.000000000885,4870.000000000023,65.07,34.93,-0.10773511293634445,0.4332648870638347,0.2320328542094445,Call,123.0,10.0,Call,124.0,-30.0,Call,127.5,20.0,-450.0,-59.999999999999986,89.99999999999997,-59.999999999999986,-20.0
XLK,SELECT SECTOR SPDR TRUST TECHNOLOGY ETF,Bearish Call Modified Butterfly,-497.21,-950.0,950.0,1930.000000000885,4050.0000000000227,64.34,35.66,-0.12276790123456721,0.476543209876759,0.23456790123456658,Call,123.0,10.0,Call,124.0,-30.0,Call,127.0,20.0,-390.00000000000006,-59.999999999999986,69.99999999999997,-39.99999999999999,-20.0
XLK,SELECT SECTOR SPDR TRUST TECHNOLOGY ETF,Bearish Call Modified Butterfly,-381.27,-830.0,830.0,1810.000000000885,3170.0000000000227,64.34,35.66,-0.12027444794952595,0.5709779179813477,0.2618296529968435,Call,123.0,10.0,Call,124.0,-30.0,Call,126.5,20.0,-330.0,-39.99999999999997,50.0,-39.99999999999999,2.7755575615628914e-15
XLK,SELECT SECTOR SPDR TRUST TECHNOLOGY ETF,Bearish Call Modified Butterfly,-394.71,-549.9999999999998,549.9999999999998,1530.000000000885,2450.0000000000227,62.88,37.12,-0.1611061224489781,0.6244897959187228,0.22448979591836518,Call,123.0,10.0,Call,124.0,-30.0,Call,126.0,20.0,-250.0,-19.99999999999997,29.999999999999982,-19.999999999999996,2.7755575615628914e-15
XLK,SELECT SECTOR SPDR TRUST TECHNOLOGY ETF,Bearish Call Modified Butterfly,-744.93,-1140.0,1140.0,3120.000000000871,5860.000000000023,61.39,38.61,-0.12712116040955582,0.5324232081912729,0.19453924914675694,Call,121.0,10.0,Call,123.0,-30.0,Call,127.5,20.0,-560.0,-69.99999999999997,130.0,-70.0,-20.0
XLK,SELECT SECTOR SPDR TRUST TECHNOLOGY ETF,Bearish Call Modified Butterfly,-601.53,-840.0,840.0,2820.000000000871,4160.000000000023,60.64,39.36,-0.1445985576923069,0.677884615384821,0.20192307692307582,Call,121.0,10.0,Call,123.0,-30.0,Call,126.5,20.0,-440.00000000000006,-49.99999999999996,90.00000000000003,-50.0,2.7755575615628914e-15
XLK,SELECT SECTOR SPDR TRUST TECHNOLOGY ETF,Bearish Call Modified Butterfly,-717.47,-960.0,960.0,2940.000000000871,5040.000000000023,60.64,39.36,-0.14235515873015808,0.5833333333335035,0.1904761904761896,Call,121.0,10.0,Call,123.0,-30.0,Call,127.0,20.0,-500.0000000000001,-69.99999999999997,110.00000000000001,-50.0,-20.0
XLK,SELECT SECTOR SPDR TRUST TECHNOLOGY ETF,Bearish Call Modified Butterfly,-556.57,-1950.0,1950.0,2930.000000000871,6050.000000000023,60.64,39.36,-0.09199504132231372,0.48429752066129916,0.3223140495867757,Call,122.0,10.0,Call,123.0,-30.0,Call,127.5,20.0,-630.0000000000001,-59.999999999999986,120.00000000000004,-59.999999999999986,-20.0
XLK,SELECT SECTOR SPDR TRUST TECHNOLOGY ETF,Bearish Call Modified Butterfly,-529.11,-1770.0,1770.0,2750.000000000871,5230.000000000023,60.64,39.36,-0.10116826003824048,0.5258126195030323,0.33843212237093545,Call,122.0,10.0,Call,123.0,-30.0,Call,127.0,20.0,-570.0000000000002,-59.999999999999986,100.00000000000004,-39.99999999999999,-20.0
XLK,SELECT SECTOR SPDR TRUST TECHNOLOGY ETF,Bearish Call Modified Butterfly,-586.08,-1070.0,1070.0,4550.000000000857,6430.000000000023,59.89,40.11,-0.09114774494556734,0.7076205287715148,0.16640746500777545,Call,118.5,10.0,Call,122.0,-30.0,Call,127.5,20.0,-670.0,-99.99999999999997,160.00000000000003,-90.00000000000001,-9.999999999999998
XLK,SELECT SECTOR SPDR TRUST TECHNOLOGY ETF,Bearish Call Modified Butterfly,-413.17,-1650.0,1650.0,2630.000000000871,4350.000000000023,59.89,40.11,-0.0949816091954018,0.6045977011496223,0.37931034482758424,Call,122.0,10.0,Call,123.0,-30.0,Call,126.5,20.0,-510.0000000000001,-39.99999999999997,80.00000000000007,-39.99999999999999,2.7755575615628914e-15
XLK,SELECT SECTOR SPDR TRUST TECHNOLOGY ETF,Bearish Call Modified Butterfly,-426.6,-1369.9999999999998,1369.9999999999998,2350.0000000008704,3630.0000000000227,59.13,40.87,-0.11752066115702406,0.6473829201104285,0.3774104683195568,Call,122.0,10.0,Call,123.0,-30.0,Call,126.0,20.0,-430.00000000000017,-19.99999999999997,60.00000000000006,-19.999999999999996,2.7755575615628914e-15
XLK,SELECT SECTOR SPDR TRUST TECHNOLOGY ETF,Bearish Call Modified Butterfly,-614.97,-559.9999999999998,559.9999999999998,2540.0000000008704,3440.0000000000227,59.13,40.87,-0.17877034883720813,0.7383720930235039,0.16279069767441745,Call,121.0,10.0,Call,123.0,-30.0,Call,126.0,20.0,-360.00000000000006,-29.99999999999996,70.00000000000001,-30.000000000000004,2.7755575615628914e-15
XLK,SELECT SECTOR SPDR TRUST TECHNOLOGY ETF,Bearish Call Modified Butterfly,-539.63,-1520.0,1520.0,4500.000000000857,6480.000000000023,59.13,40.87,-0.08327623456790094,0.6944444444445742,0.23456790123456708,Call,119.0,10.0,Call,122.0,-30.0,Call,127.5,20.0,-690.0000000000001,-89.99999999999997,160.00000000000003,-80.0,-9.999999999999998
XLK,SELECT SECTOR SPDR TRUST TECHNOLOGY ETF,Bearish Call Modified Butterfly,-558.62,-890.0,890.0,4370.000000000857,5610.000000000023,59.13,40.87,-0.09957575757575718,0.7789661319074579,0.15864527629233446,Call,118.5,10.0,Call,122.0,-30.0,Call,127.0,20.0,-610.0,-99.99999999999997,140.00000000000003,-70.00000000000001,-9.999999999999998
