Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-1859.67,-3350.0,3350.0,13335.000000014224,21650.00000000009,67.32,32.68,-0.08589699769053082,0.6159353348736336,0.1547344110854497,Call,495.0,20.0,Call,500.0,-30.0,Call,535.0,10.0,-190.0000000000001,2.7755575615628914e-15,289.99999999999994,-120.00000000000001,-30.0
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-1756.92,-2650.0,2650.0,12635.000000014224,17350.00000000009,66.58,33.42,-0.10126340057636835,0.7282420749287699,0.1527377521613825,Call,495.0,20.0,Call,500.0,-30.0,Call,530.0,10.0,-150.00000000000009,2.7755575615628914e-15,230.00000000000006,-100.0,-30.0
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-3100.46,-4050.0,4050.0,14035.00000001394,25950.00000000009,62.69,37.31,-0.11947822736030787,0.5408477842009207,0.15606936416184916,Call,490.0,20.0,Call,495.0,-30.0,Call,535.0,10.0,-289.99999999999994,2.7755575615628914e-15,280.0,-130.00000000000017,-10.000000000000004
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-2997.71,-3350.0,3350.0,13335.00000001394,21650.00000000009,61.91,38.09,-0.13846235565819803,0.6159353348736205,0.1547344110854497,Call,490.0,20.0,Call,495.0,-30.0,Call,530.0,10.0,-249.99999999999991,2.7755575615628914e-15,220.0000000000001,-110.00000000000014,-10.000000000000004
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-3248.15,-6150.0,6150.0,16135.000000013657,28850.000000000087,59.43,40.57,-0.11258752166377782,0.5592720970541979,0.21317157712304963,Call,485.0,20.0,Call,490.0,-30.0,Call,535.0,10.0,-360.0000000000002,2.7755575615628914e-15,289.9999999999998,-129.99999999999997,-39.999999999999986
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-3145.4,-5450.0,5450.0,15435.000000013657,24550.00000000009,58.63,41.37,-0.12812219959266755,0.6287169042775397,0.22199592668024357,Call,485.0,20.0,Call,490.0,-30.0,Call,530.0,10.0,-320.00000000000017,2.7755575615628914e-15,229.9999999999999,-109.99999999999997,-39.999999999999986
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-2909.82,-4700.0,4700.0,14685.000000013657,20300.00000000009,57.71,42.29,-0.14334088669950676,0.7233990147789946,0.23152709359605808,Call,485.0,20.0,Call,490.0,-30.0,Call,525.0,10.0,-290.0000000000002,2.7755575615628914e-15,189.99999999999986,-89.99999999999994,-39.999999999999986
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-2616.19,-3800.0,3800.0,13785.000000013657,16200.000000000091,56.67,43.33,-0.1614932098765423,0.8509259259267642,0.23456790123456658,Call,485.0,20.0,Call,490.0,-30.0,Call,520.0,10.0,-240.00000000000023,2.7755575615628914e-15,149.99999999999983,-69.99999999999997,-29.99999999999999
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-3761.35,-8200.0,8200.0,18185.000000013373,31800.000000000087,55.97,44.03,-0.11828144654088017,0.5718553459123686,0.25786163522012506,Call,480.0,20.0,Call,485.0,-30.0,Call,535.0,10.0,-449.9999999999997,2.7755575615628914e-15,220.00000000000003,-100.0,-39.999999999999986
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-3658.6,-7500.0,7500.0,17485.000000013373,27500.000000000087,55.15,44.85,-0.13303999999999958,0.6358181818186661,0.2727272727272719,Call,480.0,20.0,Call,485.0,-30.0,Call,530.0,10.0,-409.9999999999997,2.7755575615628914e-15,160.00000000000014,-79.99999999999999,-39.999999999999986
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-2590.23,-2400.0,2400.0,12385.000000013657,12600.000000000091,55.03,44.97,-0.20557380952380805,0.9829365079375847,0.1904761904761891,Call,485.0,20.0,Call,490.0,-30.0,Call,515.0,10.0,-190.00000000000023,2.7755575615628914e-15,99.99999999999983,-49.99999999999996,-29.99999999999999
