Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
ADBE,ADOBE INC COM,Bearish Call Modified Butterfly,-3120.79,-3950.0,3950.0,13909.999999878619,26050.00000000009,68.47,31.53,-0.11979999999999957,0.533973128594187,0.1516314779270628,Call,515.0,10.0,Call,525.0,-30.0,Call,545.0,20.0,-279.9999999999997,2.7755575615628914e-15,649.9999999999997,-160.0,-29.999999999999993
ADBE,ADOBE INC COM,Bearish Call Modified Butterfly,-1134.12,-3750.0,3750.0,13709.999999878619,16250.000000000091,68.37,31.63,-0.0697919999999996,0.8436923076848334,0.23076923076922948,Call,515.0,10.0,Call,525.0,-30.0,Call,540.0,20.0,-219.99999999999983,2.7755575615628914e-15,569.9999999999998,-119.99999999999997,-29.999999999999993
ADBE,ADOBE INC COM,Bearish Call Modified Butterfly,-4193.76,-5250.0,5250.0,10209.999999878619,29750.000000000087,66.63,33.37,-0.14096672268907523,0.34319327730684335,0.1764705882352936,Call,520.0,10.0,Call,525.0,-30.0,Call,545.0,20.0,-339.9999999999999,2.7755575615628914e-15,589.9999999999997,-160.0,-39.99999999999999
ADBE,ADOBE INC COM,Bearish Call Modified Butterfly,-2207.09,-5050.0,5050.0,10009.999999878619,19950.00000000009,66.52,33.48,-0.1106310776942351,0.5017543859588257,0.2531328320801993,Call,520.0,10.0,Call,525.0,-30.0,Call,540.0,20.0,-279.9999999999999,5.551115123125783e-15,509.9999999999998,-119.99999999999993,-39.99999999999999
ADBE,ADOBE INC COM,Bearish Call Modified Butterfly,-3122.08,-7400.0,7400.0,9859.999999878619,30100.000000000087,66.42,33.58,-0.10372358803986681,0.32757475082653126,0.2458471760797335,Call,522.5,10.0,Call,525.0,-30.0,Call,545.0,20.0,-379.99999999999983,2.7755575615628914e-15,649.9999999999997,-160.0,-39.99999999999999
ADBE,ADOBE INC COM,Bearish Call Modified Butterfly,-1135.41,-7200.0,7200.0,9659.999999878619,20300.00000000009,66.32,33.68,-0.05593152709359581,0.47586206895953576,0.3546798029556634,Call,522.5,10.0,Call,525.0,-30.0,Call,540.0,20.0,-319.99999999999994,2.7755575615628914e-15,569.9999999999999,-119.99999999999993,-39.99999999999999
ADBE,ADOBE INC COM,Bearish Call Modified Butterfly,-3480.13,-6000.0,6000.0,8459.999999878619,26500.00000000009,65.69,34.31,-0.13132566037735804,0.3192452830142864,0.22641509433962187,Call,522.5,10.0,Call,525.0,-30.0,Call,542.5,20.0,-339.9999999999999,5.551115123125783e-15,569.9999999999995,-119.99999999999993,-39.99999999999999
ADBE,ADOBE INC COM,Bearish Call Modified Butterfly,-4794.01,-5300.0,5300.0,12759.999999879756,32200.000000000087,65.27,34.73,-0.14888229813664555,0.39627329192173044,0.16459627329192503,Call,515.0,10.0,Call,522.5,-30.0,Call,545.0,20.0,-339.9999999999999,2.7755575615628914e-15,439.9999999999999,-160.0,-29.999999999999993
ADBE,ADOBE INC COM,Bearish Call Modified Butterfly,-2807.34,-5100.0,5100.0,12559.999999879756,22400.00000000009,65.16,34.84,-0.12532767857142807,0.5607142857089153,0.2276785714285705,Call,515.0,10.0,Call,522.5,-30.0,Call,540.0,20.0,-280.00000000000006,2.7755575615628914e-15,359.99999999999994,-119.99999999999997,-29.999999999999993
ADBE,ADOBE INC COM,Bearish Call Modified Butterfly,-2884.66,-4150.0,4150.0,16609.999999880893,23350.00000000009,64.74,35.26,-0.12354004282655197,0.7113490363974658,0.1777301927194854,Call,507.5,10.0,Call,520.0,-30.0,Call,540.0,20.0,-310.00000000000006,2.7755575615628914e-15,540.0,-129.99999999999997,-19.999999999999996
ADBE,ADOBE INC COM,Bearish Call Modified Butterfly,-3081.97,-4000.0,4000.0,6459.999999878619,18500.00000000009,64.63,35.37,-0.16659297297297215,0.3491891891826263,0.21621621621621515,Call,522.5,10.0,Call,525.0,-30.0,Call,537.5,20.0,-259.9999999999999,2.7755575615628914e-15,429.9999999999997,-79.99999999999999,-19.999999999999996
ADBE,ADOBE INC COM,Bearish Call Modified Butterfly,-1814.03,-3900.0,3900.0,6359.999999878619,13600.000000000091,64.52,35.48,-0.1333845588235285,0.4676470588146012,0.28676470588235103,Call,522.5,10.0,Call,525.0,-30.0,Call,535.0,20.0,-219.99999999999994,2.7755575615628914e-15,409.9999999999998,-59.999999999999964,-19.999999999999996
ADBE,ADOBE INC COM,Bearish Call Modified Butterfly,-826.06,-3400.0,3400.0,5859.999999878619,9100.000000000091,64.31,35.69,-0.09077582417582326,0.6439560439426989,0.3736263736263699,Call,522.5,10.0,Call,525.0,-30.0,Call,532.5,20.0,-179.9999999999999,2.7755575615628914e-15,409.9999999999998,-59.999999999999964,-19.999999999999996
ADBE,ADOBE INC COM,Bearish Call Modified Butterfly,-5113.64,-5550.0,5550.0,15509.999999880893,34450.00000000009,64.1,35.9,-0.14843657474600835,0.45021770681802187,0.1611030478955003,Call,510.0,10.0,Call,520.0,-30.0,Call,545.0,20.0,-399.9999999999999,2.7755575615628914e-15,600.0,-160.0,-19.999999999999996
ADBE,ADOBE INC COM,Bearish Call Modified Butterfly,-3126.98,-5350.0,5350.0,15309.999999880893,24650.00000000009,63.99,36.01,-0.12685517241379263,0.6210953346807642,0.21703853955375174,Call,510.0,10.0,Call,520.0,-30.0,Call,540.0,20.0,-340.0000000000001,2.7755575615628914e-15,520.0000000000001,-119.99999999999997,-19.999999999999996
