Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
BA,BOEING CO COM,Bearish Call Modified Butterfly,-927.81,-2250.0,2250.0,4749.99999999477,10250.000000000022,69.06,30.94,-0.09051804878048761,0.4634146341458303,0.21951219512195075,Call,177.5,10.0,Call,180.0,-30.0,Call,187.5,20.0,-250.0,-19.999999999999986,120.00000000000001,-29.99999999999996,2.7755575615628914e-15
BA,BOEING CO COM,Bearish Call Modified Butterfly,-632.0,-1430.0,1430.0,3929.9999999947704,6070.000000000023,68.09,31.91,-0.1041186161449749,0.6474464579892514,0.2355848434925856,Call,177.5,10.0,Call,180.0,-30.0,Call,185.0,20.0,-170.00000000000003,-19.999999999999986,79.99999999999999,-9.999999999999964,2.7755575615628914e-15
BA,BOEING CO COM,Bearish Call Modified Butterfly,-1359.11,-2300.0,2300.0,7299.999999994912,12700.000000000022,66.09,33.91,-0.10701653543307067,0.5748031496058976,0.1811023622047241,Call,172.5,10.0,Call,177.5,-30.0,Call,187.5,20.0,-300.0,-19.999999999999986,159.99999999999997,-70.0,10.000000000000004
BA,BOEING CO COM,Bearish Call Modified Butterfly,-1063.3,-1480.0,1480.0,6479.999999994912,8520.000000000022,65.07,34.93,-0.12480046948356775,0.760563380281091,0.173708920187793,Call,172.5,10.0,Call,177.5,-30.0,Call,185.0,20.0,-220.00000000000003,-19.999999999999986,119.99999999999993,-50.0,10.000000000000004
BA,BOEING CO COM,Bearish Call Modified Butterfly,-1415.65,-3600.0,3600.0,6099.999999994912,13900.000000000022,64.56,35.44,-0.10184532374100704,0.43884892086294264,0.2589928057553953,Call,175.0,10.0,Call,177.5,-30.0,Call,187.5,20.0,-380.0,-19.999999999999986,129.99999999999997,-59.999999999999986,10.000000000000004
BA,BOEING CO COM,Bearish Call Modified Butterfly,-1119.84,-2780.0,2780.0,5279.999999994912,9720.000000000022,63.52,36.48,-0.1152098765432096,0.5432098765426853,0.28600823045267426,Call,175.0,10.0,Call,177.5,-30.0,Call,185.0,20.0,-300.0,-19.999999999999986,89.99999999999994,-39.99999999999999,10.000000000000004
BA,BOEING CO COM,Bearish Call Modified Butterfly,-856.18,-1659.999999999999,1659.999999999999,4159.999999994911,5840.000000000024,61.94,38.06,-0.14660616438356106,0.7123287671224134,0.28424657534246445,Call,175.0,10.0,Call,177.5,-30.0,Call,182.5,20.0,-179.99999999999997,1.1102230246251565e-14,50.000000000000085,-20.000000000000018,10.000000000000004
BA,BOEING CO COM,Bearish Call Modified Butterfly,-2011.69,-3650.0,3650.0,8649.999999995054,16350.000000000022,61.41,38.59,-0.12303914373088669,0.5290519877672809,0.22324159021406698,Call,170.0,10.0,Call,175.0,-30.0,Call,187.5,20.0,-460.0000000000002,-19.999999999999986,159.99999999999997,-80.0,-19.999999999999996
BA,BOEING CO COM,Bearish Call Modified Butterfly,-1715.88,-2830.0,2830.0,7829.999999995054,12170.000000000022,60.34,39.66,-0.14099260476581735,0.643385373869765,0.232539030402629,Call,170.0,10.0,Call,175.0,-30.0,Call,185.0,20.0,-380.0000000000002,-19.999999999999986,119.99999999999993,-60.00000000000001,-19.999999999999996
BA,BOEING CO COM,Bearish Call Modified Butterfly,-2045.19,-5150.0,5150.0,7649.999999995054,17350.000000000022,60.07,39.93,-0.11787838616714683,0.44092219020144346,0.2968299711815558,Call,172.5,10.0,Call,175.0,-30.0,Call,187.5,20.0,-540.0000000000003,-19.999999999999986,129.9999999999999,-70.0,-19.999999999999996
