Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-1195.47,-1570.0,1570.0,3519.9999999917463,8430.000000000045,64.37,35.63,-0.1418113879003551,0.4175563463809878,0.18623962040332045,Call,286.0,10.0,Call,288.0,-30.0,Call,294.0,20.0,-469.99999999999994,-59.99999999999998,180.00000000000003,-140.0,-9.999999999999998
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-1138.77,-2130.0,2130.0,3079.9999999917463,8870.000000000045,63.52,36.48,-0.12838444193911996,0.34723788049512183,0.24013528748590632,Call,287.0,10.0,Call,288.0,-30.0,Call,294.0,20.0,-519.9999999999999,-59.99999999999998,180.00000000000003,-140.0,-9.999999999999998
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-1043.22,-1290.0,1290.0,3239.9999999917463,6710.0000000000455,63.52,36.48,-0.15547242921013307,0.48286140089295443,0.19225037257824013,Call,286.0,10.0,Call,288.0,-30.0,Call,293.0,20.0,-409.99999999999994,-39.99999999999997,140.00000000000003,-119.99999999999997,-9.999999999999998
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-902.36,-930.0,930.0,2879.9999999917463,5070.0000000000455,63.1,36.9,-0.1779802761341207,0.5680473372764735,0.18343195266272025,Call,286.0,10.0,Call,288.0,-30.0,Call,292.0,20.0,-330.0,-39.99999999999997,120.00000000000001,-99.99999999999996,-9.999999999999998
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-986.52,-1850.0,1850.0,2799.9999999917463,7150.0000000000455,62.67,37.33,-0.1379748251748243,0.39160839160723476,0.2587412587412571,Call,287.0,10.0,Call,288.0,-30.0,Call,293.0,20.0,-459.99999999999994,-39.99999999999997,140.00000000000003,-119.99999999999997,-9.999999999999998
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-845.66,-1490.0,1490.0,2439.9999999917463,5510.0000000000455,61.8,38.2,-0.15347731397459038,0.4428312159694603,0.27041742286751136,Call,287.0,10.0,Call,288.0,-30.0,Call,292.0,20.0,-380.0,-39.99999999999997,120.00000000000001,-99.99999999999996,-9.999999999999998
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-1559.48,-2030.000000000001,2030.000000000001,3979.999999991861,9970.000000000044,60.93,39.07,-0.1564172517552651,0.3991975927775169,0.20361083249749168,Call,285.0,10.0,Call,287.0,-30.0,Call,294.0,20.0,-589.9999999999999,-59.99999999999998,180.00000000000003,-150.0,-39.999999999999986
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-730.55,-1030.0000000000005,1030.0000000000005,1979.9999999917468,3970.000000000045,60.93,39.07,-0.1840176322418115,0.49874055415408675,0.25944584382871255,Call,287.0,10.0,Call,288.0,-30.0,Call,291.0,20.0,-280.0,-19.999999999999986,80.00000000000003,-59.999999999999964,-9.999999999999998
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-1445.64,-1740.0,1740.0,5689.99999999186,10260.000000000045,60.49,39.51,-0.14090058479532103,0.554580896685364,0.16959064327485304,Call,282.0,10.0,Call,286.0,-30.0,Call,294.0,20.0,-590.0000000000002,-69.99999999999999,220.00000000000003,-170.00000000000003,-39.999999999999986
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-1407.22,-1750.000000000001,1750.000000000001,3699.999999991861,8250.000000000044,60.49,39.51,-0.17057212121212031,0.44848484848385956,0.2121212121212111,Call,285.0,10.0,Call,287.0,-30.0,Call,293.0,20.0,-529.9999999999999,-39.99999999999997,140.00000000000003,-129.99999999999997,-39.999999999999986
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-1458.51,-2680.000000000001,2680.000000000001,3629.999999991861,10320.000000000044,60.05,39.95,-0.14132848837209241,0.3517441860457215,0.2596899224806191,Call,286.0,10.0,Call,287.0,-30.0,Call,294.0,20.0,-649.9999999999998,-59.99999999999998,180.00000000000003,-140.0,-39.999999999999986
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-636.08,-470.0,470.0,1419.9999999917463,2530.0000000000455,59.61,40.39,-0.25141501976284136,0.561264822131115,0.18577075098813894,Call,287.0,10.0,Call,288.0,-30.0,Call,290.0,20.0,-179.99999999999997,-19.999999999999986,60.00000000000001,-39.99999999999994,10.000000000000004
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-1376.64,-2490.0,2490.0,5439.99999999186,10510.000000000045,59.61,40.39,-0.13098382492863883,0.5176022835387095,0.23691722169362409,Call,283.0,10.0,Call,286.0,-30.0,Call,294.0,20.0,-640.0000000000002,-69.99999999999999,200.0,-159.99999999999997,-39.999999999999986
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-1306.25,-2400.000000000001,2400.000000000001,3349.999999991861,8600.000000000044,59.61,40.39,-0.15188953488372015,0.38953488371998185,0.27906976744185913,Call,286.0,10.0,Call,287.0,-30.0,Call,293.0,20.0,-589.9999999999999,-39.99999999999997,140.00000000000003,-119.99999999999997,-39.999999999999986
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-1266.36,-1390.000000000001,1390.000000000001,3339.999999991861,6610.000000000045,59.61,40.39,-0.19158245083207132,0.5052950075630618,0.21028744326777482,Call,285.0,10.0,Call,287.0,-30.0,Call,292.0,20.0,-449.9999999999999,-39.99999999999997,120.00000000000001,-109.99999999999997,-39.999999999999986
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-1293.39,-1460.0,1460.0,5409.99999999186,8540.000000000045,59.61,40.39,-0.15145081967213037,0.6334894613573573,0.17096018735362906,Call,282.0,10.0,Call,286.0,-30.0,Call,293.0,20.0,-530.0000000000002,-49.99999999999998,180.00000000000003,-150.0,-39.999999999999986
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-1152.53,-1100.0,1100.0,5049.99999999186,6900.0000000000455,59.17,40.83,-0.16703333333333223,0.7318840579698299,0.15942028985507142,Call,282.0,10.0,Call,286.0,-30.0,Call,292.0,20.0,-450.0000000000003,-49.99999999999998,160.0,-129.99999999999997,-39.999999999999986
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-1224.38,-2210.0,2210.0,5159.99999999186,8790.000000000045,59.17,40.83,-0.1392923777019333,0.5870307167226204,0.25142207053469723,Call,283.0,10.0,Call,286.0,-30.0,Call,293.0,20.0,-580.0000000000002,-49.99999999999998,160.0,-139.99999999999994,-39.999999999999986
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-1265.09,-3240.0,3240.0,5189.99999999186,10760.000000000045,59.17,40.83,-0.11757342007434894,0.4823420074341857,0.3011152416356865,Call,284.0,10.0,Call,286.0,-30.0,Call,294.0,20.0,-680.0000000000001,-69.99999999999999,190.00000000000003,-150.0,-39.999999999999986
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-1151.25,-930.0000000000014,930.0000000000014,2879.9999999918614,5070.000000000044,58.73,41.27,-0.22707100591715781,0.5680473372764964,0.18343195266272058,Call,285.0,10.0,Call,287.0,-30.0,Call,291.0,20.0,-349.9999999999999,-19.99999999999997,80.00000000000003,-69.99999999999997,-39.999999999999986
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-1112.83,-2960.0,2960.0,4909.99999999186,9040.000000000045,58.73,41.27,-0.12310066371681354,0.5431415929194509,0.3274336283185824,Call,284.0,10.0,Call,286.0,-30.0,Call,293.0,20.0,-620.0000000000001,-49.99999999999998,150.00000000000006,-129.99999999999997,-39.999999999999986
