Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
HD,HOME DEPOT INC COM,Bearish Call Modified Butterfly,-980.14,-1680.000000000001,1680.000000000001,4124.999999991638,10820.000000000044,71.06,28.94,-0.09058595194084991,0.38123844731900386,0.1552680221811455,Call,287.5,10.0,Call,290.0,-30.0,Call,297.5,20.0,-300.0,-39.99999999999999,170.00000000000003,-110.00000000000001,-19.999999999999996
HD,HOME DEPOT INC COM,Bearish Call Modified Butterfly,-640.24,-1140.000000000001,1140.000000000001,3584.999999991638,6360.000000000045,70.11,29.89,-0.10066666666666596,0.5636792452817001,0.1792452830188668,Call,287.5,10.0,Call,290.0,-30.0,Call,295.0,20.0,-200.0,-19.999999999999996,130.00000000000006,-69.99999999999997,-19.999999999999996
HD,HOME DEPOT INC COM,Bearish Call Modified Butterfly,-1294.49,-3150.0,3150.0,5594.999999991807,14350.000000000044,65.17,34.83,-0.0902083623693377,0.38989547038270317,0.21951219512195055,Call,285.0,10.0,Call,287.5,-30.0,Call,297.5,20.0,-489.99999999999994,-39.99999999999999,210.00000000000014,-140.0,-9.999999999999998
HD,HOME DEPOT INC COM,Bearish Call Modified Butterfly,-954.59,-2610.0,2610.0,5054.999999991807,9890.000000000045,64.48,35.52,-0.09652072800808854,0.5111223458030115,0.2639029322548016,Call,285.0,10.0,Call,287.5,-30.0,Call,295.0,20.0,-389.99999999999994,-19.999999999999996,170.0000000000002,-99.99999999999996,-9.999999999999998
HD,HOME DEPOT INC COM,Bearish Call Modified Butterfly,-791.96,-1570.0,1570.0,4014.9999999918077,5930.0000000000455,62.4,37.6,-0.13355143338954367,0.6770657672836049,0.2647554806070806,Call,285.0,10.0,Call,287.5,-30.0,Call,292.5,20.0,-269.99999999999994,-19.999999999999996,90.00000000000013,-59.999999999999964,-9.999999999999998
HD,HOME DEPOT INC COM,Bearish Call Modified Butterfly,-1944.76,-3050.0,3050.0,7994.999999991978,16950.000000000044,60.63,39.37,-0.11473510324483746,0.4716814159287291,0.17994100294985205,Call,280.0,10.0,Call,285.0,-30.0,Call,297.5,20.0,-630.0000000000001,-49.999999999999986,220.00000000000003,-170.00000000000003,-39.999999999999986
HD,HOME DEPOT INC COM,Bearish Call Modified Butterfly,-1604.86,-2510.0,2510.0,7454.999999991978,12490.000000000045,59.92,40.08,-0.12849159327461923,0.5968775020009569,0.20096076861489118,Call,280.0,10.0,Call,285.0,-30.0,Call,295.0,20.0,-530.0000000000001,-29.999999999999993,180.00000000000006,-129.99999999999997,-39.999999999999986
HD,HOME DEPOT INC COM,Bearish Call Modified Butterfly,-1834.01,-4850.0,4850.0,7294.999999991978,17650.000000000044,59.56,40.44,-0.10390991501416405,0.41331444759161245,0.27478753541076417,Call,282.5,10.0,Call,285.0,-30.0,Call,297.5,20.0,-719.9999999999999,-39.99999999999999,190.00000000000003,-150.0,-39.999999999999986
HD,HOME DEPOT INC COM,Bearish Call Modified Butterfly,-1494.11,-4310.0,4310.0,6754.999999991978,13190.000000000044,58.48,41.52,-0.11327596664139461,0.5121304018189504,0.32676269901440375,Call,282.5,10.0,Call,285.0,-30.0,Call,295.0,20.0,-619.9999999999999,-19.999999999999996,150.00000000000009,-109.99999999999997,-39.999999999999986
HD,HOME DEPOT INC COM,Bearish Call Modified Butterfly,-1442.23,-1470.0,1470.0,6414.999999991978,8530.000000000045,57.76,42.24,-0.16907737397420777,0.752051582648528,0.1723329425556849,Call,280.0,10.0,Call,285.0,-30.0,Call,292.5,20.0,-410.00000000000006,-29.999999999999993,100.0,-89.99999999999999,-39.999999999999986
