Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-499.34,-740.0,740.0,1699.999999995432,4260.000000000023,69.46,30.54,-0.11721596244131392,0.39906103286277533,0.1737089201877925,Call,158.0,10.0,Call,159.0,-30.0,Call,162.0,20.0,-310.0,-79.99999999999999,89.99999999999997,-50.0,-20.0
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-346.51,-460.0,460.0,1419.999999995432,2540.0000000000227,68.23,31.77,-0.13642125984251846,0.5590551181084328,0.18110236220472278,Call,158.0,10.0,Call,159.0,-30.0,Call,161.0,20.0,-210.00000000000006,-59.999999999999986,49.99999999999996,-30.000000000000004,2.7755575615628914e-15
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-616.9,-810.0,810.0,2769.999999995489,5190.000000000023,66.33,33.67,-0.11886319845857365,0.5337186897871824,0.15606936416184902,Call,156.0,10.0,Call,158.0,-30.0,Call,162.0,20.0,-399.99999999999994,-79.99999999999999,119.99999999999996,-89.99999999999997,-9.999999999999998
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-464.07,-530.0,530.0,2489.999999995489,3470.0000000000227,65.69,34.31,-0.1337377521613824,0.7175792507191564,0.15273775216138227,Call,156.0,10.0,Call,158.0,-30.0,Call,161.0,20.0,-300.0,-59.999999999999986,79.99999999999994,-69.99999999999997,10.000000000000004
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-583.9,-1380.0,1380.0,2339.999999995489,5620.000000000023,65.05,34.95,-0.10389679715302448,0.41637010676076147,0.24555160142348656,Call,157.0,10.0,Call,158.0,-30.0,Call,162.0,20.0,-490.00000000000006,-79.99999999999999,109.99999999999999,-79.99999999999999,-20.0
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-565.81,-1640.0,1640.0,2099.999999995489,5860.000000000023,64.39,35.61,-0.09655460750853204,0.3583617747432561,0.27986348122866783,Call,157.5,10.0,Call,158.0,-30.0,Call,162.0,20.0,-530.0000000000001,-79.99999999999999,109.99999999999999,-79.99999999999999,-20.0
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-659.81,-1440.0,1440.0,2899.999999995517,6060.000000000023,63.74,36.26,-0.10887953795379496,0.478547854784737,0.23762376237623672,Call,156.0,10.0,Call,157.5,-30.0,Call,162.0,20.0,-550.0,-79.99999999999999,150.00000000000003,-89.99999999999997,-9.999999999999998
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-431.06,-1100.0,1100.0,2059.999999995489,3900.0000000000227,63.74,36.26,-0.11052820512820448,0.5282051282039685,0.2820512820512804,Call,157.0,10.0,Call,158.0,-30.0,Call,161.0,20.0,-390.00000000000006,-59.999999999999986,69.99999999999997,-59.999999999999986,2.7755575615628914e-15
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-412.97,-1360.0,1360.0,1819.999999995489,4140.000000000023,63.08,36.92,-0.09975120772946806,0.43961352656895625,0.3285024154589354,Call,157.5,10.0,Call,158.0,-30.0,Call,161.0,20.0,-430.00000000000006,-59.999999999999986,69.99999999999997,-59.999999999999986,2.7755575615628914e-15
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-709.52,-1180.0,1180.0,3639.9999999955457,6320.000000000023,62.41,37.59,-0.11226582278480972,0.5759493670879008,0.186708860759493,Call,154.5,10.0,Call,157.0,-30.0,Call,162.0,20.0,-550.0000000000002,-99.99999999999996,160.00000000000003,-99.99999999999996,-9.999999999999998
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-668.49,-1550.0,1550.0,3509.9999999955457,6450.000000000023,62.41,37.59,-0.10364186046511592,0.5441860465109354,0.240310077519379,Call,155.0,10.0,Call,157.0,-30.0,Call,162.0,20.0,-580.0000000000002,-89.99999999999997,160.00000000000003,-89.99999999999997,-9.999999999999998
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-329.92,-660.0,660.0,1619.999999995489,2340.0000000000227,62.41,37.59,-0.14099145299145163,0.6923076923057577,0.28205128205127933,Call,157.0,10.0,Call,158.0,-30.0,Call,160.0,20.0,-250.0,-19.99999999999997,29.999999999999982,-39.99999999999997,2.7755575615628914e-15
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-506.97,-1160.0,1160.0,2619.999999995517,4340.000000000023,62.41,37.59,-0.11681336405529893,0.6036866359436643,0.26728110599078203,Call,156.0,10.0,Call,157.5,-30.0,Call,161.0,20.0,-450.0,-59.999999999999986,110.00000000000001,-69.99999999999997,10.000000000000004
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-626.8,-2010.0,2010.0,2469.999999995517,6490.000000000022,61.74,38.26,-0.09657935285053897,0.3805855161780445,0.3097072419106307,Call,157.0,10.0,Call,157.5,-30.0,Call,162.0,20.0,-640.0,-79.99999999999999,140.00000000000006,-79.99999999999999,-20.0
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-556.68,-900.0,900.0,3359.9999999955457,4600.000000000023,61.74,38.26,-0.12101739130434722,0.7304347826077238,0.19565217391304252,Call,154.5,10.0,Call,157.0,-30.0,Call,161.0,20.0,-450.00000000000017,-79.99999999999996,120.00000000000001,-79.99999999999996,10.000000000000004
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-311.83,-920.0,920.0,1379.999999995489,2580.0000000000227,61.74,38.26,-0.12086434108527025,0.5348837209284794,0.35658914728681856,Call,157.5,10.0,Call,158.0,-30.0,Call,160.0,20.0,-290.00000000000006,-19.99999999999997,29.999999999999982,-39.99999999999997,2.7755575615628914e-15
