Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
MSFT,MICROSOFT CORP COM,Bearish Call Modified Butterfly,-603.65,-990.0,990.0,3444.999999993163,6510.0000000000455,73.7,26.3,-0.09272657450076739,0.5291858678944914,0.15207373271889293,Call,232.5,10.0,Call,235.0,-30.0,Call,240.0,20.0,-140.0000000000001,-19.999999999999986,59.99999999999987,-39.99999999999994,10.000000000000004
MSFT,MICROSOFT CORP COM,Bearish Call Modified Butterfly,-811.19,-2310.0,2310.0,4764.999999993277,10190.000000000045,69.0,31.0,-0.07960647693817433,0.46761530912593285,0.2266928361138361,Call,230.0,10.0,Call,232.5,-30.0,Call,240.0,20.0,-250.00000000000009,-19.999999999999986,120.00000000000001,-29.999999999999982,-19.999999999999996
MSFT,MICROSOFT CORP COM,Bearish Call Modified Butterfly,-595.54,-1450.0,1450.0,3904.9999999932766,6050.0000000000455,67.9,32.1,-0.09843636363636289,0.6454545454534293,0.2396694214876015,Call,230.0,10.0,Call,232.5,-30.0,Call,237.5,20.0,-170.00000000000003,-19.999999999999986,80.00000000000007,-9.999999999999964,-19.999999999999996
MSFT,MICROSOFT CORP COM,Bearish Call Modified Butterfly,-1015.68,-2560.0,2560.0,7514.999999993447,12440.000000000045,65.94,34.06,-0.08164630225080356,0.6040996784560627,0.20578778135048156,Call,225.0,10.0,Call,230.0,-30.0,Call,240.0,20.0,-309.99999999999994,-19.999999999999986,139.99999999999994,-70.00000000000001,-19.999999999999996
MSFT,MICROSOFT CORP COM,Bearish Call Modified Butterfly,-800.04,-1700.0,1700.0,6654.999999993447,8300.000000000045,64.5,35.5,-0.0963903614457826,0.8018072289148688,0.20481927710843262,Call,225.0,10.0,Call,230.0,-30.0,Call,237.5,20.0,-229.9999999999999,-19.999999999999986,100.0,-50.0,-19.999999999999996
MSFT,MICROSOFT CORP COM,Bearish Call Modified Butterfly,-1048.43,-3960.0,3960.0,6414.999999993447,13540.000000000044,64.21,35.79,-0.07743205317577523,0.4737813884780965,0.29246676514032405,Call,227.5,10.0,Call,230.0,-30.0,Call,240.0,20.0,-389.99999999999994,-19.999999999999986,120.00000000000001,-60.00000000000006,-19.999999999999996
MSFT,MICROSOFT CORP COM,Bearish Call Modified Butterfly,-832.79,-3100.0,3100.0,5554.999999993447,9400.000000000045,63.05,36.95,-0.0885946808510634,0.5909574468078107,0.3297872340425516,Call,227.5,10.0,Call,230.0,-30.0,Call,237.5,20.0,-309.9999999999999,-19.999999999999986,80.00000000000007,-40.000000000000036,-19.999999999999996
MSFT,MICROSOFT CORP COM,Bearish Call Modified Butterfly,-1392.45,-2460.0,2460.0,9914.99999999356,15040.000000000044,62.16,37.84,-0.0925831117021274,0.6592420212761657,0.16356382978723358,Call,220.0,10.0,Call,227.5,-30.0,Call,240.0,20.0,-390.0000000000003,-29.999999999999993,210.00000000000006,-90.00000000000003,-9.999999999999998
MSFT,MICROSOFT CORP COM,Bearish Call Modified Butterfly,-658.63,-1900.0,1900.0,4354.999999993447,5600.0000000000455,61.27,38.73,-0.11761249999999904,0.7776785714273949,0.3392857142857115,Call,227.5,10.0,Call,230.0,-30.0,Call,235.0,20.0,-189.99999999999986,1.1102230246251565e-14,40.000000000000036,-20.000000000000064,-19.999999999999996
MSFT,MICROSOFT CORP COM,Bearish Call Modified Butterfly,-1447.23,-4210.0,4210.0,9164.99999999356,15790.000000000044,60.97,39.03,-0.09165484483850513,0.5804306523111802,0.2666244458518042,Call,222.5,10.0,Call,227.5,-30.0,Call,240.0,20.0,-450.00000000000045,-19.999999999999986,170.00000000000003,-80.00000000000003,-9.999999999999998
