Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-682.8,-1140.0,1140.0,2604.999999991278,7360.0000000000455,74.27,25.73,-0.0927717391304342,0.3539402173901171,0.15489130434782514,Call,297.5,10.0,Call,299.0,-30.0,Call,304.0,20.0,-220.00000000000003,-39.99999999999999,159.99999999999997,-89.99999999999999,10.000000000000004
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-537.26,-920.0,920.0,2384.999999991278,5580.0000000000455,74.01,25.99,-0.09628315412186302,0.4274193548371431,0.16487455197132483,Call,297.5,10.0,Call,299.0,-30.0,Call,303.0,20.0,-180.00000000000003,-39.99999999999999,139.99999999999994,-70.00000000000001,10.000000000000004
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-696.8,-1290.0,1290.0,2254.999999991278,7710.0000000000455,73.75,26.25,-0.09037613488975303,0.2924773022037957,0.16731517509727528,Call,298.0,10.0,Call,299.0,-30.0,Call,304.0,20.0,-239.99999999999994,-39.99999999999999,169.99999999999997,-89.99999999999999,10.000000000000004
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-478.38,-780.0,780.0,2244.999999991278,4720.0000000000455,73.75,26.25,-0.10135169491525325,0.47563559321848653,0.16525423728813401,Call,297.5,10.0,Call,299.0,-30.0,Call,302.5,20.0,-160.0,-19.999999999999996,119.99999999999993,-70.00000000000001,10.000000000000004
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-408.22,-640.0,640.0,2104.999999991278,3860.0000000000455,73.75,26.25,-0.10575647668393659,0.5453367875625008,0.1658031088082882,Call,297.5,10.0,Call,299.0,-30.0,Call,302.0,20.0,-120.00000000000001,-19.999999999999996,99.99999999999996,-50.0,10.000000000000004
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-551.27,-1070.0,1070.0,2034.999999991278,5930.0000000000455,73.49,26.51,-0.09296290050590147,0.3431703204032483,0.18043844856660907,Call,298.0,10.0,Call,299.0,-30.0,Call,303.0,20.0,-199.99999999999994,-39.99999999999999,149.99999999999994,-70.00000000000001,10.000000000000004
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-492.38,-930.0,930.0,1894.999999991278,5070.0000000000455,73.49,26.51,-0.09711637080867763,0.37376725838091934,0.18343195266272025,Call,298.0,10.0,Call,299.0,-30.0,Call,302.5,20.0,-179.99999999999994,-19.999999999999996,129.99999999999994,-70.00000000000001,10.000000000000004
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-422.22,-790.0,790.0,1754.999999991278,4210.0000000000455,73.22,26.78,-0.10028978622327683,0.4168646080739333,0.1876484560570051,Call,298.0,10.0,Call,299.0,-30.0,Call,302.0,20.0,-139.99999999999994,-19.999999999999996,109.99999999999997,-50.0,10.000000000000004
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-306.56,-450.0,450.0,1414.999999991278,2550.0000000000455,72.69,27.31,-0.12021960784313511,0.5549019607808834,0.17647058823529096,Call,298.0,10.0,Call,299.0,-30.0,Call,301.0,20.0,-100.0,-19.999999999999996,69.99999999999993,-29.999999999999982,10.000000000000004
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-805.64,-1400.0,1400.0,3364.9999999913916,8600.000000000045,72.69,27.31,-0.09367906976744136,0.39127906976643884,0.16279069767441776,Call,296.0,10.0,Call,298.0,-30.0,Call,304.0,20.0,-279.9999999999999,-39.99999999999999,169.99999999999997,-110.00000000000001,-19.999999999999996
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-660.1,-1180.0,1180.0,3144.9999999913916,6820.0000000000455,72.43,27.57,-0.0967888563049847,0.46114369501339747,0.17302052785923638,Call,296.0,10.0,Call,298.0,-30.0,Call,303.0,20.0,-239.99999999999991,-39.99999999999999,149.99999999999994,-90.00000000000003,-19.999999999999996
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-821.41,-1480.0,1480.0,3944.9999999913916,9020.000000000045,72.16,27.84,-0.09106541019955608,0.4373614190677796,0.16407982261640716,Call,295.0,10.0,Call,297.5,-30.0,Call,304.0,20.0,-300.0000000000001,-39.99999999999999,190.00000000000009,-100.0,-19.999999999999996
