Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
SPY,SPDR S&P500 ETF TRUST TR UNIT ETF,Bearish Call Modified Butterfly,-841.67,-950.0,950.0,1939.9999999897773,6050.0000000000455,69.99,30.01,-0.13911900826446175,0.3206611570231013,0.15702479338842856,Call,354.0,10.0,Call,355.0,-30.0,Call,359.0,20.0,-270.0000000000001,-30.000000000000004,100.0,-129.99999999999997,-19.999999999999996
SPY,SPDR S&P500 ETF TRUST TR UNIT ETF,Bearish Call Modified Butterfly,-597.09,-750.0000000000001,750.0000000000001,1739.9999999897773,4250.0000000000455,69.66,30.34,-0.14049176470588084,0.4094117647034726,0.17647058823529227,Call,354.0,10.0,Call,355.0,-30.0,Call,358.0,20.0,-210.00000000000009,-30.000000000000004,80.00000000000003,-109.99999999999997,-19.999999999999996
SPY,SPDR S&P500 ETF TRUST TR UNIT ETF,Bearish Call Modified Butterfly,-374.67,-470.0,470.0,1459.9999999897773,2530.0000000000455,69.33,30.67,-0.14809090909090644,0.5770750988101783,0.18577075098813894,Call,354.0,10.0,Call,355.0,-30.0,Call,357.0,20.0,-130.00000000000006,-9.999999999999998,39.99999999999999,-69.99999999999997,-19.999999999999996
SPY,SPDR S&P500 ETF TRUST TR UNIT ETF,Bearish Call Modified Butterfly,-757.99,-830.0000000000005,830.0000000000005,2819.9999999898346,5170.0000000000455,68.33,31.67,-0.14661315280464088,0.5454545454525744,0.16054158607349964,Call,352.0,10.0,Call,354.0,-30.0,Call,358.0,20.0,-240.00000000000003,-59.999999999999986,120.00000000000001,-120.00000000000006,-9.999999999999998
SPY,SPDR S&P500 ETF TRUST TR UNIT ETF,Bearish Call Modified Butterfly,-1225.08,-1620.0,1620.0,2609.999999989834,9380.000000000045,67.99,32.01,-0.13060554371002067,0.2782515991460364,0.17270788912579874,Call,353.0,10.0,Call,354.0,-30.0,Call,360.0,20.0,-400.0,-79.99999999999997,189.99999999999997,-190.00000000000006,-19.999999999999996
SPY,SPDR S&P500 ETF TRUST TR UNIT ETF,Bearish Call Modified Butterfly,-1014.19,-1440.0,1440.0,2429.999999989834,7560.0000000000455,67.65,32.35,-0.1341521164021156,0.3214285714272248,0.19047619047618933,Call,353.0,10.0,Call,354.0,-30.0,Call,359.0,20.0,-360.00000000000006,-59.99999999999998,149.99999999999994,-150.00000000000009,-19.999999999999996
SPY,SPDR S&P500 ETF TRUST TR UNIT ETF,Bearish Call Modified Butterfly,-535.57,-550.0,550.0,2539.999999989834,3450.0000000000455,67.65,32.35,-0.15523768115941824,0.7362318840550147,0.15942028985507037,Call,352.0,10.0,Call,354.0,-30.0,Call,357.0,20.0,-160.00000000000006,-39.99999999999999,79.99999999999999,-80.00000000000007,-9.999999999999998
SPY,SPDR S&P500 ETF TRUST TR UNIT ETF,Bearish Call Modified Butterfly,-769.61,-1240.0,1240.0,2229.999999989834,5760.0000000000455,67.31,32.69,-0.13361284722222116,0.3871527777760098,0.21527777777777607,Call,353.0,10.0,Call,354.0,-30.0,Call,358.0,20.0,-300.00000000000006,-59.99999999999998,129.99999999999997,-130.00000000000006,-19.999999999999996
SPY,SPDR S&P500 ETF TRUST TR UNIT ETF,Bearish Call Modified Butterfly,-1338.66,-1780.0,1780.0,3769.999999989891,10220.000000000045,66.62,33.38,-0.13098434442270002,0.368884540116426,0.1741682974559679,Call,351.0,10.0,Call,353.0,-30.0,Call,360.0,20.0,-450.0,-79.99999999999999,210.00000000000006,-209.99999999999997,-9.999999999999998
SPY,SPDR S&P500 ETF TRUST TR UNIT ETF,Bearish Call Modified Butterfly,-547.19,-960.0,960.0,1949.9999999898341,4040.0000000000455,66.62,33.38,-0.13544306930692918,0.48267326732421095,0.23762376237623495,Call,353.0,10.0,Call,354.0,-30.0,Call,357.0,20.0,-220.00000000000003,-39.99999999999997,89.99999999999994,-90.00000000000009,-19.999999999999996
