Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
TXN,TEXAS INSTRUMENTS INC COM,Bearish Call Modified Butterfly,-505.12,-1120.0,1120.0,2064.9999999959005,3880.0000000000227,62.16,37.84,-0.1301855670103085,0.5322164948443011,0.2886597938144313,Call,143.0,10.0,Call,144.0,-30.0,Call,147.0,20.0,-349.9999999999999,-19.999999999999996,89.99999999999999,-39.99999999999999,2.7755575615628914e-15
TXN,TEXAS INSTRUMENTS INC COM,Bearish Call Modified Butterfly,-630.45,-420.0,420.0,1364.9999999959005,2580.0000000000227,59.39,40.61,-0.24436046511627693,0.5290697674402668,0.16279069767441717,Call,143.0,10.0,Call,144.0,-30.0,Call,146.0,20.0,-229.9999999999999,2.220446049250313e-14,49.99999999999996,-19.99999999999997,2.7755575615628914e-15
TXN,TEXAS INSTRUMENTS INC COM,Bearish Call Modified Butterfly,-690.73,-1210.0,1210.0,3154.9999999959573,4790.000000000023,58.69,41.31,-0.144202505219206,0.6586638830889232,0.2526096033402911,Call,141.0,10.0,Call,143.0,-30.0,Call,147.0,20.0,-430.00000000000034,-30.000000000000004,60.00000000000001,-49.99999999999998,10.000000000000004
TXN,TEXAS INSTRUMENTS INC COM,Bearish Call Modified Butterfly,-676.18,-1860.0,1860.0,2804.9999999959573,5140.000000000023,57.27,42.73,-0.1315525291828788,0.5457198443571877,0.361867704280154,Call,142.0,10.0,Call,143.0,-30.0,Call,147.0,20.0,-490.0000000000003,-19.999999999999996,50.0,-39.99999999999999,10.000000000000004
TXN,TEXAS INSTRUMENTS INC COM,Bearish Call Modified Butterfly,-581.61,-2310.000000000002,2310.000000000002,4254.999999996016,5690.000000000021,55.84,44.16,-0.10221616871704708,0.7478031634439368,0.4059753954305788,Call,140.0,10.0,Call,142.0,-30.0,Call,147.0,20.0,-580.0,-30.000000000000004,99.99999999999996,-49.99999999999998,-19.999999999999996
TXN,TEXAS INSTRUMENTS INC COM,Bearish Call Modified Butterfly,-434.12,-3160.000000000002,3160.000000000002,4104.999999996016,5840.00000000002,55.13,44.87,-0.07433561643835591,0.702910958903425,0.5410958904109574,Call,141.0,10.0,Call,142.0,-30.0,Call,147.0,20.0,-640.0000000000001,-30.000000000000004,89.99999999999999,-49.99999999999998,-19.999999999999996
TXN,TEXAS INSTRUMENTS INC COM,Bearish Call Modified Butterfly,-801.51,-1160.0,1160.0,2104.9999999959573,3840.0000000000227,55.13,44.87,-0.20872656249999877,0.5481770833322773,0.30208333333333154,Call,142.0,10.0,Call,143.0,-30.0,Call,146.0,20.0,-370.0000000000003,2.220446049250313e-14,9.999999999999964,-19.99999999999997,10.000000000000004
TXN,TEXAS INSTRUMENTS INC COM,Bearish Call Modified Butterfly,-1117.9,-1010.0000000000018,1010.0000000000018,3954.999999996016,5990.000000000021,54.41,45.59,-0.1866277128547573,0.660267111852421,0.16861435726210322,Call,139.0,10.0,Call,142.0,-30.0,Call,147.0,20.0,-400.0000000000001,-40.000000000000014,210.0,-90.00000000000001,-30.0
TXN,TEXAS INSTRUMENTS INC COM,Bearish Call Modified Butterfly,-706.94,-1610.0000000000018,1610.0000000000018,3554.999999996016,4390.000000000021,52.96,47.04,-0.1610341685649195,0.809794988609567,0.36674259681093263,Call,140.0,10.0,Call,142.0,-30.0,Call,146.0,20.0,-459.99999999999994,-9.999999999999986,59.99999999999992,-29.99999999999996,-19.999999999999996
TXN,TEXAS INSTRUMENTS INC COM,Bearish Call Modified Butterfly,-417.95,-4380.0,4380.0,5324.999999996071,6620.000000000022,52.24,47.76,-0.06313444108761308,0.8043806646519718,0.6616314199395749,Call,140.0,10.0,Call,141.0,-30.0,Call,147.0,20.0,-760.0,2.220446049250313e-14,69.99999999999997,-19.999999999999996,-19.999999999999996
TXN,TEXAS INSTRUMENTS INC COM,Bearish Call Modified Butterfly,-559.45,-2460.000000000002,2460.000000000002,3404.999999996016,4540.000000000021,52.24,47.76,-0.12322687224669547,0.749999999999119,0.5418502202643151,Call,141.0,10.0,Call,142.0,-30.0,Call,146.0,20.0,-520.0000000000001,-9.999999999999986,49.99999999999996,-29.99999999999996,-19.999999999999996
TXN,TEXAS INSTRUMENTS INC COM,Bearish Call Modified Butterfly,-839.18,-420.0,420.0,1364.9999999959573,2580.0000000000227,52.24,47.76,-0.32526356589147,0.5290697674402889,0.16279069767441717,Call,142.0,10.0,Call,143.0,-30.0,Call,145.0,20.0,-230.00000000000026,2.220446049250313e-14,-10.000000000000009,2.220446049250313e-14,10.000000000000004
TXN,TEXAS INSTRUMENTS INC COM,Bearish Call Modified Butterfly,-954.24,-3080.0,3080.0,5024.999999996071,6920.000000000022,50.78,49.22,-0.137895953757225,0.7261560693635918,0.44508670520231075,Call,139.0,10.0,Call,141.0,-30.0,Call,147.0,20.0,-580.0000000000001,-9.999999999999986,180.00000000000003,-60.00000000000001,-30.0
TXN,TEXAS INSTRUMENTS INC COM,Bearish Call Modified Butterfly,-744.61,-870.0000000000018,870.0000000000018,2814.999999996016,3130.000000000021,50.06,49.94,-0.23789456869009426,0.8993610223629384,0.27795527156549393,Call,140.0,10.0,Call,142.0,-30.0,Call,145.0,20.0,-319.99999999999994,-9.999999999999986,39.99999999999994,-9.999999999999964,-19.999999999999996
TXN,TEXAS INSTRUMENTS INC COM,Bearish Call Modified Butterfly,-597.12,-1720.0000000000018,1720.0000000000018,2664.999999996016,3280.000000000021,50.06,49.94,-0.1820487804878037,0.8124999999987802,0.5243902439024363,Call,141.0,10.0,Call,142.0,-30.0,Call,145.0,20.0,-380.00000000000006,-9.999999999999986,29.999999999999982,-9.999999999999964,-19.999999999999996
