Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
UNH,UNITEDHEALTH GROUP INC COM,Bearish Call Modified Butterfly,-1966.07,-2200.0,2200.0,7184.999999991032,12800.000000000045,62.43,37.57,-0.15359921874999946,0.5613281249992974,0.1718749999999994,Call,310.0,10.0,Call,315.0,-30.0,Call,325.0,20.0,-419.99999999999983,-19.999999999999986,269.99999999999994,-110.00000000000006,-39.999999999999986
UNH,UNITEDHEALTH GROUP INC COM,Bearish Call Modified Butterfly,-1659.42,-3950.0,3950.0,6434.999999991032,13550.000000000044,61.39,38.61,-0.12246642066420625,0.4749077490768274,0.29151291512915034,Call,312.5,10.0,Call,315.0,-30.0,Call,325.0,20.0,-489.99999999999994,-19.999999999999986,289.99999999999994,-100.00000000000004,-39.999999999999986
UNH,UNITEDHEALTH GROUP INC COM,Bearish Call Modified Butterfly,-1692.52,-2650.0,2650.0,5134.999999991032,9850.000000000045,59.54,40.46,-0.1718294416243647,0.5213197969534019,0.2690355329949226,Call,312.5,10.0,Call,315.0,-30.0,Call,322.5,20.0,-369.99999999999994,1.1102230246251565e-14,189.99999999999994,-60.00000000000001,-39.999999999999986
UNH,UNITEDHEALTH GROUP INC COM,Bearish Call Modified Butterfly,-1040.6,-1750.0,1750.0,4234.999999991032,5750.0000000000455,58.47,41.53,-0.18097391304347682,0.7365217391288694,0.3043478260869541,Call,312.5,10.0,Call,315.0,-30.0,Call,320.0,20.0,-229.9999999999999,1.1102230246251565e-14,129.99999999999997,-20.000000000000018,-19.999999999999986
UNH,UNITEDHEALTH GROUP INC COM,Bearish Call Modified Butterfly,-1375.33,-7550.0,7550.0,12534.999999991316,17450.000000000044,56.03,43.97,-0.07881547277936943,0.7183381088820221,0.4326647564469903,Call,305.0,10.0,Call,310.0,-30.0,Call,325.0,20.0,-749.9999999999999,-29.999999999999993,330.00000000000006,-110.00000000000001,-29.99999999999999
UNH,UNITEDHEALTH GROUP INC COM,Bearish Call Modified Butterfly,-3377.66,-4600.0,4600.0,7084.999999991146,17900.000000000044,55.49,44.51,-0.18869608938547439,0.39581005586542617,0.2569832402234631,Call,310.0,10.0,Call,312.5,-30.0,Call,325.0,20.0,-689.9999999999998,-19.999999999999986,179.9999999999999,-110.00000000000006,-39.999999999999986
UNH,UNITEDHEALTH GROUP INC COM,Bearish Call Modified Butterfly,-1408.43,-6250.0,6250.0,11234.999999991316,13750.000000000044,54.39,45.61,-0.10243127272727241,0.8170909090902749,0.4545454545454531,Call,305.0,10.0,Call,310.0,-30.0,Call,322.5,20.0,-629.9999999999999,-9.999999999999998,230.00000000000006,-69.99999999999997,-29.99999999999999
UNH,UNITEDHEALTH GROUP INC COM,Bearish Call Modified Butterfly,-3410.76,-3300.0,3300.0,5784.999999991146,14200.000000000044,53.84,46.16,-0.24019436619718237,0.40739436619655833,0.23239436619718237,Call,310.0,10.0,Call,312.5,-30.0,Call,322.5,20.0,-569.9999999999998,1.1102230246251565e-14,79.99999999999989,-70.00000000000001,-39.999999999999986
UNH,UNITEDHEALTH GROUP INC COM,Bearish Call Modified Butterfly,-3759.27,-3250.0,3250.0,10734.999999991316,19250.000000000044,53.57,46.43,-0.1952867532467528,0.5576623376618853,0.16883116883116844,Call,302.5,10.0,Call,310.0,-30.0,Call,325.0,20.0,-770.0,-29.999999999999993,210.00000000000006,-110.00000000000001,-29.99999999999999
UNH,UNITEDHEALTH GROUP INC COM,Bearish Call Modified Butterfly,-2646.01,-8050.0,8050.0,10534.999999991316,19450.000000000044,53.29,46.71,-0.13604164524421564,0.5416452442154907,0.41388174807197853,Call,307.5,10.0,Call,310.0,-30.0,Call,325.0,20.0,-850.0,-29.999999999999993,200.00000000000009,-89.99999999999999,-29.99999999999999
UNH,UNITEDHEALTH GROUP INC COM,Bearish Call Modified Butterfly,-756.51,-5350.0,5350.0,10334.999999991316,9650.000000000045,53.02,46.98,-0.07839481865284938,1.0709844559576442,0.5544041450777176,Call,305.0,10.0,Call,310.0,-30.0,Call,320.0,20.0,-489.9999999999999,-9.999999999999998,170.0000000000001,-29.999999999999982,-9.999999999999986
UNH,UNITEDHEALTH GROUP INC COM,Bearish Call Modified Butterfly,-2758.84,-2400.0,2400.0,4884.999999991146,10100.000000000045,52.46,47.54,-0.27315247524752356,0.48366336633575485,0.23762376237623656,Call,310.0,10.0,Call,312.5,-30.0,Call,320.0,20.0,-429.9999999999997,1.1102230246251565e-14,19.99999999999993,-30.00000000000003,-19.999999999999986
UNH,UNITEDHEALTH GROUP INC COM,Bearish Call Modified Butterfly,-1560.47,-12200.0,12200.0,14684.999999991487,20300.000000000044,52.19,47.81,-0.07687044334975353,0.7233990147779042,0.6009852216748756,Call,305.0,10.0,Call,307.5,-30.0,Call,325.0,20.0,-900.0,5.551115123125783e-15,450.0,-80.00000000000003,-59.999999999999986
UNH,UNITEDHEALTH GROUP INC COM,Bearish Call Modified Butterfly,-2679.11,-6750.0,6750.0,9234.999999991316,15750.000000000044,51.63,48.37,-0.17010222222222177,0.5863492063486534,0.4285714285714274,Call,307.5,10.0,Call,310.0,-30.0,Call,322.5,20.0,-730.0000000000001,-9.999999999999998,100.00000000000009,-49.99999999999996,-29.99999999999999
UNH,UNITEDHEALTH GROUP INC COM,Bearish Call Modified Butterfly,-1593.57,-10900.0,10900.0,13384.999999991487,16600.000000000044,50.53,49.47,-0.09599819277108408,0.8063253012043043,0.6566265060240947,Call,305.0,10.0,Call,307.5,-30.0,Call,322.5,20.0,-779.9999999999999,20.0,350.0,-39.99999999999999,-59.999999999999986
UNH,UNITEDHEALTH GROUP INC COM,Bearish Call Modified Butterfly,-2027.19,-5850.0,5850.0,8334.999999991316,11650.000000000044,50.25,49.75,-0.17400772532188777,0.7154506437760759,0.5021459227467793,Call,307.5,10.0,Call,310.0,-30.0,Call,320.0,20.0,-590.0,-9.999999999999998,40.00000000000013,-9.999999999999964,-9.999999999999986
UNH,UNITEDHEALTH GROUP INC COM,Bearish Call Modified Butterfly,-4099.67,-5700.0,5700.0,13184.999999991487,21800.000000000044,50.25,49.75,-0.18805825688073358,0.6048165137610761,0.26146788990825637,Call,300.0,10.0,Call,307.5,-30.0,Call,325.0,20.0,-869.9999999999999,5.551115123125783e-15,400.0,-100.0,-59.999999999999986
