Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,Call_Strike_13,Call_Strike_13_alloc,Call_Strike_17,Call_Strike_17_alloc,Call_Strike_14,Call_Strike_14_alloc,Call_Strike_18,Call_Strike_18_alloc,Call_Strike_15,Call_Strike_15_alloc,Call_Strike_19,Call_Strike_19_alloc,Call_Strike_16,Call_Strike_16_alloc,Call_Strike_20,Call_Strike_20_alloc,Call_Strike_21,Call_Strike_21_alloc
EWZ,Bull Call Spread,11.89,12.0,238.0,12.0,15.91,84.09,0.9908333333333333,19.833333333333332,5.0,5.0,0.0,1.0,0.0,,,,,,,36.0,1.0,,,,,,,,,38.5,-1.0
EWZ,Bull Call Spread,15.32,18.0,282.0,18.0,19.08,80.92,0.8511111111111112,15.666666666666666,10.0,6.999999999999999,-1.0,1.0,0.0,,,35.5,1.0,,,,,,,,,,,,,38.5,-1.0
EWZ,Bull Call Spread,9.31,18.0,182.0,18.0,19.08,80.92,0.5172222222222222,10.11111111111111,10.0,6.0,-1.0,1.0,0.0,,,35.5,1.0,,,,,,,,,,,37.5,-1.0,,
EWZ,Bull Call Spread,5.89,12.0,138.0,12.0,15.91,84.09,0.4908333333333333,11.5,5.0,4.000000000000001,0.0,1.0,0.0,,,,,,,36.0,1.0,,,,,,,37.5,-1.0,,
EWZ,Bull Call Spread,11.99,27.0,223.0,27.0,23.61,76.39,0.44407407407407407,8.25925925925926,15.0,7.000000000000001,-1.0,2.0,0.0,,,,,,,,,,,,,35.0,1.0,37.5,-1.0,,
EWZ,Bull Call Spread,7.47,27.0,173.0,27.0,23.61,76.39,0.27666666666666667,6.407407407407407,13.999999999999998,6.000000000000001,-1.0,1.0,0.0,,,,,,,,,,,37.0,-1.0,35.0,1.0,,,,
EWZ,Bull Call Spread,4.79,18.0,132.0,18.0,19.08,80.92,0.26611111111111113,7.333333333333333,9.0,5.0,-1.0,0.0,0.0,,,35.5,1.0,,,,,,,37.0,-1.0,,,,,,
EWZ,Bull Call Spread,9.69,39.0,211.0,39.0,26.63,73.37,0.24846153846153846,5.410256410256411,20.0,7.999999999999999,-1.9999999999999998,1.0,0.0,,,,,,,,,34.5,1.0,37.0,-1.0,,,,,,
EWZ,Bull Call Spread,5.39,47.0,153.0,47.0,32.12,67.88,0.11468085106382978,3.25531914893617,21.999999999999996,6.0,-3.0,1.0,0.0,,,,,34.0,1.0,36.0,-1.0,,,,,,,,,,
EWZ,Bull Call Spread,1.36,12.0,88.0,12.0,15.91,84.09,0.11333333333333334,7.333333333333333,4.0,3.0000000000000004,0.0,0.0,0.0,,,,,,,36.0,1.0,,,37.0,-1.0,,,,,,
EWZ,Bull Call Spread,3.1,60.0,140.0,60.0,35.66,64.34,0.051666666666666666,2.3333333333333335,25.0,5.000000000000002,-2.0,1.0,0.0,33.5,1.0,35.5,-1.0,,,,,,,,,,,,,,
EWZ,Bull Call Spread,1.97,41.0,109.0,41.0,32.12,67.88,0.04804878048780488,2.658536585365854,17.0,4.000000000000001,-2.0,1.0,0.0,,,35.5,-1.0,34.0,1.0,,,,,,,,,,,,
EWZ,Bull Call Spread,1.33,34.0,116.0,34.0,27.68,72.32,0.039117647058823535,3.411764705882353,15.999999999999998,4.999999999999999,-1.9999999999999998,1.0,0.0,,,,,,,36.0,-1.0,34.5,1.0,,,,,,,,
