Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,Put_Strike_24,Put_Strike_24_alloc,Put_Strike_28,Put_Strike_28_alloc,Put_Strike_25,Put_Strike_25_alloc,Put_Strike_29,Put_Strike_29_alloc,Put_Strike_26,Put_Strike_26_alloc,Put_Strike_30,Put_Strike_30_alloc,Put_Strike_27,Put_Strike_27_alloc,Put_Strike_31,Put_Strike_31_alloc,Put_Strike_33,Put_Strike_33_alloc,Put_Strike_34,Put_Strike_34_alloc,Put_Strike_35,Put_Strike_35_alloc,Put_Strike_32,Put_Strike_32_alloc
SSO,Bear Put Spread,45.92,170.0,180.0,170.0,62.04,37.96,0.2701176470588235,1.0588235294117647,-10.000000000000004,1.0000000000000002,-1.0000000000000009,1.0000000000000009,0.0,,,,,,,,,134.0,-1.0,137.5,1.0,,,,,,,,,,,,
SSO,Bear Put Spread,38.71,160.0,190.0,160.0,57.6,42.4,0.2419375,1.1875,-9.999999999999998,0.0,-1.0000000000000009,1.0000000000000009,-1.0,,,,,133.0,-1.0,136.5,1.0,,,,,,,,,,,,,,,,
SSO,Bear Put Spread,25.33,135.0,115.0,135.0,63.96,36.04,0.18762962962962962,0.8518518518518519,-7.000000000000001,1.0000000000000002,0.0,0.0,0.0,,,,,,,,,,,137.5,1.0,135.0,-1.0,,,,,,,,,,
SSO,Bear Put Spread,30.83,165.0,135.0,165.0,64.91,35.09,0.18684848484848485,0.8181818181818182,-8.999999999999996,1.0000000000000002,0.0,0.0,0.0,,,,,,,,,,,,,135.0,-1.0,138.0,1.0,,,,,,,,
SSO,Bear Put Spread,27.25,150.0,100.0,150.0,69.9,30.1,0.18166666666666667,0.6666666666666666,-9.000000000000002,1.0000000000000002,0.0,0.0,0.0,,,,,,,136.5,-1.0,,,,,,,,,139.0,1.0,,,,,,
SSO,Bear Put Spread,18.25,130.0,120.0,130.0,59.1,40.9,0.14038461538461539,0.9230769230769231,-7.000000000000001,0.0,-1.0000000000000009,1.0000000000000009,0.0,,,,,,,136.5,1.0,134.0,-1.0,,,,,,,,,,,,,,
SSO,Bear Put Spread,23.47,210.0,90.0,210.0,75.7,24.3,0.11176190476190476,0.42857142857142855,-12.000000000000005,0.0,2.0000000000000018,0.0,-0.9999999999999999,,,,,,,,,,,,,,,138.0,-1.0,,,,,141.0,1.0,,
SSO,Bear Put Spread,16.61,150.0,150.0,150.0,55.59,44.41,0.11073333333333334,1.0,-8.999999999999996,0.0,-1.0000000000000009,1.0000000000000009,-1.0,,,136.0,1.0,133.0,-1.0,,,,,,,,,,,,,,,,,,
SSO,Bear Put Spread,12.53,175.0,75.0,175.0,73.3,26.7,0.0716,0.42857142857142855,-9.999999999999998,0.0,1.0000000000000009,0.9999999999999996,-0.9999999999999999,,,,,,,,,,,137.5,-1.0,,,,,,,140.0,1.0,,,,
SSO,Bear Put Spread,9.91,180.0,170.0,180.0,54.06,45.94,0.05505555555555556,0.9444444444444444,-10.999999999999998,0.0,-2.0000000000000018,2.0000000000000004,-1.0,132.5,-1.0,136.0,1.0,,,,,,,,,,,,,,,,,,,,
SSO,Bear Put Spread,6.93,190.0,60.0,190.0,76.47,23.53,0.03647368421052631,0.3157894736842105,-10.000000000000004,0.0,2.0000000000000018,0.0,-0.9999999999999999,,,,,,,,,,,,,,,,,,,,,141.0,1.0,138.5,-1.0
