Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,Call_Strike_13,Call_Strike_13_alloc,Call_Strike_17,Call_Strike_17_alloc,Call_Strike_15,Call_Strike_15_alloc,Call_Strike_19,Call_Strike_19_alloc,Call_Strike_16,Call_Strike_16_alloc,Call_Strike_20,Call_Strike_20_alloc,Call_Strike_21,Call_Strike_21_alloc,Call_Strike_18,Call_Strike_18_alloc,Call_Strike_22,Call_Strike_22_alloc,Call_Strike_23,Call_Strike_23_alloc,Call_Strike_24,Call_Strike_24_alloc,Call_Strike_25,Call_Strike_25_alloc
TNA,Bull Call Spread,22.06,62.0,338.0,62.0,29.81,69.84,0.3558064516129032,5.451612903225806,17.0,4.000000000000001,-3.9999999999999996,1.0,0.0,,,,,,,,,,,33.0,1.0,,,,,,,,,37.0,-1.0,,
TNA,Bull Call Spread,12.42,35.0,465.0,35.0,18.42,81.23,0.35485714285714287,13.285714285714286,9.000000000000002,3.0000000000000004,-2.0,0.0,0.0,,,,,,,,,,,,,,,,,35.0,1.0,,,,,40.0,-1.0
TNA,Bull Call Spread,17.98,53.00000000000001,547.0,53.00000000000001,23.42,76.23,0.33924528301886786,10.320754716981131,15.000000000000002,3.9999999999999996,-3.0000000000000004,1.0,0.0,,,,,,,,,,,,,34.0,1.0,,,,,,,,,40.0,-1.0
TNA,Bull Call Spread,24.28,86.0,314.0,86.0,35.23,64.42,0.28232558139534886,3.6511627906976742,23.0,4.0,-4.000000000000001,1.0,0.0,,,,,,,32.0,1.0,,,,,,,,,,,36.0,-1.0,,,,
TNA,Bull Call Spread,14.68,57.0,243.0,57.0,29.81,69.84,0.2575438596491228,4.2631578947368425,15.0,3.0000000000000004,-3.0,1.0,0.0,,,,,,,,,,,33.0,1.0,,,,,,,36.0,-1.0,,,,
TNA,Bull Call Spread,20.27,95.0,255.0,95.0,39.25,60.39,0.21336842105263157,2.6842105263157894,23.0,3.0,-3.0000000000000004,1.0,0.0,,,,,,,,,,,,,,,31.5,1.0,35.0,-1.0,,,,,,
TNA,Bull Call Spread,9.37,44.00000000000001,256.0,44.00000000000001,24.09,75.56,0.2129545454545454,5.8181818181818175,12.000000000000002,3.0,-3.0000000000000004,1.0,0.0,,,,,,,,,,,,,34.0,1.0,,,,,,,37.0,-1.0,,
TNA,Bull Call Spread,20.14,96.0,204.0,96.0,42.53,57.12,0.20979166666666668,2.125,20.999999999999996,2.0000000000000004,-2.0000000000000004,0.0,0.0,,,31.0,1.0,,,,,,,,,34.0,-1.0,,,,,,,,,,
TNA,Bull Call Spread,13.9,79.0,221.0,79.0,36.02,63.63,0.1759493670886076,2.7974683544303796,19.0,3.0,-3.0000000000000004,1.0,0.0,,,,,,,32.0,1.0,,,,,,,,,35.0,-1.0,,,,,,
TNA,Bull Call Spread,12.72,79.0,171.0,79.0,40.07,59.58,0.1610126582278481,2.1645569620253164,17.0,2.0000000000000004,-2.0000000000000004,0.0,0.0,,,,,,,,,,,,,34.0,-1.0,31.5,1.0,,,,,,,,
TNA,Bull Call Spread,3.81,26.0,174.0,26.0,18.42,81.23,0.14653846153846153,6.6923076923076925,6.000000000000001,2.0000000000000004,-2.0,0.0,0.0,,,,,,,,,,,,,,,,,35.0,1.0,,,37.0,-1.0,,
TNA,Bull Call Spread,6.35,63.0,137.0,63.0,37.63,62.02,0.10079365079365078,2.1746031746031744,13.0,2.0000000000000004,-2.0000000000000004,0.0,0.0,,,,,,,32.0,1.0,,,,,34.0,-1.0,,,,,,,,,,
TNA,Bull Call Spread,4.3,50.0,150.0,50.0,30.56,69.09,0.086,3.0,10.999999999999998,2.0000000000000004,-1.9999999999999998,1.0,0.0,,,,,,,,,,,33.0,1.0,,,,,35.0,-1.0,,,,,,
TNA,Bull Call Spread,7.91,104.0,146.0,104.0,46.64,53.01,0.07605769230769231,1.4038461538461537,20.0,0.9999999999999996,-1.0000000000000009,0.0,0.0,,,,,,,,,30.5,1.0,33.0,-1.0,,,,,,,,,,,,
TNA,Bull Call Spread,4.45,81.0,119.0,81.0,44.18,55.47,0.05493827160493828,1.4691358024691359,15.999999999999998,0.9999999999999996,-1.0000000000000009,0.0,0.0,,,31.0,1.0,,,,,,,33.0,-1.0,,,,,,,,,,,,
TNA,Bull Call Spread,1.99,39.00000000000001,161.0,39.00000000000001,24.09,75.56,0.051025641025641014,4.128205128205128,10.0,1.9999999999999998,-2.0000000000000004,1.0,0.0,,,,,,,,,,,,,34.0,1.0,,,,,36.0,-1.0,,,,
TNA,Bull Call Spread,4.27,113.0,87.0,113.0,57.77,41.88,0.037787610619469024,0.7699115044247787,15.999999999999998,0.0,-0.9999999999999996,0.0,0.0,29.0,1.0,31.0,-1.0,,,,,,,,,,,,,,,,,,,,
TNA,Bull Call Spread,1.73,100.0,100.0,100.0,50.71,48.94,0.0173,1.0,15.999999999999998,0.0,0.0,0.0,0.0,,,,,30.0,1.0,32.0,-1.0,,,,,,,,,,,,,,,,
