Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc
LB,Bull Call Spread,10.2,260.99999999999994,89.00000000000006,260.99999999999994,70.66,28.23,0.03908045977011495,0.34099616858237575,30.999999999999993,-4.000000000000001,1.0000000000000002,-1.0,1.0,Call,22.5,1.0,Call,26.0,-1.0
LB,Bull Call Spread,1.32,226.0,74.0,226.0,68.73,30.16,0.0058407079646017705,0.3274336283185841,27.0,-3.0,1.0000000000000002,-1.0,1.0,Call,23.0,1.0,Call,26.0,-1.0
LB,Bull Call Spread,0.57,143.0,57.0,143.0,66.73,32.16,0.003986013986013986,0.3986013986013986,18.999999999999993,-2.0000000000000004,0.0,0.0,1.0,Call,24.0,1.0,Call,26.0,-1.0
LB,Bull Call Spread,12.33,271.0,129.0,271.0,64.66,34.23,0.04549815498154981,0.47601476014760147,37.00000000000001,-3.0,1.0000000000000002,-1.0,1.0,Call,23.0,1.0,Call,27.0,-1.0
LB,Bull Call Spread,11.58,188.0,112.0,188.0,62.53,36.36,0.061595744680851064,0.5957446808510638,28.999999999999996,-2.0000000000000004,0.0,0.0,1.0,Call,24.0,1.0,Call,27.0,-1.0
LB,Bull Call Spread,17.25,206.0,144.0,206.0,60.35,38.54,0.08373786407766991,0.6990291262135923,34.0,-2.0000000000000004,0.0,0.0,1.0,Call,24.0,1.0,Call,27.5,-1.0
LB,Bull Call Spread,1.22,121.99999999999997,78.00000000000003,121.99999999999997,58.13,40.76,0.010000000000000002,0.6393442622950823,20.0,-1.0000000000000009,0.0,0.0,1.0,Call,25.0,1.0,Call,27.0,-1.0
LB,Bull Call Spread,6.89,139.99999999999997,110.00000000000003,139.99999999999997,57.01,41.88,0.049214285714285724,0.785714285714286,25.0,-1.0000000000000009,0.0,0.0,1.0,Call,25.0,1.0,Call,27.5,-1.0
LB,Bull Call Spread,16.68,150.99999999999997,149.00000000000003,150.99999999999997,55.87,43.02,0.11046357615894041,0.9867549668874176,28.999999999999996,-1.0000000000000009,0.0,0.0,1.0,Call,25.0,1.0,Call,28.0,-1.0
LB,Bull Call Spread,0.13,56.0,44.0,56.0,54.74,44.15,0.0023214285714285715,0.7857142857142857,10.000000000000004,0.0,0.0,0.0,0.0,Call,26.0,1.0,Call,27.0,-1.0
LB,Bull Call Spread,5.81,74.0,76.0,74.0,52.45,46.44,0.0785135135135135,1.027027027027027,15.000000000000002,0.0,0.0,0.0,0.0,Call,26.0,1.0,Call,27.5,-1.0
LB,Bull Call Spread,15.59,85.0,115.0,85.0,51.3,47.59,0.18341176470588236,1.3529411764705883,19.0,0.0,0.0,0.0,0.0,Call,26.0,1.0,Call,28.0,-1.0
LB,Bull Call Spread,18.36,116.0,184.0,116.0,47.86,51.03,0.15827586206896552,1.5862068965517242,28.000000000000004,1.0000000000000009,-1.0000000000000002,0.0,0.0,Call,26.0,1.0,Call,29.0,-1.0
LB,Bull Call Spread,3.59,40.999999999999986,59.000000000000014,40.999999999999986,45.58,53.31,0.08756097560975612,1.4390243902439033,8.999999999999996,0.0,0.0,0.0,0.0,Call,27.0,1.0,Call,28.0,-1.0
LB,Bull Call Spread,6.36,71.99999999999999,128.0,71.99999999999999,41.09,57.8,0.08833333333333336,1.7777777777777781,18.0,1.0000000000000009,-1.0000000000000002,0.0,0.0,Call,27.0,1.0,Call,29.0,-1.0
