Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc
USB,Bull Call Spread,-5.33,127.0,23.0,127.0,74.27,25.68,-0.04196850393700787,0.18110236220472442,17.000000000000004,-6.0,0.0,-0.9999999999999999,0.0,Call,33.0,1.0,Call,34.5,-1.0
USB,Bull Call Spread,-5.02,83.0,17.0,83.0,72.64,27.32,-0.06048192771084337,0.20481927710843373,17.000000000000004,-1.9999999999999991,0.9999999999999999,-0.9999999999999999,0.0,Call,33.5,1.0,Call,34.5,-1.0
USB,Bull Call Spread,-3.48,158.0,42.0,158.0,69.21,30.74,-0.022025316455696203,0.26582278481012656,25.0,-7.000000000000001,0.0,-0.9999999999999999,0.0,Call,33.0,1.0,Call,35.0,-1.0
USB,Bull Call Spread,-3.17,114.0,36.0,114.0,67.43,32.52,-0.027807017543859648,0.3157894736842105,25.0,-3.0,0.9999999999999999,-0.9999999999999999,0.0,Call,33.5,1.0,Call,35.0,-1.0
USB,Bull Call Spread,-1.08,140.0,60.0,140.0,63.76,36.2,-0.007714285714285715,0.42857142857142855,34.0,-3.0,0.9999999999999999,-0.9999999999999999,0.0,Call,33.5,1.0,Call,35.5,-1.0
USB,Bull Call Spread,-6.15,39.0,11.0,39.0,63.76,36.2,-0.15769230769230771,0.28205128205128205,7.9999999999999964,-1.0000000000000009,0.0,0.0,0.0,Call,34.5,1.0,Call,35.0,-1.0
USB,Bull Call Spread,-8.89,107.0,43.0,107.0,59.95,40.0,-0.08308411214953272,0.40186915887850466,23.999999999999993,-3.0,0.0,-0.9999999999999999,0.0,Call,34.0,1.0,Call,35.5,-1.0
USB,Bull Call Spread,-4.06,65.0,35.0,65.0,58.01,41.94,-0.06246153846153846,0.5384615384615384,17.0,-1.0000000000000009,0.0,0.0,0.0,Call,34.5,1.0,Call,35.5,-1.0
USB,Bull Call Spread,-4.91,33.0,17.0,33.0,54.09,45.86,-0.1487878787878788,0.5151515151515151,9.000000000000002,0.0,0.0,0.0,0.0,Call,35.0,1.0,Call,35.5,-1.0
USB,Bull Call Spread,-5.89,90.0,60.0,90.0,54.09,45.86,-0.06544444444444444,0.6666666666666666,26.0,-1.0000000000000009,0.0,0.0,1.0,Call,34.5,1.0,Call,36.0,-1.0
USB,Bull Call Spread,0.54,102.0,98.0,102.0,50.15,49.8,0.005294117647058824,0.9607843137254902,32.0,1.0000000000000009,0.0,0.9999999999999999,1.0,Call,34.5,1.0,Call,36.5,-1.0
USB,Bull Call Spread,-6.74,58.0,42.0,58.0,50.15,49.8,-0.11620689655172414,0.7241379310344828,18.000000000000004,0.0,0.0,0.0,1.0,Call,35.0,1.0,Call,36.0,-1.0
USB,Bull Call Spread,-0.31,70.0,80.0,70.0,48.18,51.77,-0.004428571428571428,1.1428571428571428,24.000000000000004,2.0000000000000018,0.0,0.9999999999999999,1.0,Call,35.0,1.0,Call,36.5,-1.0
USB,Bull Call Spread,3.79,80.0,120.0,80.0,46.21,53.74,0.047375,1.5,32.00000000000001,4.000000000000001,-0.9999999999999999,0.9999999999999999,1.0,Call,35.0,1.0,Call,37.0,-1.0
USB,Bull Call Spread,-8.82,32.0,18.0,32.0,44.27,55.69,-0.275625,0.5625,9.000000000000002,0.0,0.0,0.0,1.0,Call,35.5,1.0,Call,36.0,-1.0
USB,Bull Call Spread,-2.4,44.0,56.0,44.0,42.34,57.61,-0.05454545454545454,1.2727272727272727,15.000000000000002,2.0000000000000018,0.0,0.9999999999999999,1.0,Call,35.5,1.0,Call,36.5,-1.0
USB,Bull Call Spread,1.71,54.0,96.0,54.0,40.43,59.52,0.03166666666666667,1.7777777777777777,23.0,4.000000000000001,-0.9999999999999999,0.9999999999999999,1.0,Call,35.5,1.0,Call,37.0,-1.0
