Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc
EWW,Bull Call Spread,-4.97,114.0,36.0,114.0,65.78,34.22,-0.043596491228070175,0.3157894736842105,29.000000000000004,-9.0,0.0,-0.9999999999999999,0.0,Call,32.5,1.0,Call,34.0,-1.0
EWW,Bull Call Spread,-5.7,74.0,26.0,74.0,63.44,36.56,-0.07702702702702703,0.35135135135135137,20.999999999999996,-4.999999999999999,0.0,-0.9999999999999999,0.0,Call,33.0,1.0,Call,34.0,-1.0
EWW,Bull Call Spread,-0.95,135.0,65.0,135.0,61.0,39.0,-0.007037037037037037,0.48148148148148145,41.0,-8.000000000000002,0.0,-0.9999999999999999,1.0,Call,32.5,1.0,Call,34.5,-1.0
EWW,Bull Call Spread,-1.67,95.0,55.0,95.0,58.47,41.53,-0.01757894736842105,0.5789473684210527,32.99999999999999,-4.000000000000001,0.0,-0.9999999999999999,1.0,Call,33.0,1.0,Call,34.5,-1.0
EWW,Bull Call Spread,-9.51,41.0,9.0,41.0,58.47,41.53,-0.2319512195121951,0.21951219512195122,10.999999999999998,-1.9999999999999991,0.0,0.0,0.0,Call,33.5,1.0,Call,34.0,-1.0
EWW,Bull Call Spread,0.58,111.0,89.0,111.0,53.2,46.8,0.005225225225225225,0.8018018018018018,43.99999999999999,-1.9999999999999991,0.0,0.0,1.0,Call,33.0,1.0,Call,35.0,-1.0
EWW,Bull Call Spread,-5.49,62.0,38.0,62.0,53.2,46.8,-0.08854838709677419,0.6129032258064516,23.0,-1.0000000000000009,0.0,0.0,1.0,Call,33.5,1.0,Call,34.5,-1.0
EWW,Bull Call Spread,-3.23,78.0,72.0,78.0,50.49,49.51,-0.04141025641025641,0.9230769230769231,34.0,1.0000000000000009,0.0,0.9999999999999999,1.0,Call,33.5,1.0,Call,35.0,-1.0
EWW,Bull Call Spread,-2.98,28.0,22.0,28.0,50.49,49.51,-0.10642857142857143,0.7857142857142857,12.0,0.9999999999999981,0.0,0.0,1.0,Call,34.0,1.0,Call,34.5,-1.0
EWW,Bull Call Spread,-2.04,89.0,111.0,89.0,44.99,55.01,-0.02292134831460674,1.247191011235955,43.0,6.0,0.0,0.9999999999999999,1.0,Call,33.5,1.0,Call,35.5,-1.0
EWW,Bull Call Spread,-0.72,44.0,56.0,44.0,44.99,55.01,-0.01636363636363636,1.2727272727272727,23.0,3.0,0.0,0.9999999999999999,1.0,Call,34.0,1.0,Call,35.0,-1.0
EWW,Bull Call Spread,0.48,55.0,95.0,55.0,42.25,57.75,0.008727272727272728,1.7272727272727273,32.0,7.999999999999999,0.0,0.9999999999999999,1.0,Call,34.0,1.0,Call,35.5,-1.0
