Underlying,Description,Name,Expected PnL,Cost of Strategy,Total Debit,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Leg_Profit_Factor,Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-290.51,-440.0000000000007,3000.000000000012,440.0000000000007,1404.9999999913923,2560.000000000011,71.89,28.11,0.17187499999999953,0.5488281249966352,Call,297.0,10.0,Call,298.0,-20.0,Call,302.0,10.0,-99.99999999999996,-10.000000000000004,50.00000000000004,-30.00000000000003,-10.0
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-201.4,-220.00000000000045,1500.0000000000114,220.00000000000045,684.9999999913921,1280.000000000011,69.96,30.04,0.1718749999999989,0.5351562499932705,Call,297.5,10.0,Call,298.0,-20.0,Call,300.0,10.0,-49.99999999999996,-10.000000000000004,20.000000000000018,-20.000000000000018,-10.0
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-159.15,-140.0,1000.0000000000114,140.0,604.9999999913916,860.0000000000114,68.26,31.74,0.16279069767441645,0.7034883720830042,Call,297.0,10.0,Call,297.5,-20.0,Call,299.0,10.0,-50.0,0.0,10.000000000000053,-2.220446049250313e-14,-10.0
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-308.32,-569.9999999999998,3000.000000000012,569.9999999999998,2534.999999991619,2430.000000000012,63.82,36.18,0.23456790123456667,1.043209876539756,Call,292.0,10.0,Call,294.0,-20.0,Call,299.0,10.0,-119.99999999999993,0.0,50.0,-30.000000000000004,-2.7755575615628914e-15
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-393.58,-600.0,4000.0000000000114,600.0,3564.999999991619,3400.0000000000114,63.82,36.18,0.17647058823529352,1.0485294117622375,Call,290.0,10.0,Call,293.0,-20.0,Call,300.0,10.0,-150.00000000000009,-10.000000000000004,90.00000000000003,-40.000000000000014,-20.0
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-143.64,-190.00000000000023,1000.0000000000114,190.00000000000023,1154.9999999915055,810.0000000000111,62.6,37.4,0.23456790123456495,1.4259259259154193,Call,294.0,10.0,Call,295.0,-20.0,Call,297.0,10.0,-49.999999999999915,0.0,10.000000000000009,-10.000000000000009,0.0
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-248.33,-409.99999999999955,2000.0000000000114,409.99999999999955,1874.9999999916186,1590.0000000000118,61.67,38.33,0.25786163522012356,1.1792452830135878,Call,292.5,10.0,Call,294.0,-20.0,Call,297.5,10.0,-80.00000000000003,0.0,29.999999999999982,-19.999999999999996,9.999999999999998
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-256.56,-710.0,3000.0000000000227,710.0,2674.999999991619,2290.0000000000227,61.05,38.95,0.3100436681222677,1.1681222707386867,Call,291.0,10.0,Call,293.0,-20.0,Call,298.0,10.0,-120.00000000000011,0.0,60.00000000000006,-20.000000000000018,-9.999999999999998
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-288.82,-440.0,2500.0000000000227,440.0,2904.999999991676,2060.0000000000227,60.11,39.89,0.21359223300970637,1.4101941747532252,Call,290.0,10.0,Call,292.5,-20.0,Call,297.5,10.0,-100.0,0.0,50.0,-20.000000000000018,-9.999999999999998
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-153.97,-209.99999999999955,1000.0000000000114,209.99999999999955,1174.9999999916186,790.0000000000118,59.48,40.52,0.265822784810122,1.487341772141267,Call,293.0,10.0,Call,294.0,-20.0,Call,296.0,10.0,-39.99999999999994,0.0,10.000000000000009,-10.000000000000009,9.999999999999998
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-146.83,-1010.0,3000.0000000000227,1010.0,1974.999999991619,1990.0000000000227,58.85,41.15,0.5075376884422053,0.992462311553566,Call,292.0,10.0,Call,293.0,-20.0,Call,297.0,10.0,-130.00000000000006,0.0,40.000000000000036,-10.000000000000009,-9.999999999999998
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-304.32,-440.0,3000.0000000000114,440.0,3904.9999999917327,2560.0000000000114,58.53,41.47,0.17187499999999925,1.5253906249967637,Call,287.5,10.0,Call,291.0,-20.0,Call,297.5,10.0,-129.9999999999999,-10.000000000000004,80.00000000000003,-39.99999999999999,-9.999999999999998
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-329.84,-680.0,4000.0000000000114,680.0,4644.999999991846,3320.0000000000114,57.9,42.1,0.20481927710843303,1.399096385539708,Call,286.0,10.0,Call,290.0,-20.0,Call,298.0,10.0,-179.9999999999999,-10.000000000000004,110.00000000000001,-50.0,5.551115123125783e-15
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-382.84,-659.9999999999998,5000.000000000011,659.9999999999998,5624.999999991846,4340.000000000011,57.58,42.42,0.15207373271889357,1.2960829493068737,Call,284.0,10.0,Call,289.0,-20.0,Call,299.0,10.0,-250.0,-9.999999999999998,120.00000000000001,-59.999999999999986,-9.999999999999995
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-335.57,-1070.0,6500.000000000011,1070.0,6534.99999999196,5430.000000000011,57.58,42.42,0.197053406998158,1.2034990791882039,Call,282.5,10.0,Call,288.0,-20.0,Call,300.0,10.0,-319.99999999999983,-30.00000000000001,150.00000000000006,-60.00000000000003,-9.999999999999995
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-210.52,-540.0,2000.0000000000227,540.0,2004.9999999916758,1460.0000000000227,57.26,42.74,0.3698630136986244,1.3732876712271538,Call,291.0,10.0,Call,292.5,-20.0,Call,296.0,10.0,-80.00000000000007,0.0,29.999999999999982,-10.000000000000009,-9.999999999999998
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-260.8,-270.0,2000.0000000000114,270.0,3234.9999999917327,1730.0000000000114,56.62,43.38,0.1560693641618487,1.8699421965270009,Call,288.0,10.0,Call,291.0,-20.0,Call,296.0,10.0,-79.99999999999989,0.0,50.00000000000004,-30.000000000000004,-9.999999999999998
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-156.93,-140.0,1000.0000000000114,140.0,2104.9999999917327,860.0000000000114,55.97,44.03,0.16279069767441645,2.4476744185950055,Call,290.0,10.0,Call,292.0,-20.0,Call,295.0,10.0,-40.00000000000021,0.0,20.000000000000018,0.0,-9.999999999999998
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-228.85,-1130.0,4000.0000000000114,1130.0,4094.9999999918464,2870.0000000000114,55.97,44.03,0.3937282229965141,1.4268292682898363,Call,287.0,10.0,Call,290.0,-20.0,Call,297.0,10.0,-180.00000000000006,-10.000000000000004,70.00000000000006,-30.000000000000004,5.551115123125783e-15
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-263.35,-1109.9999999999998,6000.000000000011,1109.9999999999998,6574.99999999196,4890.000000000011,55.97,44.03,0.22699386503067429,1.3445807770944673,Call,282.0,10.0,Call,287.5,-20.0,Call,299.0,10.0,-300.0,5.551115123125783e-15,119.99999999999997,-60.00000000000003,-9.999999999999995
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-233.75,-980.0,5000.000000000023,980.0,5944.99999999196,4020.0000000000227,55.65,44.35,0.2437810945273618,1.4788557213910265,Call,283.0,10.0,Call,288.0,-20.0,Call,298.0,10.0,-259.99999999999994,-19.999999999999996,110.00000000000006,-39.99999999999999,1.1102230246251565e-14
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-135.79,-509.99999999999955,1500.0000000000114,509.99999999999955,974.9999999916186,990.0000000000118,55.65,44.35,0.5151515151515086,0.984848484840007,Call,292.5,10.0,Call,293.0,-20.0,Call,295.0,10.0,-60.00000000000014,0.0,20.000000000000018,0.0,-9.999999999999998
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-263.91,-1050.0,4500.000000000023,1050.0,5014.999999991846,3450.0000000000227,55.65,44.35,0.30434782608695454,1.453623188403424,Call,285.0,10.0,Call,289.0,-20.0,Call,297.5,10.0,-209.99999999999997,-10.000000000000009,90.00000000000003,-39.99999999999999,1.1102230246251565e-14
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-192.5,-1110.0,5000.000000000023,1110.0,6074.99999999196,3890.0000000000227,54.36,45.64,0.2853470437017978,1.5616966580956104,Call,282.5,10.0,Call,287.5,-20.0,Call,297.5,10.0,-250.0,1.1102230246251565e-14,90.00000000000003,-39.99999999999999,1.1102230246251565e-14
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-146.56,-1500.0,5000.000000000023,1500.0,5464.99999999196,3500.0000000000227,54.03,45.97,0.42857142857142577,1.5614285714262641,Call,284.0,10.0,Call,288.0,-20.0,Call,297.0,10.0,-259.99999999999994,-10.000000000000009,70.00000000000001,-20.000000000000018,1.1102230246251565e-14
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-152.0,-300.0,1000.0000000000114,300.0,764.9999999916758,700.0000000000114,53.38,46.62,0.4285714285714216,1.0928571428452334,Call,292.0,10.0,Call,292.5,-20.0,Call,294.0,10.0,-39.99999999999986,0.0,10.000000000000009,0.0,-9.999999999999998
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-180.84,-1310.0,4000.0000000000114,1310.0,4274.999999991846,2690.0000000000114,53.38,46.62,0.4869888475836411,1.5892193308519809,Call,286.0,10.0,Call,289.0,-20.0,Call,296.0,10.0,-180.00000000000006,-10.000000000000004,60.00000000000001,-19.999999999999996,5.551115123125783e-15
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-188.16,-740.0,2500.0000000000227,740.0,3204.9999999918464,1760.0000000000227,53.05,46.95,0.42045454545454003,1.821022727268071,Call,287.5,10.0,Call,290.0,-20.0,Call,295.0,10.0,-109.99999999999997,-10.000000000000009,50.000000000000085,-20.000000000000018,-9.999999999999998
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-183.23,-1210.0000000000002,5000.000000000011,1210.0000000000002,6174.99999999196,3790.000000000011,53.05,46.95,0.31926121372031574,1.6292875989424649,Call,282.0,10.0,Call,287.0,-20.0,Call,297.0,10.0,-269.99999999999983,5.551115123125783e-15,89.99999999999999,-40.000000000000036,-20.0
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-148.1,-1130.0000000000018,5500.000000000011,1130.0000000000018,7094.999999992076,4370.000000000009,52.73,47.27,0.2585812356979404,1.6235697940485265,Call,280.0,10.0,Call,286.0,-20.0,Call,297.5,10.0,-299.99999999999994,5.551115123125783e-15,89.99999999999999,-39.99999999999999,-30.0
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-149.4,-1010.0,4000.0000000000227,1010.0,5474.99999999196,2990.0000000000227,52.4,47.6,0.33779264214046567,1.831103678927063,Call,283.0,10.0,Call,287.5,-20.0,Call,296.0,10.0,-200.0,1.1102230246251565e-14,59.999999999999964,-30.00000000000003,1.1102230246251565e-14
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-25.32,-1650.0,6000.000000000011,1650.0,7614.999999992074,4350.000000000011,51.09,48.91,0.37931034482758524,1.7505747126418516,Call,279.0,10.0,Call,285.0,-20.0,Call,297.0,10.0,-340.0000000000002,-9.999999999999995,80.00000000000004,-19.999999999999986,-30.00000000000001
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-79.93,-1500.0000000000018,5000.000000000011,1500.0000000000018,6464.999999992076,3500.000000000009,50.77,49.23,0.428571428571428,1.8471428571405881,Call,281.0,10.0,Call,286.0,-20.0,Call,296.0,10.0,-260.00000000000006,5.551115123125783e-15,60.00000000000006,-30.000000000000004,-30.0
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-76.59,-1550.0,4000.0000000000114,1550.0,4514.99999999196,2450.0000000000114,50.77,49.23,0.6326530612244868,1.8428571428538527,Call,285.0,10.0,Call,288.0,-20.0,Call,295.0,10.0,-189.99999999999986,-10.000000000000004,39.99999999999999,-2.220446049250313e-14,5.551115123125783e-15
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-161.33,-870.0,3500.0000000000114,870.0,5334.99999999196,2630.0000000000114,50.44,49.56,0.330798479087451,2.028517110263094,Call,282.5,10.0,Call,287.0,-20.0,Call,295.0,10.0,-189.99999999999986,5.551115123125783e-15,60.00000000000001,-20.000000000000018,-20.000000000000007
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-131.05,-1220.0,3000.0000000000227,1220.0,3184.9999999918464,1780.0000000000227,49.78,50.22,0.6853932584269575,1.7893258426920258,Call,287.0,10.0,Call,289.0,-20.0,Call,294.0,10.0,-130.00000000000006,-10.000000000000009,20.000000000000018,0.0,1.1102230246251565e-14
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,-113.41,-990.0,3000.0000000000114,990.0,4454.99999999196,2010.0000000000114,49.13,50.87,0.492537313432833,2.2164179104437487,Call,284.0,10.0,Call,287.5,-20.0,Call,294.0,10.0,-150.0,10.000000000000004,19.99999999999997,-10.000000000000009,5.551115123125783e-15
QQQ,INVESCO QQQ TRUST UNIT SER 1 ETF,Bearish Call Modified Butterfly,17.61,-1790.0,5000.000000000023,1790.0,6754.999999992074,3210.0000000000227,48.47,51.53,0.5576323987538901,2.104361370714027,Call,280.0,10.0,Call,285.0,-20.0,Call,295.0,10.0,-260.0000000000001,1.1102230246251565e-14,40.000000000000036,4.440892098500626e-14,-30.000000000000004
