Cost of Strategy,Description,Expected PnL,Leg_Profit_Factor,Leg_profit,Max_Loss,Max_Profit,Name,Prob of Loss,Prob of Profit,Profit_Factor,Strategy_Delta,Strategy_Gamma,Strategy_Rho,Strategy_Theta,Strategy_Vega,Strike_1,Strike_1_alloc,Strike_1_type,Strike_2,Strike_2_alloc,Strike_2_type,Strike_3,Strike_3_alloc,Strike_3_type,Total Debit,Underlying
-169.99999999999955,AMER INTL GRP INC COM,-255.89,0.20481927710843237,169.99999999999955,830.0000000000033,1154.9999999999422,Bullish Put Modified Butterfly,58.38,41.62,1.391566265060166,200.0,-20.000000000000018,0.0,-5.551115123125783e-15,-10.0,29.0,10.0,Put,31.0,-20.0,Put,32.0,10.0,Put,1000.0000000000028,AIG
-119.99999999999977,BANK OF AMERICA CORPORATION COM,-87.98,0.31578947368420857,119.99999999999977,380.00000000000165,570.0000000000488,Bullish Put Modified Butterfly,53.48,46.52,1.500000000000122,120.00000000000001,4.440892098500626e-14,10.0,0.0,0.0,26.0,10.0,Put,27.0,-20.0,Put,27.5,10.0,Put,500.0000000000014,BAC
-140.0,CITIGROUP INC COM,-268.37,0.16279069767441806,140.0,860.0000000000028,1099.99999999961,Bullish Put Modified Butterfly,52.66,47.34,1.2790697674414029,109.99999999999997,-10.000000000000009,-10.0,9.999999999999998,-9.999999999999998,51.5,10.0,Put,53.5,-20.0,Put,54.5,10.0,Put,1000.0000000000028,C
-140.00000000000045,CITIGROUP INC COM,-95.39,0.3888888888888891,140.00000000000045,360.00000000000097,599.9999999996176,Bullish Put Modified Butterfly,52.66,47.34,1.6666666666655998,69.99999999999993,0.0,0.0,0.0,0.0,52.0,10.0,Put,53.0,-20.0,Put,53.5,10.0,Put,500.0000000000014,C
-260.0,CITIGROUP INC COM,-343.5,0.20967741935483825,260.0,1240.0000000000027,1719.9999999995957,Bullish Put Modified Butterfly,55.33,44.67,1.3870967741932194,220.0000000000001,-19.999999999999986,10.000000000000004,5.551115123125783e-15,5.551115123125783e-15,51.5,10.0,Put,54.5,-20.0,Put,56.0,10.0,Put,1500.0000000000027,C
-280.0,CITIGROUP INC COM,-177.09,0.38888888888888734,280.0,720.0000000000028,1239.999999999603,Bullish Put Modified Butterfly,55.33,44.67,1.722222222221664,120.00000000000001,0.0,-10.0,9.999999999999998,-9.999999999999998,52.0,10.0,Put,54.0,-20.0,Put,55.0,10.0,Put,1000.0000000000028,C
-139.9999999999999,COMCAST CORP COM CL A,-91.72,0.3888888888888869,139.9999999999999,360.00000000000153,620.0000000003023,Bearish Call Modified Butterfly,55.77,44.23,1.7222222222230545,-79.9999999999998,40.000000000000014,0.0,9.999999999999998,0.0,43.0,10.0,Call,43.5,-20.0,Call,44.5,10.0,Call,500.0000000000014,CMCSA
-269.99999999999994,DEVON ENERGY CORP COM,-126.24,0.5510204081632646,269.99999999999994,490.0000000000005,500.00000000001813,Bearish Call Modified Butterfly,55.76,44.16,1.0204081632653421,-240.00000000000023,40.000000000000036,0.0,-10.0,0.0,10.0,10.0,Call,10.24,-20.0,Call,11.24,10.0,Call,760.0000000000005,DVN
-199.99999999999955,ISHARES TRUST MSCI EMG MKT ETF,-148.31,0.24999999999999886,199.99999999999955,800.0000000000018,1175.0000000002995,Bearish Call Modified Butterfly,55.9,44.1,1.468750000000371,-330.00000000000034,39.99999999999999,0.0,10.000000000000004,-5.551115123125783e-15,43.0,10.0,Call,44.0,-20.0,Call,46.0,10.0,Call,1000.0000000000014,EEM
-140.00000000000045,ISHARES INC MSCI MEXICO ETF,-240.33,0.16279069767441895,140.00000000000045,860.0000000000009,1135.0000000002183,Bearish Call Modified Butterfly,59.78,40.22,1.3197674418607175,-299.9999999999997,29.999999999999982,0.0,10.000000000000004,-5.551115123125783e-15,31.5,10.0,Call,32.5,-20.0,Call,34.5,10.0,Call,1000.0000000000014,EWW
-180.00000000000045,ISHARES TRUST CHINA LG-CAP ETF,-161.01,0.2195121951219519,180.00000000000045,819.9999999999995,1175.0000000003033,Bearish Call Modified Butterfly,55.25,44.75,1.4329268292686634,-270.0000000000001,0.0,0.0,-9.999999999999998,-9.999999999999998,42.5,10.0,Call,43.5,-20.0,Call,45.5,10.0,Call,1000.0,FXI
-80.0,ISHARES TRUST CHINA LG-CAP ETF,-145.03,0.19047619047619047,80.0,420.0,575.000000000303,Bearish Call Modified Butterfly,57.04,42.96,1.3690476190483405,-129.99999999999997,29.999999999999982,0.0,-9.999999999999998,10.000000000000004,43.5,10.0,Call,44.0,-20.0,Call,45.0,10.0,Call,500.0,FXI
-200.0,HESS CORPORATION COM,-329.89,0.15384615384615316,200.0,1300.0000000000057,1670.0000000003542,Bullish Put Modified Butterfly,51.08,48.92,1.2846153846156514,130.00000000000006,-19.99999999999997,0.0,9.999999999999986,0.0,45.5,10.0,Put,48.5,-20.0,Put,50.0,10.0,Put,1500.0000000000057,HES
-140.0,HESS CORPORATION COM,-311.49,0.16279069767441753,140.0,860.0000000000057,1110.0000000003542,Bullish Put Modified Butterfly,55.14,44.85,1.290697674419008,90.00000000000003,-9.999999999999986,0.0,-2.220446049250313e-14,9.999999999999998,46.5,10.0,Put,48.5,-20.0,Put,49.5,10.0,Put,1000.0000000000057,HES
-150.0,MARVELL TECH GROUP COM,-249.95,0.17647058823529382,150.0,850.0000000000014,1124.9999999997526,Bearish Call Modified Butterfly,56.03,43.97,1.3235294117644127,-139.99999999999994,10.000000000000009,0.0,9.999999999999998,9.999999999999998,35.5,10.0,Call,36.5,-20.0,Call,38.5,10.0,Call,1000.0000000000014,MRVL
-410.0000000000001,MARVELL TECH GROUP COM,-305.81,0.2578616352201256,410.0000000000001,1590.0000000000014,2384.999999999774,Bearish Call Modified Butterfly,59.97,40.02,1.4999999999998566,-359.9999999999999,19.999999999999996,0.0,-5.551115123125783e-15,-5.551115123125783e-15,33.0,10.0,Call,35.0,-20.0,Call,39.0,10.0,Call,2000.0000000000014,MRVL
-350.0,MARVELL TECH GROUP COM,-264.94,0.30434782608695615,350.0,1150.0000000000014,1824.999999999767,Bearish Call Modified Butterfly,59.97,40.02,1.5869565217389259,-259.9999999999999,9.999999999999986,0.0,-5.551115123125783e-15,-5.551115123125783e-15,34.0,10.0,Call,35.5,-20.0,Call,38.5,10.0,Call,1500.0000000000014,MRVL
-210.0,MORGAN STANLEY COM,-219.17,0.2658227848101256,210.0,790.0000000000028,1164.99999999965,Bearish Call Modified Butterfly,56.4,43.6,1.4746835443033492,-170.0000000000002,-19.999999999999996,0.0,-9.999999999999998,-9.999999999999998,50.0,10.0,Call,51.0,-20.0,Call,53.0,10.0,Call,1000.0000000000028,MS
-100.00000000000023,MORGAN STANLEY COM,-152.25,0.24999999999999895,100.00000000000023,400.0000000000026,554.9999999996433,Bearish Call Modified Butterfly,57.5,42.5,1.3874999999990991,-49.99999999999982,10.000000000000032,0.0,-5.551115123125783e-15,10.000000000000004,51.0,10.0,Call,51.5,-20.0,Call,52.5,10.0,Call,500.00000000000284,MS
-80.0,MICRON TECHNOLOGY INC COM,-132.82,0.19047619047618983,80.0,420.0000000000014,534.9999999996714,Bullish Put Modified Butterfly,48.84,51.16,1.2738095238087372,50.000000000000085,0.0,0.0,0.0,-9.999999999999998,45.0,10.0,Put,46.0,-20.0,Put,46.5,10.0,Put,500.0000000000014,MU
-270.0,MICRON TECHNOLOGY INC COM,-193.61,0.3698630136986287,270.0,730.0000000000028,1224.99999999965,Bullish Put Modified Butterfly,56.66,43.34,1.6780821917803361,120.00000000000011,-9.999999999999986,0.0,9.999999999999998,10.000000000000004,45.5,10.0,Put,47.5,-20.0,Put,48.5,10.0,Put,1000.0000000000028,MU
-240.0,DIREXION SHARES ETF TRUST DLY SMCAP BULL3X ETF,-399.43,0.19047619047619047,240.0,1260.0,1695.0000000002824,Bullish Put Modified Butterfly,55.26,44.21,1.3452380952383194,139.99999999999994,-29.99999999999997,0.0,9.999999999999998,-9.999999999999998,34.5,10.0,Put,37.5,-20.0,Put,39.0,10.0,Put,1500.0,TNA
-150.0,DIREXION SHARES ETF TRUST DAILY SM CP BEAR ETF,-169.6,0.17647058823529396,150.0,850.0000000000007,1140.0000000000305,Bullish Put Modified Butterfly,51.99,47.71,1.34117647058827,269.99999999999994,-30.00000000000005,0.0,19.999999999999996,0.0,14.5,10.0,Put,16.5,-20.0,Put,17.5,10.0,Put,1000.0000000000007,TZA
-3499.9999999999995,UNITED AIRLINES HOLDINGS COM,-552.68,0.1680268843014882,3499.9999999999995,20830.0,3499.9999999999995,Bullish Put Modified Butterfly,38.57,61.01,0.1680268843014882,800.0,-110.00000000000001,20.0,130.0,-50.0,31.0,10.0,Put,37.0,-20.0,Put,,,,24330.0,UAL
-3249.9999999999995,UNITED AIRLINES HOLDINGS COM,-429.06,0.170335429769392,3249.9999999999995,19080.0,3249.9999999999995,Bullish Put Modified Butterfly,39.95,59.63,0.170335429769392,730.0,-90.00000000000001,20.0,110.00000000000001,-40.0,33.0,10.0,Put,37.0,-20.0,Put,,,,22330.0,UAL
-4070.0,UNITED AIRLINES HOLDINGS COM,-424.42,0.21131879543094495,4070.0,19260.0,4070.0,Bullish Put Modified Butterfly,43.4,56.18,0.21131879543094495,810.0,-80.00000000000001,20.0,100.0,-40.0,34.0,10.0,Put,38.0,-20.0,Put,,,,23330.0,UAL
-3390.0,UNITED AIRLINES HOLDINGS COM,-359.55,0.18896321070234115,3390.0,17940.0,3390.0,Bullish Put Modified Butterfly,46.17,53.41,0.18896321070234115,670.0,-70.0,10.0,90.0,-30.0,36.0,10.0,Put,38.0,-20.0,Put,,,,21330.0,UAL
-3400.0,UNITED AIRLINES HOLDINGS COM,-559.16,0.18962632459564974,3400.0,17930.0,4370.000000000318,Bullish Put Modified Butterfly,48.24,51.34,0.24372559955383816,629.9999999999999,-70.0,10.0,90.0,-40.0,41.0,-20.0,Put,42.0,10.0,Put,,,,21330.0,UAL
-90.0,SELECT SECTOR SPDR TRUST ENERGY ETF,-157.52,0.21951219512195047,90.0,410.0000000000014,569.9999999997269,Bullish Put Modified Butterfly,57.6,42.4,1.3902439024383535,100.0,-4.440892098500626e-14,0.0,9.999999999999998,9.999999999999998,36.5,10.0,Put,37.5,-20.0,Put,38.0,10.0,Put,500.0000000000014,XLE
-220.0,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,-231.83,0.17187499999999925,220.0,1280.0000000000057,1714.9999999996066,Bullish Put Modified Butterfly,45.7,54.3,1.3398437499996867,150.0,-19.99999999999997,-10.0,0.0,0.0,51.0,10.0,Put,54.0,-20.0,Put,55.5,10.0,Put,1500.0000000000057,XOP
-140.0,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,-217.18,0.16279069767441806,140.0,860.0000000000028,1134.9999999996207,Bullish Put Modified Butterfly,46.51,53.49,1.3197674418600198,90.00000000000013,-9.999999999999986,0.0,20.000000000000018,0.0,51.5,10.0,Put,53.5,-20.0,Put,54.5,10.0,Put,1000.0000000000028,XOP
-200.0,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,-318.98,0.15384615384615316,200.0,1300.0000000000057,1694.9999999996066,Bullish Put Modified Butterfly,49.77,50.23,1.3038461538458455,150.0,-19.99999999999997,-10.0,9.999999999999998,-10.000000000000004,51.5,10.0,Put,54.5,-20.0,Put,56.0,10.0,Put,1500.0000000000057,XOP
-189.99999999999977,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,-210.1,0.23456790123456672,189.99999999999977,810.0000000000031,1184.9999999996064,Bullish Put Modified Butterfly,50.59,49.41,1.4629629629624714,99.99999999999991,-9.999999999999986,0.0,0.0,0.0,52.0,10.0,Put,54.0,-20.0,Put,55.0,10.0,Put,1000.0000000000028,XOP
-280.0,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,-408.37,0.16279069767441806,280.0,1720.0000000000057,2274.9999999995925,Bullish Put Modified Butterfly,53.81,46.19,1.32267441860441,230.00000000000006,-20.000000000000007,10.000000000000004,19.999999999999996,-10.000000000000004,51.5,10.0,Put,55.5,-20.0,Put,57.5,10.0,Put,2000.0000000000057,XOP
-270.0,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,-317.47,0.2195121951219502,270.0,1230.0000000000057,1764.9999999995925,Bullish Put Modified Butterfly,53.81,46.19,1.434959349593158,150.00000000000009,-1.1102230246251565e-14,-10.0,9.999999999999998,-10.000000000000004,52.0,10.0,Put,55.0,-20.0,Put,56.5,10.0,Put,1500.0000000000057,XOP
-150.0,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,-293.53,0.17647058823529294,150.0,850.0000000000057,1144.9999999996066,Bullish Put Modified Butterfly,54.61,45.39,1.34705882352894,100.0,-9.999999999999986,-10.0,0.0,0.0,52.5,10.0,Put,54.5,-20.0,Put,55.5,10.0,Put,1000.0000000000057,XOP
