Underlying,Description,Name,Expected PnL,Cost of Strategy,Total Debit,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Leg_Profit_Factor,Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
XOP,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,Bullish Put Modified Butterfly,-231.83,-220.0,1500.0000000000057,220.0,1714.9999999996066,1280.0000000000057,54.3,45.7,0.17187499999999925,1.3398437499996867,Put,51.0,10.0,Put,54.0,-20.0,Put,55.5,10.0,150.0,-19.99999999999997,0.0,0.0,-10.0
XOP,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,Bullish Put Modified Butterfly,-217.18,-140.0,1000.0000000000028,140.0,1134.9999999996207,860.0000000000028,53.49,46.51,0.16279069767441806,1.3197674418600198,Put,51.5,10.0,Put,53.5,-20.0,Put,54.5,10.0,90.00000000000013,-9.999999999999986,20.000000000000018,0.0,0.0
XOP,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,Bullish Put Modified Butterfly,-318.98,-200.0,1500.0000000000057,200.0,1694.9999999996066,1300.0000000000057,50.23,49.77,0.15384615384615316,1.3038461538458455,Put,51.5,10.0,Put,54.5,-20.0,Put,56.0,10.0,150.0,-19.99999999999997,9.999999999999998,-10.000000000000004,-10.0
XOP,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,Bullish Put Modified Butterfly,-210.1,-189.99999999999977,1000.0000000000028,189.99999999999977,1184.9999999996064,810.0000000000031,49.41,50.59,0.23456790123456672,1.4629629629624714,Put,52.0,10.0,Put,54.0,-20.0,Put,55.0,10.0,99.99999999999991,-9.999999999999986,0.0,0.0,0.0
XOP,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,Bullish Put Modified Butterfly,-408.37,-280.0,2000.0000000000057,280.0,2274.9999999995925,1720.0000000000057,46.19,53.81,0.16279069767441806,1.32267441860441,Put,51.5,10.0,Put,55.5,-20.0,Put,57.5,10.0,230.00000000000006,-20.000000000000007,19.999999999999996,-10.000000000000004,10.000000000000004
XOP,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,Bullish Put Modified Butterfly,-317.47,-270.0,1500.0000000000057,270.0,1764.9999999995925,1230.0000000000057,46.19,53.81,0.2195121951219502,1.434959349593158,Put,52.0,10.0,Put,55.0,-20.0,Put,56.5,10.0,150.00000000000009,-1.1102230246251565e-14,9.999999999999998,-10.000000000000004,-10.0
XOP,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,Bullish Put Modified Butterfly,-293.53,-150.0,1000.0000000000057,150.0,1144.9999999996066,850.0000000000057,45.39,54.61,0.17647058823529294,1.34705882352894,Put,52.5,10.0,Put,54.5,-20.0,Put,55.5,10.0,100.0,-9.999999999999986,0.0,0.0,-10.0
XOP,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,Bullish Put Modified Butterfly,-179.6,-69.99999999999977,500.00000000000284,69.99999999999977,564.9999999996064,430.00000000000307,44.59,55.41,0.16279069767441692,1.3139534883711683,Put,53.0,10.0,Put,54.0,-20.0,Put,54.5,10.0,49.999999999999915,0.0,-10.000000000000009,0.0,0.0
XOP,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,Bullish Put Modified Butterfly,-276.45,-380.0,1500.0000000000057,380.0,1874.9999999995925,1120.0000000000057,43.01,56.99,0.3392857142857126,1.6741071428567706,Put,52.5,10.0,Put,55.5,-20.0,Put,57.0,10.0,149.99999999999983,-10.00000000000002,19.999999999999996,-10.000000000000004,10.000000000000004
XOP,SPDR SERIES TRUST S&P OIL & GAS EXPL & PRODTN,Bullish Put Modified Butterfly,-296.96,-190.0,1000.0000000000057,190.0,1184.9999999995925,810.0000000000057,41.44,58.56,0.23456790123456625,1.4629629629624497,Put,53.0,10.0,Put,55.0,-20.0,Put,56.0,10.0,90.00000000000003,9.999999999999986,-1.1102230246251565e-14,-10.000000000000004,-10.0
