Underlying,Description,Name,Expected PnL,Cost of Strategy,Total Debit,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Leg_Profit_Factor,Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
AMAT,APPLIED MATERIALS INC COM,Bearish Call Modified Butterfly,-148.91,-140.0,1000.0000000000028,140.0,1104.9999999995487,860.0000000000028,60.49,39.51,0.16279069767441806,1.2848837209297035,Call,62.0,10.0,Call,63.0,-20.0,Call,65.0,10.0,-100.0,-19.99999999999997,0.0,0.0,0.0
AMAT,APPLIED MATERIALS INC COM,Bearish Call Modified Butterfly,-194.2,-270.0,1500.0000000000057,270.0,1734.999999999577,1230.0000000000057,53.28,46.72,0.2195121951219502,1.4105691056907066,Call,60.0,10.0,Call,61.5,-20.0,Call,64.5,10.0,-119.99999999999993,0.0,19.999999999999996,-9.999999999999998,0.0
AMAT,APPLIED MATERIALS INC COM,Bearish Call Modified Butterfly,-227.8,-140.0,1000.0000000000057,140.0,1104.999999999563,860.0000000000057,52.46,47.54,0.16279069767441753,1.284883720929716,Call,61.0,10.0,Call,62.0,-20.0,Call,64.0,10.0,-80.00000000000007,9.999999999999986,0.0,-9.999999999999998,0.0
AMAT,APPLIED MATERIALS INC COM,Bearish Call Modified Butterfly,-210.02,-200.0,1000.0000000000057,200.0,1164.999999999577,800.0000000000057,48.34,51.66,0.24999999999999822,1.456249999999461,Call,60.5,10.0,Call,61.5,-20.0,Call,63.5,10.0,-90.00000000000021,0.0,0.0,-9.999999999999998,0.0
AMAT,APPLIED MATERIALS INC COM,Bearish Call Modified Butterfly,-298.13,-300.0,1500.0000000000027,300.0,1764.9999999995912,1200.0000000000027,45.02,54.98,0.24999999999999944,1.4708333333329893,Call,59.0,10.0,Call,60.5,-20.0,Call,63.5,10.0,30.00000000000007,-50.00000000000002,60.0,-30.000000000000004,-10.0
BMY,BRISTOL-MYERS SQUIBB CO COM,Bearish Call Modified Butterfly,-185.3,-169.99999999999955,1000.0000000000028,169.99999999999955,1155.0000000004252,830.0000000000033,47.97,52.03,0.20481927710843237,1.3915662650607477,Call,60.0,10.0,Call,61.0,-20.0,Call,63.0,10.0,-150.00000000000017,10.000000000000009,9.999999999999998,0.0,0.0
CVS,CVS HEALTH CORPORATION COM,Bearish Call Modified Butterfly,-100.25,-80.0,500.00000000000284,80.0,574.9999999995498,420.00000000000284,55.28,44.72,0.1904761904761892,1.369047619046538,Call,62.5,10.0,Call,63.0,-20.0,Call,64.0,10.0,-70.0000000000002,0.0,0.0,0.0,0.0
CVS,CVS HEALTH CORPORATION COM,Bearish Call Modified Butterfly,-85.24,-249.99999999999955,1000.0000000000028,249.99999999999955,1244.9999999995634,750.0000000000033,51.54,48.46,0.33333333333333126,1.6599999999994106,Call,61.0,10.0,Call,62.0,-20.0,Call,64.0,10.0,-120.00000000000011,9.999999999999986,9.999999999999998,-9.999999999999998,0.0
CVS,CVS HEALTH CORPORATION COM,Bearish Call Modified Butterfly,-174.78,-230.0,1000.0000000000028,230.0,1224.9999999995782,770.0000000000028,45.25,54.75,0.2987012987012976,1.5909090909085373,Call,60.5,10.0,Call,61.5,-20.0,Call,63.5,10.0,-149.99999999999991,-10.000000000000009,9.999999999999998,9.999999999999998,0.0
CVS,CVS HEALTH CORPORATION COM,Bearish Call Modified Butterfly,-164.1,-79.99999999999955,500.00000000000284,79.99999999999955,574.9999999995636,420.0000000000033,42.75,57.25,0.1904761904761879,1.3690476190465692,Call,61.5,10.0,Call,62.0,-20.0,Call,63.0,10.0,-50.0,19.999999999999996,0.0,-9.999999999999998,0.0
CVX,CHEVRON CORPORATION COM,Bullish Put Modified Butterfly,-503.16,-200.0,1500.0000000000027,200.0,1684.99999999936,1300.0000000000027,41.04,58.96,0.15384615384615352,1.296153846153351,Put,85.5,10.0,Put,88.5,-20.0,Put,90.0,10.0,150.0,-1.1102230246251565e-14,-10.000000000000009,10.000000000000009,9.999999999999998
DIS,WALT DISNEY COMPANY (THE) COM,Bullish Put Modified Butterfly,-304.18,-700.0,2000.0000000000027,700.0,2669.9999999958777,1300.0000000000027,41.06,58.94,0.5384615384615373,2.0538461538429784,Put,136.0,10.0,Put,140.0,-20.0,Put,142.0,10.0,109.99999999999997,9.999999999999998,2.220446049250313e-14,10.000000000000032,-10.000000000000004
EBAY,EBAY INC COM,Bullish Put Modified Butterfly,-373.09,-350.0,2500.0000000000114,350.0,2814.999999999563,2150.0000000000114,44.31,55.69,0.16279069767441776,1.309302325581185,Put,52.5,10.0,Put,57.5,-20.0,Put,60.0,10.0,350.0,-30.000000000000014,20.0,5.551115123125783e-15,10.000000000000004
EBAY,EBAY INC COM,Bullish Put Modified Butterfly,-308.38,-360.0,2000.0000000000057,360.0,2324.999999999577,1640.0000000000057,44.31,55.69,0.21951219512195047,1.4176829268290054,Put,53.0,10.0,Put,57.0,-20.0,Put,59.0,10.0,280.00000000000006,-1.1102230246251565e-14,9.999999999999998,10.000000000000004,10.000000000000004
EBAY,EBAY INC COM,Bullish Put Modified Butterfly,-137.78,-760.0,2500.0000000000114,760.0,3224.999999999563,1740.0000000000114,43.29,56.71,0.43678160919539943,1.8534482758618056,Put,53.0,10.0,Put,58.0,-20.0,Put,60.5,10.0,340.00000000000006,-1.1102230246251565e-14,5.551115123125783e-15,5.551115123125783e-15,10.000000000000004
EBAY,EBAY INC COM,Bullish Put Modified Butterfly,-291.21,-510.0,2000.0000000000057,510.0,2474.999999999563,1490.0000000000057,41.26,58.74,0.34228187919462955,1.6610738255030562,Put,53.5,10.0,Put,57.5,-20.0,Put,59.5,10.0,280.00000000000006,0.0,9.999999999999998,5.551115123125783e-15,10.000000000000004
GDXJ,VANECK VECTORS ETF TRUST JR GOLD MINERS E ETF,Bearish Call Modified Butterfly,-390.53,-300.0,2000.0000000000027,300.0,2295.0000000003884,1700.0000000000027,49.3,50.7,0.17647058823529382,1.3500000000002264,Call,55.0,10.0,Call,57.0,-20.0,Call,61.0,10.0,-179.99999999999972,-9.999999999999986,1.1102230246251565e-14,-5.551115123125783e-15,0.0
GDXJ,VANECK VECTORS ETF TRUST JR GOLD MINERS E ETF,Bearish Call Modified Butterfly,-489.61,-270.0,2000.0000000000027,270.0,2265.000000000374,1730.0000000000027,45.49,54.51,0.15606936416184947,1.3092485549135089,Call,54.5,10.0,Call,56.5,-20.0,Call,60.5,10.0,-170.0000000000001,-9.999999999999986,10.000000000000009,-5.551115123125783e-15,0.0
