Underlying,Description,Name,Expected PnL,Cost of Strategy,Total Debit,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Leg_Profit_Factor,Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
SSO,PROSHARES TRUST PSHS ULT S&P 500 ETF,Bearish Call Modified Butterfly,-643.2,-750.0,3750.0000000000027,750.0,1959.9999999994538,3000.0000000000027,53.79,46.21,0.24999999999999978,0.6533333333331507,Call,77.5,10.0,Call,78.75,-20.0,Call,83.75,10.0,-320.00000000000006,-19.999999999999996,30.000000000000014,-19.999999999999996,-10.0
SSO,PROSHARES TRUST PSHS ULT S&P 500 ETF,Bearish Call Modified Butterfly,-771.46,-1350.0,5750.000000000003,1350.0,2590.000000000535,4400.000000000003,53.19,46.81,0.3068181818181816,0.5886363636364849,Call,76.75,10.0,Call,78.0,-20.0,Call,85.0,10.0,-469.99999999999994,-20.000000000000018,19.999999999999996,-29.999999999999993,-20.0
SSO,PROSHARES TRUST PSHS ULT S&P 500 ETF,Bearish Call Modified Butterfly,-780.8,-1350.0,7000.000000000003,1350.0,3809.999999999482,5650.000000000003,53.19,46.81,0.238938053097345,0.6743362831857487,Call,74.25,10.0,Call,76.75,-20.0,Call,86.25,10.0,-539.9999999999999,-49.999999999999986,70.0,-40.0,-10.000000000000004
SSO,PROSHARES TRUST PSHS ULT S&P 500 ETF,Bearish Call Modified Butterfly,-680.11,-1450.0,6000.000000000003,1450.0,3440.0000000005207,4550.000000000003,51.97,48.03,0.3186813186813185,0.75604395604407,Call,75.0,10.0,Call,77.0,-20.0,Call,85.0,10.0,-500.0,-19.999999999999996,29.999999999999993,-19.999999999999996,-20.0
SSO,PROSHARES TRUST PSHS ULT S&P 500 ETF,Bearish Call Modified Butterfly,-1156.8,-950.0,6750.000000000003,950.0,2940.0000000005207,5800.000000000003,51.97,48.03,0.16379310344827577,0.5068965517242274,Call,75.5,10.0,Call,77.5,-20.0,Call,86.25,10.0,-559.9999999999998,-50.000000000000014,40.0,-30.0,-20.0
SSO,PROSHARES TRUST PSHS ULT S&P 500 ETF,Bearish Call Modified Butterfly,-728.83,-1350.0,5000.000000000003,1350.0,2590.0000000005207,3650.0000000000027,50.15,49.85,0.36986301369862984,0.7095890410960325,Call,76.25,10.0,Call,77.5,-20.0,Call,83.75,10.0,-419.9999999999998,-20.000000000000007,19.999999999999996,-9.999999999999998,-10.0
SSO,PROSHARES TRUST PSHS ULT S&P 500 ETF,Bearish Call Modified Butterfly,-686.36,-2650.0,8750.000000000004,2650.0,4640.000000000492,6100.000000000004,50.15,49.85,0.4344262295081965,0.7606557377049983,Call,73.5,10.0,Call,75.5,-20.0,Call,86.25,10.0,-650.0000000000002,-29.999999999999993,59.999999999999986,-20.0,-20.0
SSO,PROSHARES TRUST PSHS ULT S&P 500 ETF,Bearish Call Modified Butterfly,-508.79,-1050.0,3500.0000000000027,1050.0,2040.0000000005348,2450.0000000000027,49.54,50.46,0.4285714285714281,0.8326530612247072,Call,77.0,10.0,Call,78.0,-20.0,Call,82.5,10.0,-309.9999999999999,9.999999999999975,9.999999999999998,-9.999999999999998,-10.0
SSO,PROSHARES TRUST PSHS ULT S&P 500 ETF,Bearish Call Modified Butterfly,-697.08,-1050.0,4750.000000000003,1050.0,3259.999999999482,3700.0000000000027,49.54,50.46,0.28378378378378355,0.8810810810809404,Call,74.5,10.0,Call,76.75,-20.0,Call,83.75,10.0,-429.9999999999999,-9.999999999999986,19.999999999999996,-19.999999999999996,-10.0
SSO,PROSHARES TRUST PSHS ULT S&P 500 ETF,Bearish Call Modified Butterfly,-513.52,-300.0,1750.0000000000027,300.0,1009.9999999994537,1450.0000000000027,48.31,51.69,0.20689655172413754,0.696551724137553,Call,78.0,10.0,Call,78.75,-20.0,Call,81.25,10.0,-160.00000000000014,-1.1102230246251565e-14,20.000000000000018,0.0,-10.0
