Underlying,Description,Name,Expected PnL,Cost of Strategy,Total Debit,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Leg_Profit_Factor,Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-1926.98,-2150.0,15000.000000000091,2150.0,17135.00000001451,12850.000000000091,57.07,42.93,0.1673151750972751,1.333463035020575,Put,475.0,10.0,Put,505.0,-20.0,Put,520.0,10.0,129.9999999999999,0.0,150.0,-90.00000000000003,40.000000000000014
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-1428.39,-1850.0,10000.000000000091,1850.0,11835.000000014224,8150.000000000091,56.83,43.16,0.22699386503067231,1.4521472392655328,Put,480.0,10.0,Put,500.0,-20.0,Put,510.0,10.0,89.99999999999986,0.0,90.00000000000003,-50.0,29.999999999999982
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-1232.27,-700.0,5000.000000000023,700.0,5685.000000013941,4300.000000000023,55.95,44.04,0.16279069767441776,1.322093023259049,Put,485.0,10.0,Put,495.0,-20.0,Put,500.0,10.0,50.0,0.0,30.00000000000016,-9.999999999999964,9.999999999999975
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-2281.2,-3000.0,20000.000000000044,3000.0,22985.000000015134,17000.000000000044,53.79,46.2,0.17647058823529366,1.3520588235302986,Put,475.0,10.0,Put,515.0,-20.0,Put,535.0,10.0,179.9999999999999,0.0,189.99999999999977,-99.99999999999991,39.99999999999999
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-2270.41,-2450.0,15000.000000000091,2450.0,17435.000000014792,12550.000000000091,53.31,46.68,0.19521912350597467,1.3892430278896148,Put,480.0,10.0,Put,510.0,-20.0,Put,525.0,10.0,150.0,0.0,119.99999999999993,-80.00000000000007,20.000000000000018
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-1342.75,-2350.0,10000.000000000091,2350.0,12335.000000014508,7650.000000000091,53.23,46.76,0.3071895424836565,1.6124183006554722,Put,485.0,10.0,Put,505.0,-20.0,Put,515.0,10.0,100.0,0.0,80.00000000000007,-40.00000000000013,30.00000000000003
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-1084.41,-1050.0,5000.000000000023,1050.0,6035.0000000142245,3950.0000000000227,52.19,47.8,0.26582278481012506,1.5278481012694152,Put,490.0,10.0,Put,500.0,-20.0,Put,505.0,10.0,49.999999999999915,0.0,29.999999999999982,-10.000000000000053,9.999999999999986
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-1905.94,-4750.0,25000.000000000044,4750.0,29735.00000001559,20250.000000000044,51.15,48.84,0.2345679012345674,1.4683950617291617,Put,475.0,10.0,Put,525.0,-20.0,Put,550.0,10.0,260.00000000000006,0.0,209.9999999999999,-99.99999999999991,60.00000000000001
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-2004.58,-4200.0,20000.000000000044,4200.0,24185.00000001536,15800.000000000044,50.75,49.24,0.26582278481012583,1.5306962025326134,Put,480.0,10.0,Put,520.0,-20.0,Put,540.0,10.0,210.00000000000006,0.0,159.9999999999999,-79.99999999999999,39.99999999999999
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-1732.11,-3650.0,15000.000000000045,3650.0,18635.000000015134,11350.000000000045,50.28,49.72,0.32158590308369916,1.641850220265644,Put,485.0,10.0,Put,515.0,-20.0,Put,530.0,10.0,139.99999999999986,0.0,109.99999999999987,-50.0,19.99999999999997
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-1865.18,-2250.0,10000.000000000045,2250.0,12235.000000014792,7750.0000000000455,49.16,50.84,0.2903225806451596,1.5787096774212541,Put,490.0,10.0,Put,510.0,-20.0,Put,520.0,10.0,100.0,0.0,49.999999999999915,-30.00000000000007,10.000000000000009
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-1138.08,-1200.0,5000.0000000000455,1200.0,6185.000000014508,3800.0000000000455,48.37,51.63,0.31578947368420673,1.6276315789511668,Put,495.0,10.0,Put,505.0,-20.0,Put,510.0,10.0,39.99999999999994,0.0,29.999999999999893,-10.000000000000053,20.000000000000018
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-1889.41,-6000.0,25000.000000000044,6000.0,30985.00000001593,19000.000000000044,48.21,51.79,0.3157894736842098,1.6307894736850452,Put,480.0,10.0,Put,530.0,-20.0,Put,555.0,10.0,270.0000000000001,-10.0,150.00000000000017,-79.99999999999994,69.99999999999997
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-1346.62,-5800.0,20000.000000000044,5800.0,25785.00000001559,14200.000000000044,48.05,51.95,0.40845070422535085,1.8158450704236275,Put,485.0,10.0,Put,525.0,-20.0,Put,545.0,10.0,209.99999999999997,0.0,129.99999999999997,-49.99999999999996,50.0
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-1553.96,-4500.0,15000.000000000045,4500.0,19485.00000001536,10500.000000000045,47.02,52.97,0.4285714285714267,1.8557142857157405,Put,490.0,10.0,Put,520.0,-20.0,Put,535.0,10.0,150.00000000000017,0.0,89.99999999999986,-20.000000000000018,30.000000000000004
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-1440.86,-3100.0,10000.000000000045,3100.0,13085.000000015134,6900.0000000000455,45.92,54.07,0.44927536231883763,1.8963768115963837,Put,495.0,10.0,Put,515.0,-20.0,Put,525.0,10.0,79.99999999999999,0.0,39.99999999999986,-20.000000000000018,9.999999999999986
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-1545.56,-6550.0,20000.000000000044,6550.0,26535.00000001593,13450.000000000044,44.67,55.32,0.4869888475836415,1.9728624535327766,Put,490.0,10.0,Put,530.0,-20.0,Put,550.0,10.0,210.00000000000006,0.0,70.00000000000011,-20.000000000000018,50.0
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-1691.12,-850.0,5000.0000000000455,850.0,5835.000000014793,4150.0000000000455,44.13,55.87,0.20481927710843148,1.4060240963890913,Put,500.0,10.0,Put,510.0,-20.0,Put,515.0,10.0,50.000000000000085,0.0,9.999999999999964,-10.000000000000053,2.220446049250313e-14
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-1077.97,-5650.0,15000.000000000045,5650.0,20635.00000001559,9350.000000000045,43.97,56.02,0.6042780748663072,2.2069518716594105,Put,495.0,10.0,Put,525.0,-20.0,Put,540.0,10.0,139.99999999999994,0.0,59.99999999999987,-19.99999999999993,30.00000000000003
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-1415.04,-3550.0,10000.000000000045,3550.0,13535.000000015361,6450.0000000000455,42.35,57.64,0.5503875968992209,2.0984496124054677,Put,500.0,10.0,Put,520.0,-20.0,Put,530.0,10.0,90.00000000000003,0.0,39.99999999999986,0.0,10.000000000000009
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-1190.12,-7850.0,20000.000000000044,7850.0,27835.00000001627,12150.000000000044,41.82,58.18,0.6460905349794216,2.290946502058944,Put,495.0,10.0,Put,535.0,-20.0,Put,555.0,10.0,199.99999999999983,-10.0,50.0,-20.000000000000064,39.99999999999999
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-1441.5,-1300.0,5000.0000000000455,1300.0,6285.000000015134,3700.0000000000455,40.68,59.32,0.35135135135134704,1.6986486486527181,Put,505.0,10.0,Put,515.0,-20.0,Put,520.0,10.0,29.999999999999982,0.0,0.0,8.881784197001252e-14,-2.220446049250313e-14
AAPL,APPLE INC COM,Bullish Put Modified Butterfly,-1396.4,-6000.0,15000.000000000045,6000.0,20985.00000001593,9000.000000000045,40.45,59.55,0.6666666666666633,2.331666666668425,Put,500.0,10.0,Put,530.0,-20.0,Put,545.0,10.0,140.00000000000023,0.0,20.000000000000107,4.440892098500626e-14,39.99999999999999
