Underlying,Description,Name,Expected PnL,Cost of Strategy,Total Debit,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Leg_Profit_Factor,Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-736.01,-820.0,6000.000000000011,820.0,6770.000000007776,5180.000000000011,51.18,48.82,0.15830115830115796,1.3069498069513055,Call,274.0,10.0,Call,280.0,-20.0,Call,292.0,10.0,-320.0,5.551115123125783e-15,39.99999999999999,-60.00000000000001,-50.00000000000002
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-733.3,-400.0,3000.0000000000227,400.0,3350.0000000079467,2600.0000000000227,49.96,50.04,0.1538461538461525,1.2884615384645837,Call,280.0,10.0,Call,283.0,-20.0,Call,289.0,10.0,-150.0,-10.000000000000009,20.000000000000018,-10.000000000000053,-9.999999999999986
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-579.96,-1190.0,6000.000000000023,1190.0,7140.00000000772,4810.000000000023,49.35,50.65,0.24740124740124622,1.4844074844090824,Call,273.0,10.0,Call,279.0,-20.0,Call,291.0,10.0,-310.0000000000001,1.1102230246251565e-14,39.99999999999999,-39.99999999999994,-50.00000000000002
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-612.43,-1040.0,5000.000000000023,1040.0,5990.000000007776,3960.0000000000227,48.74,51.26,0.2626262626262611,1.5126262626282176,Call,275.0,10.0,Call,280.0,-20.0,Call,290.0,10.0,-259.99999999999994,1.1102230246251565e-14,19.99999999999997,-29.999999999999982,-30.000000000000004
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-825.61,-650.0,4000.0000000000114,650.0,4600.000000007833,3350.0000000000114,47.82,52.18,0.194029850746268,1.3731343283605424,Call,277.0,10.0,Call,281.0,-20.0,Call,289.0,10.0,-200.0,5.551115123125783e-15,30.000000000000004,4.440892098500626e-14,-29.999999999999993
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-600.34,-1390.0,6000.000000000023,1390.0,7340.0000000076625,4610.000000000023,46.91,53.09,0.3015184381778727,1.5921908893725871,Call,272.0,10.0,Call,278.0,-20.0,Call,290.0,10.0,-320.0000000000001,1.1102230246251565e-14,20.000000000000018,-20.000000000000018,-40.000000000000014
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-528.96,-1300.0,5000.000000000023,1300.0,6250.00000000772,3700.0000000000227,46.6,53.4,0.3513513513513492,1.6891891891912652,Call,274.0,10.0,Call,279.0,-20.0,Call,289.0,10.0,-250.0,1.1102230246251565e-14,30.00000000000003,-9.999999999999964,-40.000000000000014
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-611.41,-1000.0,4000.0000000000114,1000.0,4950.000000007776,3000.0000000000114,45.69,54.31,0.3333333333333321,1.6500000000025858,Call,276.0,10.0,Call,280.0,-20.0,Call,288.0,10.0,-190.00000000000003,5.551115123125783e-15,9.999999999999986,-9.999999999999964,-20.000000000000007
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-827.85,-500.0,3000.0000000000227,500.0,3450.000000007833,2500.0000000000227,44.16,55.84,0.19999999999999818,1.3800000000031207,Call,278.0,10.0,Call,281.0,-20.0,Call,287.0,10.0,-129.9999999999999,9.999999999999998,19.99999999999997,10.000000000000053,-19.999999999999996
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-609.04,-1400.0,5000.000000000023,1400.0,6350.0000000076625,3600.0000000000227,43.86,56.14,0.38888888888888645,1.7638888888910063,Call,273.0,10.0,Call,278.0,-20.0,Call,288.0,10.0,-240.00000000000023,1.1102230246251565e-14,0.0,0.0,-30.000000000000004
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-549.5,-1200.0,4000.0000000000114,1200.0,5150.00000000772,2800.0000000000114,43.25,56.75,0.4285714285714268,1.839285714288464,Call,275.0,10.0,Call,279.0,-20.0,Call,287.0,10.0,-169.99999999999994,5.551115123125783e-15,9.999999999999986,6.661338147750939e-14,-20.000000000000007
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-677.21,-750.0,3000.0000000000227,750.0,3700.000000007776,2250.0000000000227,42.04,57.96,0.33333333333333,1.6444444444478838,Call,277.0,10.0,Call,280.0,-20.0,Call,286.0,10.0,-129.9999999999999,1.1102230246251565e-14,-10.000000000000009,4.440892098500626e-14,-19.999999999999996
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-541.36,-1650.0,5000.000000000011,1650.0,6600.000000007605,3350.000000000011,41.74,58.26,0.4925373134328342,1.9701492537336072,Call,272.0,10.0,Call,277.0,-20.0,Call,287.0,10.0,-229.9999999999999,20.0,10.000000000000009,10.000000000000009,-30.000000000000014
DIA,SPDR DOW JONES IND UT SER 1 ETF,Bearish Call Modified Butterfly,-688.92,-1200.0,4000.0000000000114,1200.0,5150.0000000076625,2800.0000000000114,40.23,59.77,0.4285714285714268,1.8392857142884433,Call,274.0,10.0,Call,278.0,-20.0,Call,286.0,10.0,-180.00000000000006,5.551115123125783e-15,-9.999999999999986,9.999999999999986,-30.000000000000014
