Underlying,Description,Name,Expected PnL,Cost of Strategy,Total Debit,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Leg_Profit_Factor,Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-275.04,-690.0,3000.0000000000055,690.0,1649.999999995489,2310.0000000000055,62.95,37.05,0.29870129870129797,0.7142857142837598,Call,157.0,10.0,Call,158.0,-20.0,Call,162.0,10.0,-170.00000000000003,-9.999999999999998,29.999999999999993,-30.000000000000004,-20.0
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-363.24,-460.0,3000.0000000000055,460.0,2419.9999999955457,2540.0000000000055,62.07,37.93,0.18110236220472403,0.9527559055100553,Call,155.0,10.0,Call,157.0,-20.0,Call,162.0,10.0,-169.99999999999994,-9.999999999999998,29.999999999999993,-30.000000000000004,-20.0
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-503.23,-900.0,5500.0000000000055,900.0,3359.9999999956026,4600.0000000000055,61.62,38.38,0.19565217391304324,0.7304347826077389,Call,153.5,10.0,Call,156.0,-20.0,Call,164.0,10.0,-299.9999999999999,-29.999999999999993,49.99999999999998,-59.99999999999998,-9.999999999999995
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-596.78,-869.9999999999991,6500.0000000000055,869.9999999999991,3829.99999999563,5630.000000000006,61.62,38.38,0.1545293072824153,0.6802841918287079,Call,152.5,10.0,Call,155.5,-20.0,Call,165.0,10.0,-350.0,-49.99999999999999,59.99999999999998,-80.0,-9.999999999999995
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-290.68,-320.00000000000057,2000.0000000000055,320.00000000000057,1779.999999995518,1680.000000000005,61.18,38.82,0.19047619047619024,1.0595238095211386,Call,156.0,10.0,Call,157.5,-20.0,Call,161.0,10.0,-120.00000000000001,-9.999999999999998,19.999999999999986,-19.999999999999996,-9.999999999999998
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-351.31,-1030.0,4500.0000000000055,1030.0,2989.9999999956026,3470.0000000000055,59.83,40.17,0.29682997118155574,0.8616714697393654,Call,154.0,10.0,Call,156.0,-20.0,Call,162.5,10.0,-269.9999999999998,-19.999999999999996,29.999999999999993,-49.99999999999998,-9.999999999999995
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-401.4,-1000.0000000000001,5000.0000000000055,1000.0000000000001,3459.999999995631,4000.0000000000055,59.83,40.17,0.2499999999999997,0.8649999999989065,Call,153.0,10.0,Call,155.5,-20.0,Call,163.0,10.0,-300.0,-29.999999999999993,49.99999999999998,-59.999999999999986,-9.999999999999995
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-509.29,-990.0000000000009,6000.0000000000055,990.0000000000009,3949.9999999956603,5010.000000000005,59.83,40.17,0.19760479041916168,0.7884231536917479,Call,152.0,10.0,Call,155.0,-20.0,Call,164.0,10.0,-359.99999999999994,-39.99999999999999,49.99999999999998,-80.0,-9.999999999999995
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-607.27,-940.0,7000.0000000000055,940.0,4399.999999995688,6060.0000000000055,59.37,40.63,0.15511551155115497,0.7260726072600139,Call,151.0,10.0,Call,154.5,-20.0,Call,165.0,10.0,-409.99999999999994,-30.0,69.99999999999996,-80.00000000000001,-30.000000000000004
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-184.97,-390.0,1500.0000000000057,390.0,849.9999999954889,1110.0000000000057,59.37,40.63,0.35135135135134954,0.7657657657616977,Call,157.5,10.0,Call,158.0,-20.0,Call,160.0,10.0,-89.99999999999999,0.0,9.999999999999986,-9.999999999999986,-9.999999999999998
IWM,ISHARES TRUST RUSSELL 2000 ETF,Bearish Call Modified Butterfly,-309.09,-1170.0,4500.0000000000055,1170.0,3129.999999995631,3330.0000000000055,58.46,41.54,0.35135135135135076,0.9399399399386263,Call,153.5,10.0,Call,155.5,-20.0,Call,162.0,10.0,-270.0,-19.999999999999996,39.99999999999998,-39.99999999999999,-9.999999999999995
