Underlying,Description,Name,Expected PnL,Cost of Strategy,Total Debit,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Leg_Profit_Factor,Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2304.99,-3170.0000000000005,20500.000000000007,3170.0000000000005,11139.999999995622,17330.000000000007,58.63,39.76,0.18291979226774374,0.6428159261393893,Put,125.0,10.0,Put,153.5,-20.0,Put,161.5,10.0,229.9999999999999,0.0,220.00000000000003,-60.0,9.999999999999995
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2700.87,-3470.0,22000.00000000001,3470.0,11439.999999995536,18530.00000000001,56.98,41.4,0.18726389638424165,0.6173772261195645,Put,125.0,10.0,Put,155.0,-20.0,Put,163.0,10.0,250.0,0.0,229.99999999999997,-69.99999999999997,9.999999999999998
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-3331.88,-2970.0000000000005,22500.000000000007,2970.0000000000005,11439.99999999548,19530.000000000007,55.61,42.78,0.152073732718894,0.5857654889910637,Put,125.0,10.0,Put,156.0,-20.0,Put,164.5,10.0,269.99999999999994,0.0,240.00000000000003,-69.99999999999999,9.999999999999995
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-3002.91,-2350.0,17500.00000000001,2350.0,10319.999999995507,15150.000000000011,54.78,43.6,0.155115511551155,0.6811881188115841,Put,130.0,10.0,Put,155.5,-20.0,Put,163.5,10.0,209.99999999999997,0.0,179.99999999999997,-49.99999999999998,9.999999999999998
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-1889.59,-1500.0,9500.000000000011,1500.0,7469.999999995622,8000.000000000011,53.55,44.84,0.18749999999999975,0.9337499999994514,Put,138.0,10.0,Put,153.5,-20.0,Put,159.5,10.0,119.99999999999974,0.0,90.00000000000003,-19.99999999999997,-1.1102230246251565e-14
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2894.9,-2900.0,19000.00000000001,2900.0,12369.999999995338,16100.000000000011,53.41,44.97,0.18012422360248434,0.7683229813661695,Put,130.0,10.0,Put,158.5,-20.0,Put,168.0,10.0,229.99999999999997,0.0,179.9999999999999,-49.99999999999998,9.999999999999998
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2460.98,-1750.0,11500.000000000011,1750.0,8219.999999995507,9750.000000000011,51.91,46.48,0.1794871794871793,0.8430769230764613,Put,137.5,10.0,Put,155.5,-20.0,Put,162.0,10.0,150.0,0.0,130.00000000000006,-19.99999999999997,-1.1102230246251565e-14
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2468.06,-1650.0,11000.000000000005,1650.0,7619.999999995536,9350.000000000005,51.77,46.62,0.17647058823529402,0.8149732620316077,Put,138.0,10.0,Put,155.0,-20.0,Put,161.0,10.0,140.0000000000001,0.0,100.0,-19.999999999999996,-5.551115123125783e-15
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2595.15,-1600.0,11000.000000000005,1600.0,7569.999999995508,9400.000000000005,50.95,47.43,0.17021276595744672,0.8053191489356919,Put,138.5,10.0,Put,155.5,-20.0,Put,161.5,10.0,160.00000000000006,0.0,120.00000000000001,-19.999999999999996,-5.551115123125783e-15
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2688.06,-1400.0,10500.000000000011,1400.0,6869.999999995536,9100.000000000011,50.68,47.71,0.15384615384615366,0.7549450549445635,Put,139.0,10.0,Put,155.0,-20.0,Put,160.5,10.0,130.00000000000006,0.0,90.00000000000003,-19.99999999999997,-1.1102230246251565e-14
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2856.0,-2000.0,14000.000000000011,2000.0,10969.999999995282,12000.000000000011,50.14,48.25,0.16666666666666652,0.9141666666662727,Put,136.5,10.0,Put,159.5,-20.0,Put,168.5,10.0,200.00000000000009,0.0,129.9999999999999,-39.99999999999999,20.000000000000007
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2691.72,-1950.0,12500.000000000005,1950.0,9419.999999995365,10550.000000000005,50.14,48.25,0.18483412322274873,0.8928909952602238,Put,138.0,10.0,Put,158.0,-20.0,Put,165.5,10.0,160.00000000000009,0.0,109.99999999999987,-29.999999999999982,-5.551115123125783e-15
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2630.09,-1350.0,10000.000000000005,1350.0,6819.999999995508,8650.000000000005,50.0,48.39,0.1560693641618496,0.7884393063578617,Put,140.0,10.0,Put,155.5,-20.0,Put,161.0,10.0,129.99999999999997,0.0,80.00000000000007,-19.999999999999996,-5.551115123125783e-15
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2868.93,-1850.0,13000.000000000011,1850.0,9819.999999995338,11150.000000000011,50.0,48.39,0.1659192825112106,0.8807174887888187,Put,137.5,10.0,Put,158.5,-20.0,Put,166.5,10.0,170.0000000000001,0.0,109.99999999999987,-29.999999999999982,-5.551115123125783e-15
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2645.24,-2250.0,13500.000000000011,2250.0,10719.999999995282,11250.000000000011,49.86,48.52,0.19999999999999982,0.9528888888884686,Put,137.5,10.0,Put,159.5,-20.0,Put,168.0,10.0,190.0000000000001,0.0,119.99999999999984,-29.999999999999982,20.000000000000007
