Underlying,Description,Name,Expected PnL,Cost of Strategy,Total Debit,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Leg_Profit_Factor,Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
TLT,ISHARES TRUST 20 YR TR BD ETF,Bullish Put Modified Butterfly,-311.94,-370.0,2500.0000000000055,370.0,1829.9999999954036,2130.0000000000055,60.34,39.66,0.173708920187793,0.8591549295753047,Put,157.5,10.0,Put,161.5,-20.0,Put,163.0,10.0,160.0,-20.000000000000007,19.999999999999986,-40.000000000000014,-5.551115123125783e-15
TLT,ISHARES TRUST 20 YR TR BD ETF,Bullish Put Modified Butterfly,-361.95,-230.0,1500.0000000000057,230.0,689.9999999954321,1270.0000000000057,55.29,44.71,0.1811023622047236,0.543307086610574,Put,159.0,10.0,Put,161.0,-20.0,Put,161.5,10.0,90.00000000000003,-10.000000000000009,9.999999999999986,-19.999999999999996,9.999999999999998
TLT,ISHARES TRUST 20 YR TR BD ETF,Bullish Put Modified Butterfly,-471.69,-940.0,4000.0000000000055,940.0,2399.9999999953184,3060.0000000000055,53.1,46.9,0.3071895424836596,0.7843137254886647,Put,157.5,10.0,Put,163.0,-20.0,Put,164.5,10.0,270.0,-30.000000000000014,29.99999999999996,-29.999999999999982,20.000000000000007
TLT,ISHARES TRUST 20 YR TR BD ETF,Bullish Put Modified Butterfly,-437.99,-600.0,2500.0000000000055,600.0,1559.9999999953468,1900.0000000000055,50.9,49.1,0.3157894736842096,0.821052631576496,Put,159.0,10.0,Put,162.5,-20.0,Put,163.5,10.0,160.00000000000009,-20.000000000000018,19.99999999999997,-9.999999999999986,20.0
TLT,ISHARES TRUST 20 YR TR BD ETF,Bullish Put Modified Butterfly,-652.75,-940.0,4500.0000000000055,940.0,2899.9999999952615,3560.0000000000055,49.44,50.56,0.2640449438202243,0.8146067415717014,Put,157.5,10.0,Put,164.0,-20.0,Put,166.0,10.0,330.00000000000006,-19.999999999999996,9.999999999999998,-39.99999999999999,10.000000000000009
TLT,ISHARES TRUST 20 YR TR BD ETF,Bullish Put Modified Butterfly,-517.91,-720.0,3000.0000000000055,720.0,2179.9999999952897,2280.0000000000055,47.98,52.02,0.3157894736842098,0.9561403508751248,Put,159.0,10.0,Put,163.5,-20.0,Put,165.0,10.0,219.99999999999994,0.0,0.0,-19.99999999999997,10.000000000000009
TLT,ISHARES TRUST 20 YR TR BD ETF,Bullish Put Modified Butterfly,-427.36,-500.0,2000.0000000000057,500.0,1459.9999999953184,1500.0000000000057,46.52,53.48,0.3333333333333321,0.9733333333302085,Put,160.0,10.0,Put,163.0,-20.0,Put,164.0,10.0,149.99999999999991,-10.000000000000009,19.99999999999997,0.0,9.999999999999998
TLT,ISHARES TRUST 20 YR TR BD ETF,Bullish Put Modified Butterfly,-574.1,-870.0,3500.0000000000055,870.0,2829.9999999952333,2630.0000000000055,45.79,54.21,0.3307984790874518,1.0760456273746113,Put,159.0,10.0,Put,164.5,-20.0,Put,166.5,10.0,279.99999999999983,-9.999999999999998,9.999999999999998,-20.000000000000018,10.000000000000009
TLT,ISHARES TRUST 20 YR TR BD ETF,Bullish Put Modified Butterfly,-499.74,-650.0,2500.0000000000055,650.0,2109.9999999952615,1850.0000000000055,44.35,55.65,0.3513513513513503,1.1405405405379758,Put,160.0,10.0,Put,164.0,-20.0,Put,165.5,10.0,190.00000000000003,1.1102230246251565e-14,0.0,-19.999999999999996,0.0
TLT,ISHARES TRUST 20 YR TR BD ETF,Bullish Put Modified Butterfly,-530.77,-850.0,3000.0000000000055,850.0,2809.9999999952047,2150.0000000000055,42.19,57.81,0.3953488372093013,1.3069767441838127,Put,160.0,10.0,Put,165.0,-20.0,Put,167.0,10.0,239.99999999999986,-9.999999999999986,9.999999999999998,-10.000000000000032,19.999999999999996
TLT,ISHARES TRUST 20 YR TR BD ETF,Bullish Put Modified Butterfly,-502.95,-260.0,1500.0000000000057,260.0,1219.99999999529,1240.0000000000057,41.48,58.52,0.20967741935483775,0.9838709677381325,Put,161.0,10.0,Put,163.5,-20.0,Put,164.5,10.0,109.99999999999997,10.000000000000009,-9.999999999999986,2.220446049250313e-14,9.999999999999998
