,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_29.0,C_29.5,C_30.0,C_30.5,C_31.0,P_-1000000.0,P_29.5,P_30.0,P_30.5,P_31.0
110,T,Bull Call Spread,26.92,292.0,3216.0254316577593,292.0,33.37,66.6,0.09219178082191781,180.99999999999997,77.0,-12.0,8.0,0.0,0.0,0.0,0.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0
107,T,Bull Call Spread,18.78,225.0,2418.5190737433195,225.0,33.37,66.6,0.08346666666666668,138.0,58.00000000000001,-9.0,6.0,0.0,0.0,0.0,0.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0
104,T,Bull Call Spread,10.65,158.00000000000003,1621.0127158288797,158.00000000000003,33.37,66.6,0.06740506329113923,95.0,39.00000000000001,-6.0,3.9999999999999996,0.0,0.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0
85,T,Bull Call Spread,22.36,402.00000000000006,3306.0254316577593,402.00000000000006,33.37,66.6,0.05562189054726367,222.00000000000003,76.0,-12.0,8.0,0.0,0.0,0.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
111,T,Bull Call Spread,13.16,249.0,2444.5190737433195,249.0,33.37,66.6,0.05285140562248996,146.99999999999997,59.0,-9.0,6.000000000000001,0.0,0.0,0.0,0.0,5.0,-2.0,0.0,0.0,0.0,0.0,0.0
82,T,Bull Call Spread,15.46,309.0,2484.5190737433195,309.0,33.37,66.6,0.050032362459546925,169.00000000000003,57.00000000000001,-9.0,6.0,0.0,0.0,0.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
97,T,Bull Call Spread,20.74,422.00000000000006,3336.0254316577593,422.00000000000006,33.37,66.6,0.04914691943127961,231.00000000000006,77.0,-12.0,8.0,0.0,0.0,0.0,5.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
94,T,Bull Call Spread,13.84,329.0,2514.5190737433195,329.0,33.37,66.6,0.04206686930091185,178.0,58.00000000000001,-9.0,6.0,0.0,0.0,0.0,4.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
79,T,Bull Call Spread,8.56,216.0,1663.0127158288797,216.0,33.37,66.6,0.03962962962962963,116.00000000000001,38.00000000000001,-6.0,3.9999999999999996,0.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
86,T,Bull Call Spread,10.23,339.00000000000006,2504.5190737433195,339.00000000000006,33.37,66.6,0.030176991150442475,179.00000000000006,56.99999999999999,-9.0,6.000000000000001,0.0,0.0,0.0,5.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
92,T,Bull Call Spread,6.94,236.0,1693.0127158288797,236.0,33.37,66.6,0.02940677966101695,125.0,39.00000000000001,-6.0,3.9999999999999996,0.0,0.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
