,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_34.0,C_35.0,C_35.5,C_36.0,C_1000000.0,P_34.0,P_35.0,P_35.5,P_36.0,P_37.0,P_37.5
194,TAP,Bull Call Spread,24.47,75.0,1313.0141510467347,75.0,32.51,67.45,0.32626666666666665,35.0,12.0,-4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,TAP,Bull Call Spread,24.47,75.0,1313.0141510467347,75.0,32.51,67.45,0.32626666666666665,35.0,12.0,-4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,TAP,Bull Call Spread,24.47,75.0,1313.0141510467347,75.0,32.51,67.45,0.32626666666666665,35.0,12.0,-4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,TAP,Bull Call Spread,24.47,75.0,1313.0141510467347,75.0,32.51,67.45,0.32626666666666665,35.0,12.0,-4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,TAP,Bull Call Spread,24.47,75.0,1313.0141510467347,75.0,32.51,67.45,0.32626666666666665,35.0,12.0,-4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,TAP,Bull Call Spread,24.47,75.0,1313.0141510467347,75.0,32.51,67.45,0.32626666666666665,35.0,12.0,-4.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
220,TAP,Bull Call Spread,24.47,75.0,1313.0141510467347,75.0,32.51,67.45,0.32626666666666665,35.0,12.0,-4.0,2.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
221,TAP,Bull Call Spread,24.47,75.0,1313.0141510467347,75.0,32.51,67.45,0.32626666666666665,35.0,12.0,-4.0,2.0,0.0,0.0,0.0,0.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
222,TAP,Bull Call Spread,24.47,75.0,1313.0141510467347,75.0,32.51,67.45,0.32626666666666665,35.0,12.0,-4.0,2.0,0.0,0.0,0.0,0.0,1.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0
223,TAP,Bull Call Spread,24.47,75.0,1313.0141510467347,75.0,32.51,67.45,0.32626666666666665,35.0,12.0,-4.0,2.0,0.0,0.0,0.0,0.0,1.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
214,TAP,Bull Call Spread,122.34,375.0,6565.070755233674,375.0,32.51,67.45,0.32624000000000003,175.0,60.0,-20.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,TAP,Bull Call Spread,122.34,375.0,6565.070755233674,375.0,32.51,67.45,0.32624000000000003,175.0,60.0,-20.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,TAP,Bull Call Spread,122.34,375.0,6565.070755233674,375.0,32.51,67.45,0.32624000000000003,175.0,60.0,-20.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,TAP,Bull Call Spread,122.34,375.0,6565.070755233674,375.0,32.51,67.45,0.32624000000000003,175.0,60.0,-20.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,TAP,Bull Call Spread,122.34,375.0,6565.070755233674,375.0,32.51,67.45,0.32624000000000003,175.0,60.0,-20.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,TAP,Bull Call Spread,122.34,375.0,6565.070755233674,375.0,32.51,67.45,0.32624000000000003,175.0,60.0,-20.0,10.0,0.0,0.0,0.0,0.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
240,TAP,Bull Call Spread,122.34,375.0,6565.070755233674,375.0,32.51,67.45,0.32624000000000003,175.0,60.0,-20.0,10.0,0.0,0.0,0.0,0.0,5.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
241,TAP,Bull Call Spread,122.34,375.0,6565.070755233674,375.0,32.51,67.45,0.32624000000000003,175.0,60.0,-20.0,10.0,0.0,0.0,0.0,0.0,5.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
242,TAP,Bull Call Spread,122.34,375.0,6565.070755233674,375.0,32.51,67.45,0.32624000000000003,175.0,60.0,-20.0,10.0,0.0,0.0,0.0,0.0,5.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0
243,TAP,Bull Call Spread,122.34,375.0,6565.070755233674,375.0,32.51,67.45,0.32624000000000003,175.0,60.0,-20.0,10.0,0.0,0.0,0.0,0.0,5.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
209,TAP,Bull Call Spread,97.87,300.0,5252.056604186939,300.0,32.51,67.45,0.3262333333333334,140.0,48.0,-16.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,TAP,Bull Call Spread,97.87,300.0,5252.056604186939,300.0,32.51,67.45,0.3262333333333334,140.0,48.0,-16.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,TAP,Bull Call Spread,97.87,300.0,5252.056604186939,300.0,32.51,67.45,0.3262333333333334,140.0,48.0,-16.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,TAP,Bull Call Spread,97.87,300.0,5252.056604186939,300.0,32.51,67.45,0.3262333333333334,140.0,48.0,-16.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,TAP,Bull Call Spread,97.87,300.0,5252.056604186939,300.0,32.51,67.45,0.3262333333333334,140.0,48.0,-16.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,TAP,Bull Call Spread,97.87,300.0,5252.056604186939,300.0,32.51,67.45,0.3262333333333334,140.0,48.0,-16.0,8.0,0.0,0.0,0.0,0.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
235,TAP,Bull Call Spread,97.87,300.0,5252.056604186939,300.0,32.51,67.45,0.3262333333333334,140.0,48.0,-16.0,8.0,0.0,0.0,0.0,0.0,4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
236,TAP,Bull Call Spread,97.87,300.0,5252.056604186939,300.0,32.51,67.45,0.3262333333333334,140.0,48.0,-16.0,8.0,0.0,0.0,0.0,0.0,4.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
237,TAP,Bull Call Spread,97.87,300.0,5252.056604186939,300.0,32.51,67.45,0.3262333333333334,140.0,48.0,-16.0,8.0,0.0,0.0,0.0,0.0,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0
238,TAP,Bull Call Spread,97.87,300.0,5252.056604186939,300.0,32.51,67.45,0.3262333333333334,140.0,48.0,-16.0,8.0,0.0,0.0,0.0,0.0,4.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
204,TAP,Bull Call Spread,73.4,225.0,3939.042453140204,225.0,32.51,67.45,0.32622222222222225,104.99999999999999,36.0,-12.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,TAP,Bull Call Spread,73.4,225.0,3939.042453140204,225.0,32.51,67.45,0.32622222222222225,104.99999999999999,36.0,-12.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,TAP,Bull Call Spread,73.4,225.0,3939.042453140204,225.0,32.51,67.45,0.32622222222222225,104.99999999999999,36.0,-12.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
